taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
28 -- 2 -- 6202 -- 358792 -- 5 -- 256.77963 -- 1.554
29 -- 2 -- 6258 -- 359203 -- 5 -- 276.707538 -- 1.53
31 -- 2 -- 5824 -- 358925 -- 5 -- 326.285637 -- 1.72
33 -- 2 -- 8493 -- 358884 -- 5 -- 296.218928 -- 1.974
32 -- 2 -- 6317 -- 359283 -- 5 -- 331.683301 -- 1.855
30 -- 3 -- 6551 -- 359152 -- 5 -- 337.548933 -- 1.908
34 -- 2 -- 21702 -- 359069 -- 5 -- 306.034362 -- 1.883
35 -- 2 -- 18158 -- 358843 -- 5 -- 307.296284 -- 1.888
36 -- 3 -- 7405 -- 358793 -- 5 -- 314.920436 -- 2.057
37 -- 2 -- 7470 -- 359318 -- 5 -- 315.137362 -- 1.993
42 -- 3 -- 7873 -- 359186 -- 5 -- 300.822183 -- 2.045
41 -- 2 -- 8313 -- 359383 -- 5 -- 314.301147 -- 2.045
38 -- 2 -- 23211 -- 358894 -- 5 -- 316.577559 -- 1.894
40 -- 2 -- 7781 -- 359171 -- 5 -- 315.662225 -- 2.009
39 -- 2 -- 12686 -- 359258 -- 5 -- 323.708184 -- 1.904
46 -- 3 -- 6705 -- 358949 -- 5 -- 316.337696 -- 2.048
47 -- 3 -- 6780 -- 359404 -- 5 -- 325.276983 -- 1.974
44 -- 3 -- 7896 -- 359147 -- 5 -- 327.261476 -- 2.015
48 -- 2 -- 8988 -- 358917 -- 5 -- 300.016961 -- 2.057
43 -- 2 -- 7548 -- 359043 -- 5 -- 335.262984 -- 2.061
45 -- 2 -- 7152 -- 359231 -- 5 -- 334.931421 -- 1.93
50 -- 2 -- 8417 -- 358694 -- 5 -- 320.695499 -- 1.583
51 -- 2 -- 8797 -- 359051 -- 5 -- 327.470655 -- 1.578
49 -- 2 -- 22765 -- 358816 -- 5 -- 330.97821 -- 1.58
52 -- 2 -- 8028 -- 359347 -- 5 -- 328.485385 -- 1.608
