,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
num_tasks,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
total_cores_t,1600000.0,788000.0,588000.0,588000.0,2000000.0,468000.0,642000.0,642000.0,738000.0,1040000.0,468000.0,662000.0,662000.0,636000.0,862000.0
avg_total_cores_t,8000.0,3940.0,2940.0,2940.0,10000.0,2340.0,3210.0,3210.0,3690.0,5200.0,2340.0,3310.0,3310.0,3180.0,4310.0
wcores_t,1200000.0,388000.0,188000.0,188000.0,1600000.0,68000.0,242000.0,242000.0,338000.0,640000.0,68000.0,262000.0,262000.0,236000.0,462000.0
avg_wcores_t,6000.0,1940.0,940.0,940.0,8000.0,340.0,1210.0,1210.0,1690.0,3200.0,340.0,1310.0,1310.0,1180.0,2310.0
wfail_alloc_core_t,0,294000.0,94000.0,94000.0,0,2000.0,176000.0,176000.0,272000.0,520000.0,2000.0,196000.0,196000.0,200000.0,396000.0
avg_wfail_alloc_core_t,0,1470.0,470.0,470.0,0,10.0,880.0,880.0,1360.0,2600.0,10.0,980.0,980.0,1000.0,1980.0
int_frag_core_t,1200000.0,94000.0,94000.0,94000.0,1600000.0,66000.0,66000.0,66000.0,66000.0,120000.0,66000.0,66000.0,66000.0,36000.0,66000.0
avg_int_frag_core_t,6000.0,470.0,470.0,470.0,8000.0,330.0,330.0,330.0,330.0,600.0,330.0,330.0,330.0,180.0,330.0
cores_t_utilization,0.25,0.5076142131979695,0.6802721088435374,0.6802721088435374,0.19999999999999996,0.8547008547008547,0.6230529595015577,0.6230529595015577,0.5420054200542006,0.3846153846153846,0.8547008547008547,0.6042296072507554,0.6042296072507554,0.628930817610063,0.46403712296983757
total_mem_t,12800000000.0,6304000000.0,4704000000.0,4704000000.0,16800000000.0,5814152000.0,5041897000.0,5041897000.0,4843194500.0,5878925500.0,5814152000.0,4788907000.0,4788907000.0,4584247500.0,5385041000.0
avg_total_mem_t,64000000.0,31520000.0,23520000.0,23520000.0,84000000.0,29070760.0,25209485.0,25209485.0,24215972.5,29394627.5,29070760.0,23944535.0,23944535.0,22921237.5,26925205.0
wmem_t,10664960000.0,4168960000.0,2568960000.0,2568960000.0,14664960000.0,3679112000.0,2906857000.0,2906857000.0,2708154500.0,3743885500.0,3679112000.0,2653867000.0,2653867000.0,2449207500.0,3250001000.0
