,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,cold_bucketing,cold_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,2,2,2,2,2,2,3,3,4,7
# cold starts,x,x,x,x,x,10,10,10,10,5,5,10,5,10,20
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,0,1,1,1,1,1,1
num_tasks,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228
total_cores_t,1720561.1200000008,339733.8200000001,430140.2800000002,430140.2800000002,430140.2800000002,540249.9399999998,537401.7599999999,450989.01999999996,427706.6200000003,442612.99,532819.3299999998,659710.6199999999,655441.8899999999,770862.9500000001,1111977.7499999993
avg_total_cores_t,7546.320701754389,1490.0606140350883,1886.5801754385973,1886.5801754385973,1886.5801754385973,2369.5172807017534,2357.025263157894,1978.0220175438594,1875.9062280701767,1941.285043859649,2336.9268859649114,2893.467631578947,2874.7451315789467,3380.9778508771933,4877.095394736839
wcores_t,1559222.3300000005,178395.03000000012,268801.4900000001,268801.4900000001,268801.4900000001,378911.1499999999,376062.97000000003,289650.23,266367.8300000001,281274.19999999995,371480.5399999999,498371.83,494103.10000000003,609524.1599999998,950638.96
avg_wcores_t,6838.6944298245635,782.4343421052637,1178.9539035087723,1178.9539035087723,1178.9539035087723,1661.8910087719294,1649.3989912280704,1270.395745614035,1168.2799561403513,1233.6587719298243,1629.3006140350874,2185.8413596491228,2167.118859649123,2673.3515789473677,4169.469122807018
wfail_alloc_core_t,0,62331.83999999998,0,0,0,166782.7600000001,237055.20000000013,107275.47999999998,127360.06,111400.26999999999,171537.8300000001,296892.45999999996,304809.4099999999,419277.1400000001,744808.8299999998
avg_wfail_alloc_core_t,0,273.38526315789466,0.0,0.0,0,731.5033333333338,1039.7157894736847,470.5064912280701,558.5967543859649,488.59767543859647,752.3589035087724,1302.1599122807015,1336.8833771929822,1838.9348245614037,3266.7053947368413
int_frag_core_t,1559222.3300000005,116063.19000000002,268801.4900000001,268801.4900000001,268801.4900000001,212128.38999999987,139007.77000000002,182374.74999999994,139007.77000000002,169873.92999999996,199942.70999999988,201479.3699999999,189293.68999999997,190247.01999999993,205830.1300000001
avg_int_frag_core_t,6838.6944298245635,509.0490789473685,1178.9539035087723,1178.9539035087723,1178.9539035087723,930.3876754385959,609.683201754386,799.8892543859647,609.683201754386,745.0610964912279,876.9417105263152,883.6814473684207,830.2354824561403,834.4167543859646,902.7637280701758
cores_t_utilization,0.09377103092972383,0.47489764192449235,0.37508412371889477,0.37508412371889477,0.37508412371889477,0.2986373122040513,0.3002200625468735,0.35774438588327495,0.37721836056687663,0.36451435824330425,0.3028020586265141,0.24455994053877728,0.24615269860154942,0.20929633471163744,0.14509174306770023
total_mem_t,13764488960.0,2717870560.0,3441122240.0,3441122240.0,4301402800.0,3830804201.3199983,4386424274.639998,3562889180.589999,3612033446.189999,3473377771.7299995,3746653202.499998,4362637317.83,4288776585.859999,4765780136.500002,6545311577.830005
avg_total_mem_t,60370565.614035085,11920484.912280701,15092641.403508771,15092641.403508771,18865801.754385963,16801772.81280701,19238702.95894736,15626706.932412278,15842251.95697368,15234113.033903508,16432689.484649114,19134374.20100877,18810423.62219298,20902544.458333343,28707506.920307036
wmem_t,12570887269.66999,1524268869.6700015,2247520549.67,2247520549.67,3107801109.6700015,2637202510.9900036,3192822584.3100004,2369287490.2599998,2418431755.8600006,2279776081.4000006,2553051512.1700034,3169035627.5,3095174895.5300007,3572178446.169999,5351709887.499999
avg_wmem_t,55135470.48100873,6685389.779254393,9857546.270482456,9857546.270482456,13630706.621359656,11566677.679780718,14003607.825921055,10391611.799385963,10607156.823947372,9999017.900877196,11197594.351622822,13899279.067982456,13575328.48916667,15667449.325307013,23472411.787280697
wfail_alloc_mem_t,0,498654720.0,0,0,0,718998736.7600002,1665162577.7500007,744289786.6999999,1056690059.9700001,758580555.3800001,734487231.22,1398927564.6100013,1424706325.9200013,2003961917.2499998,3686673784.3000016
avg_wfail_alloc_mem_t,0,2187082.1052631577,0.0,0.0,0,3153503.2314035096,7303344.639254389,3264428.8890350875,4634605.5261842115,3327107.699035088,3221435.224649123,6135647.21320176,6248711.955789479,8789306.654605262,16169621.860964919
int_frag_mem_t,12570887269.66999,1025614149.6699992,2247520549.67,2247520549.67,3107801109.6700015,1918203774.23,1527660006.5600004,1624997703.5600004,1361741695.8900006,1521195526.020001,1818564280.9500003,1770108062.89,1670468569.6100001,1568216528.9200008,1665036103.200001
avg_int_frag_mem_t,55135470.48100873,4498307.673991225,9857546.270482456,9857546.270482456,13630706.621359656,8413174.448377194,6700263.186666668,7127182.910350879,5972551.29776316,6671910.20184211,7976159.126973686,7763631.854780702,7326616.533377194,6878142.670701758,7302789.926315794
mem_t_utilization,0.0867160193014539,0.4391679677085131,0.3468640772058129,0.3468640772058129,0.27749126176465,0.31157992619897146,0.2721126857770636,0.33500949084595,0.33045145016279376,0.3436429230487926,0.318578108465857,0.2735963600393223,0.27830819965425024,0.25045252952155406,0.18235979695342874
total_disk_t,13764488960.0,2717870560.0,3441122240.0,3441122240.0,1075350.7,750708968.9700006,750799312.2500007,750525931.66,750524087.0800004,630558085.36,630742698.3700006,751147897.8100007,631189531.9100009,751461348.350001,1118325999.4299977
