,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,cold_bucketing,cold_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,2,2,2,2,2,2,3,3,4,7
# cold starts,x,x,x,x,x,10,10,10,10,5,5,10,5,10,20
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,0,1,1,1,1,1,1
num_tasks,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
total_cores_t,1600000.0,844000.0,644000.0,628000.0,2000000.0,672000.0,672000.0,564000.0,564000.0,554000.0,664000.0,872000.0,870000.0,1064000.0,1652000.0
avg_total_cores_t,8000.0,4220.0,3220.0,3140.0,10000.0,3360.0,3360.0,2820.0,2820.0,2770.0,3320.0,4360.0,4350.0,5320.0,8260.0
wcores_t,1200000.0,444000.0,244000.0,228000.0,1600000.0,272000.0,272000.0,164000.0,164000.0,154000.0,264000.0,472000.0,470000.0,664000.0,1252000.0
avg_wcores_t,6000.0,2220.0,1220.0,1140.0,8000.0,1360.0,1360.0,820.0,820.0,770.0,1320.0,2360.0,2350.0,3320.0,6260.0
wfail_alloc_core_t,0,322000.0,122000.0,122000.0,0,200000.0,200000.0,92000.0,92000.0,100000.0,210000.0,400000.0,416000.0,592000.0,1120000.0
avg_wfail_alloc_core_t,0,1610.0,610.0,610.0,0,1000.0,1000.0,460.0,460.0,500.0,1050.0,2000.0,2080.0,2960.0,5600.0
int_frag_core_t,1200000.0,122000.0,122000.0,106000.0,1600000.0,72000.0,72000.0,72000.0,72000.0,54000.0,54000.0,72000.0,54000.0,72000.0,132000.0
avg_int_frag_core_t,6000.0,610.0,610.0,530.0,8000.0,360.0,360.0,360.0,360.0,270.0,270.0,360.0,270.0,360.0,660.0
cores_t_utilization,0.25,0.47393364928909953,0.6211180124223603,0.6369426751592357,0.19999999999999996,0.5952380952380952,0.5952380952380952,0.7092198581560284,0.7092198581560284,0.7220216606498195,0.6024096385542168,0.45871559633027525,0.45977011494252873,0.37593984962406013,0.24213075060532685
total_mem_t,12800000000.0,6752000000.0,5152000000.0,5024000000.0,16800000000.0,5982730500.0,5982730500.0,5312795000.0,5312795000.0,5222388000.0,5915739500.0,5746549500.0,5675304500.0,5682169500.0,7193927000.0
avg_total_mem_t,64000000.0,33760000.0,25760000.0,25120000.0,84000000.0,29913652.5,29913652.5,26563975.0,26563975.0,26111940.0,29578697.5,28732747.5,28376522.5,28410847.5,35969635.0
wmem_t,10668453000.0,4620453000.0,3020453000.0,2892453000.0,14668453000.0,3851183500.0,3851183500.0,3181248000.0,3181248000.0,3090841000.0,3784192500.0,3615002500.0,3543757500.0,3550622500.0,5062380000.0
avg_wmem_t,53342265.0,23102265.0,15102265.0,14462265.0,73342265.0,19255917.5,19255917.5,15906240.0,15906240.0,15454205.0,18920962.5,18075012.5,17718787.5,17753112.5,25311900.0
wfail_alloc_mem_t,0,2576000000.0,976000000.0,976000000.0,0,830314000.0,830314000.0,734395000.0,734395000.0,801296000.0,902713500.0,1450487500.0,1536326000.0,1955353000.0,3413199500.0
avg_wfail_alloc_mem_t,0,12880000.0,4880000.0,4880000.0,0,4151570.0,4151570.0,3671975.0,3671975.0,4006480.0,4513567.5,7252437.5,7681630.0,9776765.0,17065997.5
int_frag_mem_t,10668453000.0,2044453000.0,2044453000.0,1916453000.0,14668453000.0,3020869500.0,3020869500.0,2446853000.0,2446853000.0,2289545000.0,2881479000.0,2164515000.0,2007431500.0,1595269500.0,1649180500.0
avg_int_frag_mem_t,53342265.0,10222265.0,10222265.0,9582265.0,73342265.0,15104347.5,15104347.5,12234265.0,12234265.0,11447725.0,14407395.0,10822575.0,10037157.5,7976347.5,8245902.5
mem_t_utilization,0.16652710937500004,0.3156912026066351,0.413731948757764,0.42427289012738856,0.1268777976190476,0.3562833057581317,0.3562833057581317,0.40121009750987946,0.40121009750987946,0.4081556176982637,0.36031792813054053,0.3709264141899413,0.3755828431760798,0.37512907701890974,0.2962981136728243
total_disk_t,12800000000.0,6752000000.0,5152000000.0,5024000000.0,12801000000.0,1344000000.0,1344000000.0,1236000000.0,1236000000.0,1058000000.0,1168000000.0,1544000000.0,1374000000.0,1736000000.0,2884000000.0
avg_total_disk_t,64000000.0,33760000.0,25760000.0,25120000.0,64005000.0,6720000.0,6720000.0,6180000.0,6180000.0,5290000.0,5840000.0,7720000.0,6870000.0,8680000.0,14420000.0
wdisk_t,12400000000.0,6352000000.0,4752000000.0,4624000000.0,12401000000.0,944000000.0,944000000.0,836000000.0,836000000.0,658000000.0,768000000.0,1144000000.0,974000000.0,1336000000.0,2484000000.0
avg_wdisk_t,62000000.0,31760000.0,23760000.0,23120000.0,62005000.0,4720000.0,4720000.0,4180000.0,4180000.0,3290000.0,3840000.0,5720000.0,4870000.0,6680000.0,12420000.0
wfail_alloc_disk_t,0,2576000000.0,976000000.0,976000000.0,0,200000000.0,200000000.0,92000000.0,92000000.0,100000000.0,210000000.0,400000000.0,416000000.0,592000000.0,1120000000.0
avg_wfail_alloc_disk_t,0,12880000.0,4880000.0,4880000.0,0,1000000.0,1000000.0,460000.0,460000.0,500000.0,1050000.0,2000000.0,2080000.0,2960000.0,5600000.0
int_frag_disk_t,12400000000.0,3776000000.0,3776000000.0,3648000000.0,12401000000.0,744000000.0,744000000.0,744000000.0,744000000.0,558000000.0,558000000.0,744000000.0,558000000.0,744000000.0,1364000000.0
