,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,cold_bucketing,cold_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,2,2,2,2,2,2,3,3,4,7
# cold starts,x,x,x,x,x,10,10,10,10,5,5,10,5,10,20
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,0,1,1,1,1,1,1
num_tasks,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999
total_cores_t,130198042.8799999,16274755.359999988,32549510.719999976,32549510.719999976,162747553.60000008,15468016.600000013,15468016.600000013,11675777.26,11675777.26,11640787.919999998,15433873.880000012,21097592.419999965,21065140.779999964,26622279.330000006,44090645.22000024
avg_total_cores_t,65131.58723361676,8141.448404202095,16282.89680840419,16282.89680840419,81414.48404202105,7737.877238619316,7737.877238619316,5840.809034517259,5840.809034517259,5823.305612806403,7720.797338669341,10554.073246623293,10537.83930965481,13317.798564282144,22056.350785392817
wcores_t,122060665.20000024,8137377.679999994,24412133.03999996,24412133.03999996,154610175.91999996,7330638.92,7330638.92,3538399.580000002,3538399.580000002,3503410.240000002,7296496.199999999,12960214.739999998,12927763.099999998,18484901.649999984,35953267.53999999
avg_wcores_t,61060.86303151588,4070.7242021010475,12212.172606303133,12212.172606303133,77343.75983991993,3667.153036518259,3667.153036518259,1770.084832416209,1770.084832416209,1752.5814107053536,3650.0731365682836,6483.349044522261,6467.1151075537755,9247.074362181082,17985.626583291643
wfail_alloc_core_t,0,0,0,0,0,6853409.870000001,6853409.870000001,3061170.5300000026,3061170.5300000026,3064552.6900000027,6857638.65,12482985.69,12488905.55,18007672.599999998,35350403.44
avg_wfail_alloc_core_t,0,0.0,0.0,0.0,0,3428.4191445722868,3428.4191445722868,1531.3509404702363,1531.3509404702363,1533.042866433218,3430.5345922961483,6244.615152576288,6247.576563281641,9008.340470235116,17684.043741870933
int_frag_core_t,122060665.20000024,8137377.679999994,24412133.03999996,24412133.03999996,154610175.91999996,477229.04999999993,477229.04999999993,477229.04999999993,477229.04999999993,438857.55,438857.55,477229.04999999993,438857.55,477229.04999999993,602864.0999999999
avg_int_frag_core_t,61060.86303151588,4070.7242021010475,12212.172606303133,12212.172606303133,77343.75983991993,238.73389194597294,238.73389194597294,238.73389194597294,238.73389194597294,219.53854427213605,219.53854427213605,238.73389194597294,219.53854427213605,238.73389194597294,301.5828414207103
cores_t_utilization,0.062499999999997446,0.5,0.25000000000000067,0.25000000000000067,0.05000000000000071,0.5260776407493645,0.5260776407493645,0.6969452652953401,0.6969452652953401,0.6990401110236872,0.5272414264408909,0.38570171979841383,0.3862959077741317,0.3056604424862377,0.18456018593960144
total_mem_t,1041584343040.0,130198042880.0,260396085760.0,260396085760.0,1367079450240.0,48937815561.41003,48937815561.41003,37316826320.23996,37316826320.23996,37004987999.34996,48628451064.160034,62952017991.46992,62646829280.33989,77255510313.40991,124734605590.45982
avg_total_mem_t,521052697.86893445,65131587.23361681,130263174.46723361,130263174.46723361,683881665.9529765,24481148.354882456,24481148.354882456,18667747.033636797,18667747.033636797,18511749.874612287,24326388.72644324,31491754.873171546,31339084.182261076,38647078.69605298,62398502.04625304
wmem_t,1018469640072.8689,107083339912.87021,237281382792.86978,237281382792.86978,1343964747272.872,25823112594.27999,25823112594.27999,14202123353.109997,14202123353.109997,13890285032.219994,25513748097.03,39837315024.339935,39532126313.20994,54140807346.28005,101619902623.32999
avg_wmem_t,509489564.81884384,53568454.183526866,118700041.41714346,118700041.41714346,672318532.9028875,12918015.304792391,12918015.304792391,7104613.983546772,7104613.983546772,6948616.824522258,12763255.676353175,19928621.82308151,19775951.132171053,27083945.64596301,50835368.99616308
wfail_alloc_mem_t,0,0,0,0,0,18592950449.909996,18592950449.909996,8701806650.879993,8701806650.879993,8710691110.029995,18604050513.599995,33810743703.290012,33826283698.540012,48750433564.01008,95672868073.70004
avg_wfail_alloc_mem_t,0,0.0,0.0,0.0,0,9301125.787848923,9301125.787848923,4353079.865372683,4353079.865372683,4357524.317173584,9306678.596098047,16913828.76602802,16921602.650595304,24387410.487248663,47860364.2189595
int_frag_mem_t,1018469640072.8689,107083339912.87021,237281382792.86978,237281382792.86978,1343964747272.872,7230162144.370004,7230162144.370004,5500316702.229992,5500316702.229992,5179593922.189992,6909697583.430002,6026571321.049993,5705842614.669992,5390373782.269989,5947034549.629998
avg_int_frag_mem_t,509489564.81884384,53568454.183526866,118700041.41714346,118700041.41714346,672318532.9028875,3616889.5169434734,3616889.5169434734,2751534.118174083,2751534.118174083,2591092.50734867,3456577.0802551284,3014793.057053523,2854348.4815757843,2696535.1587143517,2975004.777203601
mem_t_utilization,0.02219186868695422,0.1775349494956232,0.08876747474781332,0.08876747474781332,0.016908090428153222,0.4723280494227282,0.4723280494227282,0.6194177063388955,0.6194177063388955,0.6246374939382768,0.47533290617528945,0.36717969819906415,0.36896844154224273,0.2991981138090759,0.1853110679086296
total_disk_t,1041584343040.0,130198042880.0,260396085760.0,260396085760.0,1041665716816.7992,40527370006.3599,40527370006.3599,31285682734.780018,31285682734.780018,30972722348.400032,40216472832.919914,54246646279.69996,53939870268.21995,67710308279.36994,111026217588.66069
avg_total_disk_t,521052697.86893445,65131587.23361681,130263174.46723361,130263174.46723361,521093405.11095506,20273821.91413702,20273821.91413702,15650666.700740378,15650666.700740378,15494108.228314172,20118295.56424208,27136891.5856428,26983426.84753374,33872090.18477736,55540879.23394732
