,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
num_tasks,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
total_cores_t,1600000.0,800000.0,600000.0,600000.0,2000000.0,508000.0,712000.0,712000.0,1010000.0,1270000.0,508000.0,710000.0,710000.0,684000.0,940000.0
avg_total_cores_t,8000.0,4000.0,3000.0,3000.0,10000.0,2540.0,3560.0,3560.0,5050.0,6350.0,2540.0,3550.0,3550.0,3420.0,4700.0
wcores_t,1200000.0,400000.0,200000.0,200000.0,1600000.0,108000.0,312000.0,312000.0,610000.0,870000.0,108000.0,310000.0,310000.0,284000.0,540000.0
avg_wcores_t,6000.0,2000.0,1000.0,1000.0,8000.0,540.0,1560.0,1560.0,3050.0,4350.0,540.0,1550.0,1550.0,1420.0,2700.0
wfail_alloc_core_t,0,300000.0,100000.0,100000.0,0,12000.0,216000.0,216000.0,514000.0,726000.0,12000.0,214000.0,214000.0,218000.0,444000.0
avg_wfail_alloc_core_t,0,1500.0,500.0,500.0,0,60.0,1080.0,1080.0,2570.0,3630.0,60.0,1070.0,1070.0,1090.0,2220.0
int_frag_core_t,1200000.0,100000.0,100000.0,100000.0,1600000.0,96000.0,96000.0,96000.0,96000.0,144000.0,96000.0,96000.0,96000.0,66000.0,96000.0
avg_int_frag_core_t,6000.0,500.0,500.0,500.0,8000.0,480.0,480.0,480.0,480.0,720.0,480.0,480.0,480.0,330.0,480.0
cores_t_utilization,0.25,0.5,0.6666666666666667,0.6666666666666667,0.19999999999999996,0.7874015748031495,0.5617977528089888,0.5617977528089888,0.39603960396039606,0.31496062992125984,0.7874015748031495,0.5633802816901409,0.5633802816901409,0.5847953216374269,0.42553191489361697
total_mem_t,12800000000.0,6400000000.0,4800000000.0,4800000000.0,16800000000.0,4164709500.0,3513300000.0,3513300000.0,4097676000.0,4924398000.0,4164709500.0,4402892000.0,4402892000.0,4134971500.0,5145626500.0
avg_total_mem_t,64000000.0,32000000.0,24000000.0,24000000.0,84000000.0,20823547.5,17566500.0,17566500.0,20488380.0,24621990.0,20823547.5,22014460.0,22014460.0,20674857.5,25728132.5
wmem_t,10799071000.0,4399071000.0,2799071000.0,2799071000.0,14799071000.0,2163780500.0,1512371000.0,1512371000.0,2096747000.0,2923469000.0,2163780500.0,2401963000.0,2401963000.0,2134042500.0,3144697500.0
