,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,3,4
# cold starts,x,x,x,x,x,10,10,10,10,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,1,0,1,1,1
num_tasks,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999
total_cores_t,15992000.0,10513000.0,8514000.0,8514000.0,19990000.0,4058000.0,6682000.0,6682000.0,9088000.0,11772000.0,4058000.0,6056000.0,6056000.0,8054000.0,10076000.0
avg_total_cores_t,8000.0,5259.129564782391,4259.129564782391,4259.129564782391,10000.0,2030.0150075037518,3342.671335667834,3342.671335667834,4546.273136568284,5888.944472236118,2030.0150075037518,3029.5147573786894,3029.5147573786894,4029.014507253627,5040.520260130065
no_cold_total_cores_t,0,0,0,0,0,3978000.0,6602000.0,6602000.0,9008000.0,11692000.0,3978000.0,5976000.0,5976000.0,7974000.0,9996000.0
wcores_t,11994000.0,6515000.0,4516000.0,4516000.0,15992000.0,60000.0,2684000.0,2684000.0,5090000.0,7774000.0,60000.0,2058000.0,2058000.0,4056000.0,6078000.0
no_cold_wcores_t,0,0,0,0,0,0.0,2624000.0,2624000.0,5030000.0,7714000.0,0.0,1998000.0,1998000.0,3996000.0,6018000.0
avg_wcores_t,6000.0,3259.1295647823913,2259.1295647823913,2259.1295647823913,8000.0,30.015007503751875,1342.671335667834,1342.671335667834,2546.273136568284,3888.944472236118,30.015007503751875,1029.5147573786894,1029.5147573786894,2029.0145072536268,3040.5202601300653
wfail_alloc_core_t,0,4257000.0,2258000.0,2258000.0,0,0.0,2624000.0,2624000.0,5030000.0,7714000.0,0.0,1998000.0,1998000.0,3996000.0,6018000.0
avg_wfail_alloc_core_t,0,2129.5647823911954,1129.5647823911956,1129.5647823911956,0,0.0,1312.656328164082,1312.656328164082,2516.258129064532,3858.9294647323663,0.0,999.4997498749375,999.4997498749375,1998.999499749875,3010.505252626313
int_frag_core_t,11994000.0,2258000.0,2258000.0,2258000.0,15992000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
avg_int_frag_core_t,6000.0,1129.5647823911956,1129.5647823911956,1129.5647823911956,8000.0,30.015007503751875,30.015007503751875,30.015007503751875,30.015007503751875,30.015007503751875,30.015007503751875,30.015007503751875,30.015007503751875,30.015007503751875,30.015007503751875
cores_t_utilization,0.25,0.38029106820127456,0.469579516091144,0.469579516091144,0.19999999999999996,0.9852143913257763,0.5983238551331936,0.5983238551331936,0.43992077464788737,0.3396194359497112,0.9852143913257763,0.6601717305151915,0.6601717305151915,0.49639930469332005,0.39678443826915444
no_cold_cores_t_util,0,0,0,0,0,1.0,0.6025446834292638,0.6025446834292638,0.441607460035524,0.3402326377009921,1.0,0.6656626506024097,0.6656626506024097,0.49887133182844245,0.3979591836734694
