,whole_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,quartile_bucketing,quartile_bucketing,quartile_bucketing
#buckets,x,x,x,1,2,3,1,2,3
# cold starts,x,x,x,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]",x,1,1,1,1,1,1
num_tasks,1999,1999,1999,1999,1999,1999,1999,1999,1999
total_cores_t,15992000.0,13817000.0,3998000.0,4098000.0,5814000.0,6818000.0,4098000.0,6030000.0,7954000.0
avg_total_cores_t,8000.0,6911.955977988994,2000.0,2050.025012506253,2908.454227113557,3410.705352676338,2050.025012506253,3016.5082541270635,3978.9894947473736
no_cold_total_cores_t,0,0,0,4018000.0,5734000.0,6738000.0,4018000.0,5950000.0,7874000.0
wcores_t,11994000.0,9819000.0,0.0,100000.0,1816000.0,2820000.0,100000.0,2032000.0,3956000.0
no_cold_wcores_t,0,0,0,40000.0,1756000.0,2760000.0,40000.0,1972000.0,3896000.0
avg_wcores_t,6000.0,4911.955977988994,0.0,50.02501250625313,908.4542271135567,1410.7053526763382,50.02501250625313,1016.5082541270635,1978.9894947473738
wfail_alloc_core_t,0,5909000.0,0,10000.0,1726000.0,2730000.0,10000.0,1942000.0,3866000.0
avg_wfail_alloc_core_t,0,2955.977988994497,0,5.002501250625313,863.431715857929,1365.6828414207102,5.002501250625313,971.4857428714357,1933.9669834917459
int_frag_core_t,11994000.0,3910000.0,0.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0
avg_int_frag_core_t,6000.0,1955.9779889944973,0.0,45.02251125562781,45.02251125562781,45.02251125562781,45.02251125562781,45.02251125562781,45.02251125562781
cores_t_efficiency,0.25,0.28935369472389083,1.0,0.9755978526110298,0.6876504987960097,0.5863889703725433,0.9755978526110298,0.6630182421227198,0.5026401810409857
no_cold_cores_t_effi,0,0,0,0.9900447984071677,0.6937565399372165,0.5903829029385574,0.9900447984071677,0.6685714285714286,0.5052070104140208
avg_cores_t_efficiency,0.25,0.44320255365778133,1.0,0.9942471235617809,0.7808070702017675,0.7258033778794158,0.9942471235617809,0.7537935634483908,0.6182496009909716
total_mem_t,63968000000.0,55268000000.0,58125172875.0,55038968500.0,46608404000.0,46758925500.0,55038968500.0,43350504000.0,48558454000.0
avg_total_mem_t,32000000.0,27647823.91195598,29077125.0,27533250.875437718,23315859.929964982,23391158.329164583,27533250.875437718,21686095.047523763,24291372.68634317
no_cold_total_mem_t,0,0,0,54718968500.0,46288404000.0,46438925500.0,54718968500.0,43030504000.0,48238454000.0
wmem_t,42661819500.0,33961819500.0,36818992375.0,33732788000.0,25302223500.0,25452745000.0,33732788000.0,22044323500.0,27252273500.0
no_cold_wmem_t,0,0,0,33527943500.0,25097379000.0,25247900500.0,33527943500.0,21839479000.0,27047429000.0
avg_wmem_t,21341580.540270135,16989404.452226114,18418705.540270135,16874831.415707853,12657440.470235117,12732738.869434718,16874831.415707853,11027675.587793898,13632953.226613307
wfail_alloc_mem_t,0,23636000000.0,0,115895000.0,9859367000.0,16090569500.0,115895000.0,8024859000.0,17042256500.0
avg_wfail_alloc_mem_t,0,11823911.95597799,0,57976.48824412206,4932149.574787394,8049309.404702351,57976.48824412206,4014436.71835918,8525390.945472736
int_frag_mem_t,42661819500.0,10325819500.0,36818992375.0,33616893000.0,15442856500.0,9362175500.0,33616893000.0,14019464500.0,10210017000.0
avg_int_frag_mem_t,21341580.540270135,5165492.496248124,18418705.540270135,16816854.927463733,7725290.895447724,4683429.464732367,16816854.927463733,7013238.869434717,5107562.2811405705
mem_t_efficiency,0.33307560811655823,0.38550663132373164,0.3665568538749916,0.3871108249421499,0.4571317331526735,0.45566018192612234,0.3871108249421499,0.4914863388900853,0.4387738641761535
no_cold_mem_t_effi,0,0,0,0.387270184013063,0.45780418352726093,0.45632031257915306,0.387270184013063,0.4924651823738806,0.43929734978654167
avg_mem_t_efficiency,0.3330756081165583,0.4259306599728436,0.3665568538749916,0.38774153338078526,0.48417549666562115,0.5181773591854977,0.38774153338078526,0.5647051991455281,0.5597676597402506
total_disk_t,63968000000.0,55268000000.0,3998000000.0,4458000000.0,6174000000.0,7178000000.0,4458000000.0,6390000000.0,8314000000.0
avg_total_disk_t,32000000.0,27647823.91195598,2000000.0,2230115.0575287645,3088544.272136068,3590795.3976988494,2230115.0575287645,3196598.2991495747,4159079.539769885
no_cold_total_disk_t,0,0,0,4138000000.0,5854000000.0,6858000000.0,4138000000.0,6070000000.0,7994000000.0
wdisk_t,59970000000.0,51270000000.0,0.0,460000000.0,2176000000.0,3180000000.0,460000000.0,2392000000.0,4316000000.0
no_cold_wdisk_t,0,0,0,160000000.0,1876000000.0,2880000000.0,160000000.0,2092000000.0,4016000000.0
avg_wdisk_t,30000000.0,25647823.91195598,0.0,230115.0575287644,1088544.272136068,1590795.3976988494,230115.0575287644,1196598.2991495747,2159079.539769885
wfail_alloc_disk_t,0,23636000000.0,0,10000000.0,1726000000.0,2730000000.0,10000000.0,1942000000.0,3866000000.0
avg_wfail_alloc_disk_t,0,11823911.95597799,0,5002.501250625312,863431.715857929,1365682.8414207103,5002.501250625312,971485.7428714357,1933966.9834917458
