,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,3,4
# cold starts,x,x,x,x,x,10,10,10,10,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,1,0,1,1,1
num_tasks,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999
total_cores_t,15992000.0,5997000.0,3998000.0,3998000.0,19990000.0,4122000.0,5974000.0,5974000.0,8232000.0,9846000.0,4122000.0,6104000.0,6104000.0,8056000.0,10038000.0
avg_total_cores_t,8000.0,3000.0,2000.0,2000.0,10000.0,2062.031015507754,2988.4942471235618,2988.4942471235618,4118.059029514758,4925.462731365683,2062.031015507754,3053.5267633816907,3053.5267633816907,4030.015007503752,5021.510755377689
no_cold_total_cores_t,0,0,0,0,0,4042000.0,5894000.0,5894000.0,8152000.0,9766000.0,4042000.0,6024000.0,6024000.0,7976000.0,9958000.0
wcores_t,11994000.0,1999000.0,0.0,0.0,15992000.0,124000.0,1976000.0,1976000.0,4234000.0,5848000.0,124000.0,2106000.0,2106000.0,4058000.0,6040000.0
no_cold_wcores_t,0,0,0,0,0,64000.0,1916000.0,1916000.0,4174000.0,5788000.0,64000.0,2046000.0,2046000.0,3998000.0,5980000.0
avg_wcores_t,6000.0,1000.0,0.0,0.0,8000.0,62.03101550775388,988.4942471235618,988.4942471235618,2118.059029514757,2925.462731365683,62.03101550775388,1053.526763381691,1053.526763381691,2030.0150075037518,3021.510755377689
wfail_alloc_core_t,0,1999000.0,0,0,0,16000.0,1868000.0,1868000.0,4126000.0,5740000.0,16000.0,1998000.0,1998000.0,3950000.0,5932000.0
avg_wfail_alloc_core_t,0,1000.0,0.0,0.0,0,8.0040020010005,934.4672336168084,934.4672336168084,2064.032016008004,2871.4357178589294,8.0040020010005,999.4997498749375,999.4997498749375,1975.9879939969985,2967.4837418709353
int_frag_core_t,11994000.0,0.0,0.0,0.0,15992000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0
avg_int_frag_core_t,6000.0,0.0,0.0,0.0,8000.0,54.02701350675338,54.02701350675338,54.02701350675338,54.02701350675338,54.02701350675338,54.02701350675338,54.02701350675338,54.02701350675338,54.02701350675338,54.02701350675338
cores_t_utilization,0.25,0.6666666666666667,1.0,1.0,0.19999999999999996,0.9699175157690442,0.6692333444928021,0.6692333444928021,0.4856656948493683,0.40605321958155594,0.9699175157690442,0.6549803407601573,0.6549803407601573,0.4962760675273088,0.3982865112572226
no_cold_cores_t_util,0,0,0,0,0,0.9841662543295399,0.674923651170682,0.674923651170682,0.48797841020608435,0.40733155846815483,0.9841662543295399,0.6603585657370519,0.6603585657370519,0.4987462387161484,0.39947780678851175
total_mem_t,127936000000.0,47976000000.0,31984000000.0,31984000000.0,167916000000.0,15023129000.0,15669392000.0,15669392000.0,18534700000.0,20687580000.0,15023129000.0,15932311000.0,15932311000.0,18591067000.0,21704325000.0
