,whole_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,quartile_bucketing,quartile_bucketing,quartile_bucketing
#buckets,x,x,x,1,2,3,1,2,3
# cold starts,x,x,x,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]",x,1,1,1,1,1,1
num_tasks,1999,1999,1999,1999,1999,1999,1999,1999,1999
total_cores_t,15992000.0,14049000.0,3998000.0,4122000.0,6118000.0,7070000.0,4122000.0,6012000.0,7976000.0
avg_total_cores_t,8000.0,7028.014007003501,2000.0,2062.031015507754,3060.5302651325665,3536.768384192096,2062.031015507754,3007.503751875938,3989.9949974987494
no_cold_total_cores_t,0,0,0,4042000.0,6038000.0,6990000.0,4042000.0,5932000.0,7896000.0
wcores_t,11994000.0,10051000.0,0.0,124000.0,2120000.0,3072000.0,124000.0,2014000.0,3978000.0
no_cold_wcores_t,0,0,0,64000.0,2060000.0,3012000.0,64000.0,1954000.0,3918000.0
avg_wcores_t,6000.0,5028.014007003501,0.0,62.03101550775388,1060.5302651325662,1536.768384192096,62.03101550775388,1007.503751875938,1989.9949974987494
wfail_alloc_core_t,0,6025000.0,0,16000.0,2012000.0,2964000.0,16000.0,1906000.0,3870000.0
avg_wfail_alloc_core_t,0,3014.0070035017507,0,8.0040020010005,1006.5032516258129,1482.7413706853426,8.0040020010005,953.4767383691845,1935.967983991996
int_frag_core_t,11994000.0,4026000.0,0.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0
avg_int_frag_core_t,6000.0,2014.007003501751,0.0,54.02701350675338,54.02701350675338,54.02701350675338,54.02701350675338,54.02701350675338,54.02701350675338
cores_t_efficiency,0.25,0.2845754146202577,1.0,0.9699175157690442,0.6534815299117358,0.5654879773691655,0.9699175157690442,0.6650033266799733,0.5012537612838516
no_cold_cores_t_effi,0,0,0,0.9841662543295399,0.6588274263000994,0.5690987124463519,0.9841662543295399,0.6706001348617667,0.5037993920972644
avg_cores_t_efficiency,0.25,0.43763786655232384,1.0,0.9930465232616308,0.7452893113223278,0.7061745158293433,0.9930465232616308,0.7585459396364849,0.618714118964244
total_mem_t,63968000000.0,56196000000.0,35247667350.0,33684980000.0,25714537500.0,33013962500.0,33684980000.0,44907132500.0,39841038000.0
avg_total_mem_t,32000000.0,28112056.028014008,17632650.0,16850915.457728863,12863700.60030015,16515238.869434718,16850915.457728863,22464798.649324663,19930484.24212106
no_cold_total_mem_t,0,0,0,33364980000.0,25394537500.0,32693962500.0,33364980000.0,44587132500.0,39521038000.0
wmem_t,43975466500.0,36203466500.0,15255133850.000002,13692446500.0,5722004000.0,13021429000.0,13692446500.0,24914599000.0,19848504500.0
no_cold_wmem_t,0,0,0,13496230500.0,5525788000.0,12825213000.0,13496230500.0,24718383000.0,19652288500.0
avg_wmem_t,21998732.616308153,18110788.64432216,7631382.6163081555,6849648.074037018,2862433.216608304,6513971.485742872,6849648.074037018,12463531.265632816,9929216.858429214
wfail_alloc_mem_t,0,24100000000.0,0,132508500.0,4410279500.0,12035581000.0,132508500.0,13564022500.0,15468071000.0
avg_wfail_alloc_mem_t,0,12056028.014007004,0,66287.39369684842,2206242.8714357177,6020800.900450225,66287.39369684842,6785403.951975988,7737904.452226113
int_frag_mem_t,43975466500.0,12103466500.0,15255133850.000002,13559938000.0,1311724500.0,985848000.0,13559938000.0,11350576500.0,4380433500.0
avg_int_frag_mem_t,21998732.616308153,6054760.630315158,7631382.6163081555,6783360.68034017,656190.3451725863,493170.5852926463,6783360.68034017,5678127.313656828,2191312.4062031014
mem_t_efficiency,0.3125396057403702,0.35576435155527086,0.567201605186506,0.5935147801779903,0.7774798010658368,0.6055781247101132,0.5935147801779903,0.445197285754106,0.5018075457772962
no_cold_mem_t_effi,0,0,0,0.5954971200342395,0.7824024950247667,0.607719223388722,0.5954971200342395,0.4456162212270547,0.5027385540835239
avg_mem_t_efficiency,0.31253960574037015,0.3741849883274971,0.5672016051865061,0.5964674002663721,0.8423173973247691,0.7694044957585274,0.5964674002663721,0.4339757960834616,0.6511482862514544
total_disk_t,63968000000.0,56196000000.0,3998000000.0,4554000000.0,6550000000.0,7502000000.0,4554000000.0,6444000000.0,8408000000.0
avg_total_disk_t,32000000.0,28112056.028014008,2000000.0,2278139.0695347674,3276638.31915958,3752876.4382191096,2278139.0695347674,3223611.8059029514,4206103.051525763
no_cold_total_disk_t,0,0,0,4234000000.0,6230000000.0,7182000000.0,4234000000.0,6124000000.0,8088000000.0
wdisk_t,59970000000.0,52198000000.0,0.0,556000000.0,2552000000.0,3504000000.0,556000000.0,2446000000.0,4410000000.0
no_cold_wdisk_t,0,0,0,256000000.0,2252000000.0,3204000000.0,256000000.0,2146000000.0,4110000000.0
avg_wdisk_t,30000000.0,26112056.028014008,0.0,278139.06953476736,1276638.3191595797,1752876.4382191096,278139.06953476736,1223611.8059029514,2206103.051525763
wfail_alloc_disk_t,0,24100000000.0,0,16000000.0,2012000000.0,2964000000.0,16000000.0,1906000000.0,3870000000.0
avg_wfail_alloc_disk_t,0,12056028.014007004,0,8004.0020010005,1006503.251625813,1482741.3706853427,8004.0020010005,953476.7383691845,1935967.983991996
