,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
num_tasks,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040
total_cores_t,607775.5200000008,97529.53999999989,166277.0800000001,166277.0800000001,759719.3999999985,100300.5700000001,75924.5,79174.84999999999,109033.21999999972,167560.75999999954,100300.5700000001,92737.37000000007,101803.47999999963,100014.75999999962,113887.91999999974
avg_total_cores_t,297.92917647058863,47.80859803921563,81.50837254901965,81.50837254901965,372.4114705882346,49.166946078431415,37.217892156862746,38.81120098039215,53.447656862744964,82.13762745098016,49.166946078431415,45.45949509803925,49.90366666666649,49.026843137254716,55.82741176470575
wcores_t,569430.840000001,59184.86000000005,127932.39999999992,127932.39999999992,721374.7199999996,61955.89000000005,37579.819999999985,40830.16999999999,70688.5399999999,129216.08000000016,61955.89000000005,54392.68999999987,63458.799999999974,61670.07999999997,75543.23999999985
avg_wcores_t,279.13276470588283,29.01218627450983,62.71196078431369,62.71196078431369,353.61505882352924,30.370534313725514,18.421480392156855,20.01478921568627,34.65124509803917,63.34121568627459,30.370534313725514,26.66308333333327,31.107254901960772,30.230431372549006,37.03099999999992
wfail_alloc_core_t,0,10778.8,7166.6,7166.6,0,2728.86,8625.300000000005,9908.25,32970.409999999996,73899.42000000009,2728.86,25438.170000000016,20759.300000000043,20831.630000000045,38197.38
avg_wfail_alloc_core_t,0,5.283725490196078,3.5130392156862746,3.5130392156862746,0,1.3376764705882354,4.22808823529412,4.8569852941176475,16.16196568627451,36.22520588235298,1.3376764705882354,12.469691176470596,10.176127450980413,10.211583333333355,18.72420588235294
int_frag_core_t,569430.840000001,48406.05999999995,120765.79999999993,120765.79999999993,721374.7199999996,59227.03000000004,28954.519999999997,30921.919999999995,37718.12999999997,55316.66000000001,59227.03000000004,28954.519999999997,42699.49999999991,40838.449999999866,37345.859999999935
avg_int_frag_core_t,279.13276470588283,23.7284607843137,59.19892156862742,59.19892156862742,353.61505882352924,29.032857843137275,14.193392156862744,15.157803921568625,18.48927941176469,27.116009803921575,29.032857843137275,14.193392156862744,20.931127450980348,20.01884803921562,18.306794117647026
