,whole_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,quartile_bucketing,quartile_bucketing,quartile_bucketing
#buckets,x,x,x,1,2,3,1,2,3
# cold starts,x,x,x,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]",x,1,1,1,1,1,1
num_tasks,1883,1883,1883,1883,1883,1883,1883,1883,1883
total_cores_t,863175.68496,107896.96062,107896.96062,118233.76880000005,169412.48400000014,274423.54164999985,118233.76880000005,145706.26610000027,178577.81027999992
avg_total_cores_t,458.40450608603294,57.30056326075412,57.30056326075412,62.790105576208205,89.96945512480093,145.73740926712685,62.790105576208205,77.37985454062681,94.83686154009555
no_cold_total_cores_t,0,0,0,116264.49920000005,167443.2144000002,272454.2720499998,116264.49920000005,143736.99650000015,176608.54067999995
wcores_t,809063.5301700021,53784.80583000001,53784.80583000001,64121.614009999954,115300.32921,220311.38685999994,64121.614009999954,91594.11131000001,124465.65548999993
no_cold_wcores_t,0,0,0,62299.91830000001,113478.6335,218489.69115,62299.91830000001,89772.41560000002,122643.95977999993
avg_wcores_t,429.6673022676591,28.563359442379188,28.563359442379188,34.05290175783322,61.232251306425916,117.00020544875196,34.05290175783322,48.64265072225173,66.09965772172062
wfail_alloc_core_t,0,0,0,1076.71216,53578.77024,157528.8928000003,1076.71216,41725.661290000025,82507.94071999991
avg_wfail_alloc_core_t,0,0.0,0,0.5718067764206054,28.453940647902282,83.65846670207132,0.5718067764206054,22.159140355815204,43.81728131704722
int_frag_core_t,809063.5301700021,53784.80583000001,53784.80583000001,63044.90184999998,61721.55896999999,62782.49405999998,63044.90184999998,49868.450020000026,41957.71477000001
avg_int_frag_core_t,429.6673022676591,28.563359442379188,28.563359442379188,33.48109498141263,32.77831065852363,33.34173874668082,33.48109498141263,26.48351036643655,22.2823764046734
cores_t_efficiency,0.06268961896500302,0.5015169517200436,0.5015169517200436,0.4576708950345163,0.31941066863762,0.19718481317107495,0.4576708950345163,0.37137836442025307,0.30301723772486167
no_cold_cores_t_effi,0,0,0,0.46415355737411557,0.32228586326039943,0.1980683969238567,0.46415355737411557,0.375439742126517,0.3055604258560709
avg_cores_t_efficiency,0.06293149229952204,0.5034519383961763,0.5034519383961763,0.4938189650085561,0.35967940296838746,0.22453405153883121,0.4938189650085561,0.4938624442146257,0.40013276686139143
total_mem_t,3452702739.8399906,431587842.4799988,30702080.144421034,67499716.21771993,81300914.62364002,90517144.54863992,67499716.21771993,83258379.02774033,96664262.3175299
avg_total_mem_t,1833618.0243441267,229202.25304301584,16304.875275847602,35846.90186814654,43176.269051322364,48070.70873533719,35846.90186814654,44215.81467219348,51335.24286645242
no_cold_total_mem_t,0,0,0,59622637.81771995,73423836.22364007,82640066.1486398,59622637.81771995,75381300.6277402,88787183.91753004
wmem_t,3429006330.9732213,407891433.6132204,7005671.277640994,43803307.35094002,57604505.75686,66820735.68185994,43803307.35094002,59561970.160959914,72967853.45075013
no_cold_wmem_t,0,0,0,35937993.266900025,49739191.67282002,58955421.59781996,35937993.266900025,51696656.07691991,65102539.36671008
avg_wmem_t,1821033.6330181737,216617.86171705808,3720.4839498890037,23262.510542188007,30591.87772536378,35486.31740937862,23262.510542188007,31631.423346234686,38750.85154049396
wfail_alloc_mem_t,0,0,0,228837.71068999998,14213748.114259994,23482440.755700003,228837.71068999998,16317107.305389993,29855766.07408
avg_wfail_alloc_mem_t,0,0.0,0,121.52825846521507,7548.4589029527315,12470.75982777483,121.52825846521507,8665.48449569304,15855.425424365376
int_frag_mem_t,3429006330.9732213,407891433.6132204,7005671.277640994,43574469.64025004,43390757.64260006,43338294.92616,43574469.64025004,43244862.85556999,43112087.37667005
avg_int_frag_mem_t,1821033.6330181737,216617.86171705808,3720.4839498890037,23140.982283722806,23043.418822411077,23015.557581603825,23140.982283722806,22965.938850541683,22895.426116128543
mem_t_efficiency,0.006863147699725625,0.054905181597826425,0.7718176994950612,0.3510593850550021,0.2914654647672287,0.26178917800535095,0.3510593850550021,0.28461290195050715,0.24514136143655718
no_cold_mem_t_effi,0,0,0,0.39724248067033374,0.32257432693491395,0.2866000192717618,0.39724248067033374,0.3141978760459909,0.2667574700062505
avg_mem_t_efficiency,0.006144425451407328,0.04915540361125863,0.6909914406783852,0.855459759399773,0.5627763451620489,0.4593539456756259,0.855459759399773,0.5819490211744229,0.45272992930018163
total_disk_t,3452702739.8399906,431587842.4799988,17587204.58105999,59708188.65398998,76423456.69484988,93224179.78800014,59708188.65398998,72564693.86505008,85496670.09440014
avg_total_disk_t,1833618.0243441267,229202.25304301584,9339.991811502914,31709.075227822614,40586.00992822617,49508.32702496024,31709.075227822614,38536.74660916095,45404.49819139678
no_cold_total_disk_t,0,0,0,51831110.25399002,68546378.29485002,85347101.38800003,51831110.25399002,64687615.465049975,77619591.6944
wdisk_t,3435545371.2030177,414430473.8430202,429835.9440799997,42550820.01700993,59266088.05787002,76066811.15101996,42550820.01700993,55407325.228069946,68339301.45741996
no_cold_wdisk_t,0,0,0,34712880.85030999,51428148.89117001,68228871.98431994,34712880.85030999,47569386.061369956,60501362.29071995
