,k_means_bucketing,quartile_bucketing
#buckets,2,2
# cold starts,10,10
diagonal?,1,1
num_tasks,227,227
total_cores_t,447757.52145999967,537449.5890100002
avg_total_cores_t,1972.5000945374434,2367.619334845816
no_cold_total_cores_t,398659.72289999976,488351.7904500001
wcores_t,286978.71450000023,376670.7820500002
no_cold_wcores_t,244670.61013000002,334362.6776800003
avg_wcores_t,1264.2234118942742,1659.342652202644
wfail_alloc_core_t,105867.98210000004,165662.69379999998
avg_wfail_alloc_core_t,466.3787757709253,729.7916026431717
int_frag_core_t,181110.73239999998,211008.0882500001
avg_int_frag_core_t,797.8446361233479,929.5510495594717
cores_t_efficiency,0.3590756140416115,0.2991514185658972
no_cold_cores_t_effi,0.3862670441092604,0.31532414906906325
avg_cores_t_efficiency,0.6427470106985524,0.48679987413467596
total_mem_t,3164116657.4413795,3435358673.041778
avg_total_mem_t,13938839.900622817,15133738.647761136
no_cold_total_mem_t,2967725463.201379,3238967478.8017774
wmem_t,1977539975.4015594,2248781991.0019608
no_cold_wmem_t,1810103071.0688796,2081345086.6692808
avg_wmem_t,8711629.847583963,9906528.594722293
wfail_alloc_mem_t,735361979.4106902,714502686.1868495
avg_wfail_alloc_mem_t,3239480.0855096485,3147588.9259332577
int_frag_mem_t,1242177995.9908695,1534279304.8151093
avg_int_frag_mem_t,5472149.762074315,6758939.668789027
mem_t_efficiency,0.3750104090660581,0.3454011050872845
no_cold_mem_t_effi,0.3900705798048232,0.35740475929716564
avg_mem_t_efficiency,0.4390632960792518,0.4192156331891729
total_disk_t,375793830.7623099,375970492.0325399
avg_total_disk_t,1655479.4306709687,1656257.6741521582
no_cold_total_disk_t,179402636.52231023,179579297.7925399
wdisk_t,375163651.6946801,375340312.9649101
no_cold_wdisk_t,178787800.51672995,178964461.78696004
avg_wdisk_t,1652703.3114303087,1653481.5549114982
wfail_alloc_disk_t,308226.68042000005,413436.4779999999
avg_wfail_alloc_disk_t,1357.8267859911896,1821.306070484581
int_frag_disk_t,374855425.01426023,374926876.4869101
avg_int_frag_disk_t,1651345.4846443182,1651660.2488410138
disk_t_efficiency,0.0016769276556548585,0.0016761396997487799
no_cold_disk_t_effi,0.0034271291520502345,0.003423757711148556
avg_disk_t_efficiency,0.6754076653773577,0.5670418572111499
num_retries,94,162
num_retries_bucket,88,156
num_retries_machine,6,6
total_run_time,161302.30010000005,191199.65594999993
avg_run_time,710.5828198237888,842.2892332599116
