,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
num_tasks,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
total_cores_t,1592000.0,869000.0,670000.0,666000.0,1990000.0,474000.0,584000.0,584000.0,652000.0,862000.0,474000.0,650000.0,650000.0,634000.0,838000.0
avg_total_cores_t,8000.0,4366.834170854271,3366.834170854271,3346.7336683417084,10000.0,2381.9095477386936,2934.673366834171,2934.673366834171,3276.381909547739,4331.658291457286,2381.9095477386936,3266.331658291457,3266.331658291457,3185.929648241206,4211.05527638191
wcores_t,1194000.0,471000.0,272000.0,268000.0,1592000.0,76000.0,186000.0,186000.0,254000.0,464000.0,76000.0,252000.0,252000.0,236000.0,440000.0
avg_wcores_t,6000.0,2366.834170854271,1366.8341708542714,1346.7336683417086,8000.0,381.90954773869345,934.6733668341709,934.6733668341709,1276.3819095477386,2331.6582914572864,381.90954773869345,1266.3316582914572,1266.3316582914572,1185.929648241206,2211.0552763819096
wfail_alloc_core_t,0,335000.0,136000.0,148000.0,0,4000.0,114000.0,114000.0,182000.0,332000.0,4000.0,180000.0,180000.0,188000.0,368000.0
avg_wfail_alloc_core_t,0,1683.4170854271356,683.4170854271357,743.7185929648241,0,20.100502512562816,572.8643216080402,572.8643216080402,914.572864321608,1668.3417085427136,20.100502512562816,904.5226130653266,904.5226130653266,944.7236180904523,1849.2462311557788
int_frag_core_t,1194000.0,136000.0,136000.0,120000.0,1592000.0,72000.0,72000.0,72000.0,72000.0,132000.0,72000.0,72000.0,72000.0,48000.0,72000.0
avg_int_frag_core_t,6000.0,683.4170854271357,683.4170854271357,603.0150753768844,8000.0,361.80904522613065,361.80904522613065,361.80904522613065,361.80904522613065,663.3165829145729,361.80904522613065,361.80904522613065,361.80904522613065,241.20603015075378,361.80904522613065
cores_t_utilization,0.25,0.4579976985040276,0.5940298507462687,0.5975975975975976,0.19999999999999996,0.8396624472573839,0.6815068493150684,0.6815068493150684,0.6104294478527608,0.4617169373549884,0.8396624472573839,0.6123076923076923,0.6123076923076923,0.6277602523659306,0.47494033412887826
total_mem_t,12736000000.0,6952000000.0,5360000000.0,5328000000.0,16716000000.0,11064207000.0,6449739500.0,6449739500.0,5686554000.0,6334044000.0,11064207000.0,7190326000.0,7190326000.0,7028781500.0,6707757500.0
