,whole_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,quartile_bucketing,quartile_bucketing,quartile_bucketing
#buckets,x,x,x,1,2,3,1,2,3
# cold starts,x,x,x,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]",x,1,1,1,1,1,1
num_tasks,1999,1999,1999,1999,1999,1999,1999,1999,1999
total_cores_t,15992000.0,8293000.0,3998000.0,4082000.0,4956000.0,6032000.0,4082000.0,6036000.0,7972000.0
avg_total_cores_t,8000.0,4148.574287143571,2000.0,2042.0210105052527,2479.239619809905,3017.508754377189,2042.0210105052527,3019.509754877439,3987.9939969984994
no_cold_total_cores_t,0,0,0,4002000.0,4876000.0,5952000.0,4002000.0,5956000.0,7892000.0
wcores_t,11994000.0,4295000.0,0.0,84000.0,958000.0,2034000.0,84000.0,2038000.0,3974000.0
no_cold_wcores_t,0,0,0,24000.0,898000.0,1974000.0,24000.0,1978000.0,3914000.0
avg_wcores_t,6000.0,2148.574287143572,0.0,42.021010505252626,479.239619809905,1017.5087543771886,42.021010505252626,1019.5097548774387,1987.9939969984991
wfail_alloc_core_t,0,3147000.0,0,6000.0,880000.0,1956000.0,6000.0,1960000.0,3896000.0
avg_wfail_alloc_core_t,0,1574.287143571786,0,3.0015007503751874,440.22011005502753,978.4892446223112,3.0015007503751874,980.4902451225613,1948.9744872436218
int_frag_core_t,11994000.0,1148000.0,0.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0
avg_int_frag_core_t,6000.0,574.2871435717859,0.0,39.01950975487744,39.01950975487744,39.01950975487744,39.01950975487744,39.01950975487744,39.01950975487744
cores_t_efficiency,0.25,0.4820933317255517,1.0,0.979421852033317,0.8066989507667474,0.6627984084880636,0.979421852033317,0.6623591782637508,0.5015052684395385
no_cold_cores_t_effi,0,0,0,0.9940029985007496,0.8158326497128794,0.6683467741935484,0.9940029985007496,0.667897918065816,0.5040547389761785
avg_cores_t_efficiency,0.25,0.5804521308273185,1.0,0.9950475237618809,0.8864432216108054,0.7847733390504776,0.9950475237618809,0.751375687843922,0.6163557969460921
total_mem_t,63968000000.0,33172000000.0,67166400000.0,62691191000.0,29629534000.0,25498035000.0,62691191000.0,38144173500.0,32161848000.0
avg_total_mem_t,32000000.0,16594297.148574287,33600000.0,31361276.138069034,14822178.089044522,12755395.1975988,31361276.138069034,19081627.56378189,16088968.48424212
no_cold_total_mem_t,0,0,0,62371191000.0,29309534000.0,25178035000.0,62371191000.0,37824173500.0,31841848000.0
wmem_t,53903300500.0,23107300500.0,57101700500.0,52626491500.0,19564834500.0,15433335500.0,52626491500.0,28079474000.0,22097148500.0
no_cold_wmem_t,0,0,0,52370890000.0,19309233000.0,15177734000.0,52370890000.0,27823872500.0,21841547000.0
avg_wmem_t,26965132.816408206,11559429.964982491,28565132.816408206,26326408.95447724,9787310.905452726,7720528.014007003,26326408.95447724,14046760.380190095,11054101.300650325
wfail_alloc_mem_t,0,12588000000.0,0,65454000.0,3452261000.0,6100682500.0,65454000.0,3532366500.0,6453837500.0
avg_wfail_alloc_mem_t,0,6297148.574287144,0,32743.37168584292,1726993.9969984991,3051867.183591796,32743.37168584292,1767066.783391696,3228533.016508254
int_frag_mem_t,53903300500.0,10519300500.0,57101700500.0,52561037500.0,16112573500.0,9332653000.0,52561037500.0,24547107500.0,15643311000.0
avg_int_frag_mem_t,26965132.816408206,5262281.390695347,28565132.816408206,26293665.582791395,8060316.908454227,4668660.830415208,26293665.582791395,12279693.5967984,7825568.284142071
mem_t_efficiency,0.15733959948724363,0.3034094869166767,0.14984723760689866,0.16054407867287124,0.33968470445738363,0.3947245150459634,0.16054407867287124,0.2638594201025224,0.3129390916840351
no_cold_mem_t_effi,0,0,0,0.16033525798793868,0.34119617869052443,0.39718353715847965,0.16033525798793868,0.26438914785540524,0.31406157707932025
avg_mem_t_efficiency,0.15733959948724363,0.2758787614045118,0.14984723760689866,0.16128369777159268,0.3593981495892187,0.4140928190393636,0.16128369777159268,0.34334928733445397,0.4059818614104339
total_disk_t,63968000000.0,33172000000.0,3998000000.0,4394000000.0,5268000000.0,6344000000.0,4394000000.0,6348000000.0,8284000000.0
avg_total_disk_t,32000000.0,16594297.148574287,2000000.0,2198099.049524762,2635317.6588294148,3173586.7933966983,2198099.049524762,3175587.7938969485,4144072.036018009
no_cold_total_disk_t,0,0,0,4074000000.0,4948000000.0,6024000000.0,4074000000.0,6028000000.0,7964000000.0
wdisk_t,59970000000.0,29174000000.0,0.0,396000000.0,1270000000.0,2346000000.0,396000000.0,2350000000.0,4286000000.0
no_cold_wdisk_t,0,0,0,96000000.0,970000000.0,2046000000.0,96000000.0,2050000000.0,3986000000.0
avg_wdisk_t,30000000.0,14594297.148574287,0.0,198099.04952476238,635317.6588294148,1173586.7933966983,198099.04952476238,1175587.7938969485,2144072.036018009
wfail_alloc_disk_t,0,12588000000.0,0,6000000.0,880000000.0,1956000000.0,6000000.0,1960000000.0,3896000000.0
avg_wfail_alloc_disk_t,0,6297148.574287144,0,3001.5007503751876,440220.11005502753,978489.2446223112,3001.5007503751876,980490.2451225612,1948974.4872436218
