,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
num_tasks,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999
total_cores_t,130198042.8799999,16274755.359999988,32549510.719999976,32549510.719999976,162747553.60000008,8638443.02999999,11675777.26,11675777.26,15802600.939999996,20861476.249999978,8638443.02999999,15468016.600000013,15468016.600000013,15433873.880000012,21097592.419999965
avg_total_cores_t,65131.58723361676,8141.448404202095,16282.89680840419,16282.89680840419,81414.48404202105,4321.382206103047,5840.809034517259,5840.809034517259,7905.253096548272,10435.956103051514,4321.382206103047,7737.877238619316,7737.877238619316,7720.797338669341,10554.073246623293
wcores_t,122060665.20000024,8137377.679999994,24412133.03999996,24412133.03999996,154610175.91999996,501065.35000000003,3538399.580000002,3538399.580000002,7665223.2600000035,12724098.570000002,501065.35000000003,7330638.92,7330638.92,7296496.199999999,12960214.739999998
avg_wcores_t,61060.86303151588,4070.7242021010475,12212.172606303133,12212.172606303133,77343.75983991993,250.658004002001,1770.084832416209,1770.084832416209,3834.5288944472254,6365.231900950476,250.658004002001,3667.153036518259,3667.153036518259,3650.0731365682836,6483.349044522261
wfail_alloc_core_t,0,0,0,0,0,23836.3,3061170.5300000026,3061170.5300000026,7187994.2100000065,12121234.47,23836.3,6853409.870000001,6853409.870000001,6857638.65,12482985.69
avg_wfail_alloc_core_t,0,0.0,0.0,0.0,0,11.924112056028013,1531.3509404702363,1531.3509404702363,3595.7950025012537,6063.6490595297655,11.924112056028013,3428.4191445722868,3428.4191445722868,3430.5345922961483,6244.615152576288
int_frag_core_t,122060665.20000024,8137377.679999994,24412133.03999996,24412133.03999996,154610175.91999996,477229.04999999993,477229.04999999993,477229.04999999993,477229.04999999993,602864.0999999999,477229.04999999993,477229.04999999993,477229.04999999993,438857.55,477229.04999999993
avg_int_frag_core_t,61060.86303151588,4070.7242021010475,12212.172606303133,12212.172606303133,77343.75983991993,238.73389194597294,238.73389194597294,238.73389194597294,238.73389194597294,301.5828414207103,238.73389194597294,238.73389194597294,238.73389194597294,219.53854427213605,238.73389194597294
