,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,3,4
# cold starts,x,x,x,x,x,10,10,10,10,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,1,0,1,1,1
num_tasks,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949
total_cores_t,50.367999999998105,7.331999999999694,12.591999999999526,12.591999999999526,62.96000000000145,10.352000000000105,16.469000000000186,16.048000000000325,21.514000000000458,29.637000000000782,10.352000000000105,15.322999999999963,14.47500000000021,18.290000000000227,22.392999999999947
avg_total_cores_t,0.025842996408413598,0.0037619291944585398,0.0064607491021033995,0.0064607491021033995,0.032303745510518955,0.00531144176500775,0.008449974345818463,0.008233966136480413,0.011038481272447644,0.015206259620318513,0.00531144176500775,0.007861980502821941,0.0074268855823500304,0.009384299640841573,0.011489481785531015
no_cold_total_cores_t,0,0,0,0,0,10.128000000000094,16.245000000000104,15.824000000000312,21.290000000000457,29.413000000000785,10.128000000000094,15.09899999999995,14.251000000000197,18.066000000000223,22.169000000000008
wcores_t,43.77200000000033,0.7360000000000005,5.995999999999813,5.995999999999813,56.36400000000077,3.7559999999998697,9.87299999999977,9.452000000000155,14.918000000000252,23.041000000000373,3.7559999999998697,8.726999999999817,7.879000000000034,11.693999999999996,15.79699999999982
no_cold_wcores_t,0,0,0,0,0,3.5599999999998784,9.676999999999762,9.25600000000015,14.722000000000246,22.845000000000365,3.5599999999998784,8.530999999999826,7.683000000000033,11.497999999999985,15.60099999999982
avg_wcores_t,0.022458696767573286,0.0003776295536172399,0.00307644946126209,0.00307644946126209,0.02891944586967715,0.0019271421241661723,0.005065674704976793,0.004849666495638868,0.007654181631606081,0.011821959979476847,0.0019271421241661723,0.004477680861980409,0.004042585941508484,0.0059999999999999975,0.008105182144689492
wfail_alloc_core_t,0,0.5180000000000003,0,0,0,0.12500000000000006,9.105999999999744,6.011999999999795,11.405000000000083,19.52399999999992,0.12500000000000006,7.959999999999826,4.962999999999846,9.336999999999708,13.754999999999997
avg_wfail_alloc_core_t,0,0.00026577732170343784,0.0,0.0,0,6.41354540790149e-05,0.004672139558747944,0.003084658799384195,0.00585171883016936,0.01001744484350945,6.41354540790149e-05,0.004084145715751578,0.002546434068753128,0.004790661877885946,0.007057465366854796
int_frag_core_t,43.77200000000033,0.21800000000000017,5.995999999999813,5.995999999999813,56.36400000000077,3.630999999999875,0.7670000000000005,3.439999999999889,3.5129999999998844,3.516999999999884,3.630999999999875,0.7670000000000005,2.9159999999999173,2.3569999999999447,2.041999999999965
avg_int_frag_core_t,0.022458696767573286,0.00011185223191380203,0.00307644946126209,0.00307644946126209,0.02891944586967715,0.00186300667008716,0.00039353514622883555,0.0017650076962544324,0.0018024628014365748,0.001804515135967103,0.00186300667008716,0.00039353514622883555,0.0014961518727552167,0.0012093381221138762,0.0010477167778347692
