,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,3,4
# cold starts,x,x,x,x,x,10,10,10,10,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,1,0,1,1,1
num_tasks,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
total_cores_t,38916634.55999991,4864579.319999989,9729158.639999978,9729158.639999978,48645793.20000002,5167923.527999981,7168216.246999974,7576077.135999961,9634625.326999966,11808980.028999921,5167923.527999981,6279303.225999967,6159108.922999981,7812892.479999973,9333856.442000002
avg_total_cores_t,19615.239193548343,2451.904899193543,4903.809798387086,4903.809798387086,24519.04899193549,2604.800165322571,3613.0122212701485,3818.5872661290127,4856.16195917337,5952.106869455605,2604.800165322571,3164.971384072564,3104.3895781249903,3937.949838709664,4704.564738911291
no_cold_total_cores_t,0,0,0,0,0,4848230.455999989,6848523.174999962,7256384.063999963,9314932.25499996,11489286.956999931,4848230.455999989,5959610.153999957,5839415.850999981,7493199.407999971,9014163.369999971
wcores_t,36426751.38499997,2374696.144999994,7239275.464999997,7239275.464999997,46155910.025000006,2678040.352999987,4678333.071999996,5086193.960999979,7144742.151999993,9319096.854000002,2678040.352999987,3789420.050999999,3669225.7480000034,5323009.305000005,6843973.267000017
no_cold_wcores_t,0,0,0,0,0,2378328.0979999932,4378620.816999995,4786481.705999986,6845029.8969999915,9019384.599000001,2378328.0979999932,3489707.795999998,3369513.493000004,5023297.050000009,6544261.012000017
avg_wcores_t,18360.257754536273,1196.9234601814485,3648.8283593749984,3648.8283593749984,23264.06755292339,1349.8187263104774,2358.0307822580626,2563.605827116925,3601.180520161287,4697.12543044355,1349.8187263104774,1909.9899450604835,1849.408139112905,2682.968399697583,3449.583299899202
wfail_alloc_core_t,0,0,0,0,0,52918.56599999999,3740663.0749999895,2462829.893999993,4521378.085000007,6695732.786999991,52918.56599999999,2851750.053999999,1707024.308000002,3545668.4800000037,5178418.927000009
avg_wfail_alloc_core_t,0,0.0,0.0,0.0,0,26.672664314516126,1885.414856350801,1241.3457127016093,2278.9204057459715,3374.8653160282215,26.672664314516126,1437.3740191532254,860.3953165322591,1787.1312903225826,2610.0901849798433
int_frag_core_t,36426751.38499997,2374696.144999994,7239275.464999997,7239275.464999997,46155910.025000006,2625121.7869999907,937669.997,2623364.066999991,2623364.066999991,2623364.066999991,2625121.7869999907,937669.997,1962201.4400000027,1777340.8250000034,1665554.340000003
avg_int_frag_core_t,18360.257754536273,1196.9234601814485,3648.8283593749984,3648.8283593749984,23264.06755292339,1323.146061995963,472.61592590725803,1322.260114415318,1322.260114415318,1322.260114415318,1323.146061995963,472.61592590725803,989.0128225806466,895.8371093750018,839.4931149193565
