,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,3,4
# cold starts,x,x,x,x,x,10,10,10,10,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,1,0,1,1,1
num_tasks,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
total_cores_t,1592000.0,1001000.0,802000.0,802000.0,1990000.0,482000.0,686000.0,686000.0,872000.0,1048000.0,482000.0,662000.0,662000.0,838000.0,1022000.0
avg_total_cores_t,8000.0,5030.150753768844,4030.1507537688444,4030.1507537688444,10000.0,2422.110552763819,3447.236180904523,3447.236180904523,4381.909547738694,5266.331658291458,2422.110552763819,3326.6331658291456,3326.6331658291456,4211.05527638191,5135.678391959799
no_cold_total_cores_t,0,0,0,0,0,402000.0,606000.0,606000.0,792000.0,968000.0,402000.0,582000.0,582000.0,758000.0,942000.0
wcores_t,1194000.0,603000.0,404000.0,404000.0,1592000.0,84000.0,288000.0,288000.0,474000.0,650000.0,84000.0,264000.0,264000.0,440000.0,624000.0
no_cold_wcores_t,0,0,0,0,0,24000.0,228000.0,228000.0,414000.0,590000.0,24000.0,204000.0,204000.0,380000.0,564000.0
avg_wcores_t,6000.0,3030.1507537688444,2030.1507537688442,2030.1507537688442,8000.0,422.1105527638191,1447.2361809045226,1447.2361809045226,2381.9095477386936,3266.331658291457,422.1105527638191,1326.6331658291458,1326.6331658291458,2211.0552763819096,3135.678391959799
wfail_alloc_core_t,0,401000.0,202000.0,202000.0,0,6000.0,210000.0,210000.0,396000.0,572000.0,6000.0,186000.0,186000.0,362000.0,546000.0
avg_wfail_alloc_core_t,0,2015.0753768844222,1015.0753768844221,1015.0753768844221,0,30.150753768844222,1055.2763819095478,1055.2763819095478,1989.9497487437186,2874.3718592964824,30.150753768844222,934.6733668341709,934.6733668341709,1819.0954773869346,2743.718592964824
int_frag_core_t,1194000.0,202000.0,202000.0,202000.0,1592000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0
avg_int_frag_core_t,6000.0,1015.0753768844221,1015.0753768844221,1015.0753768844221,8000.0,391.95979899497485,391.95979899497485,391.95979899497485,391.95979899497485,391.95979899497485,391.95979899497485,391.95979899497485,391.95979899497485,391.95979899497485,391.95979899497485
cores_t_utilization,0.25,0.3976023976023976,0.4962593516209476,0.4962593516209476,0.19999999999999996,0.8257261410788381,0.5801749271137027,0.5801749271137027,0.45642201834862384,0.3797709923664122,0.8257261410788381,0.6012084592145015,0.6012084592145015,0.47494033412887826,0.3894324853228963
no_cold_cores_t_util,0,0,0,0,0,0.9402985074626866,0.6237623762376238,0.6237623762376238,0.4772727272727273,0.390495867768595,0.9402985074626866,0.6494845360824743,0.6494845360824743,0.4986807387862797,0.4012738853503185
