,whole_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,quartile_bucketing,quartile_bucketing,quartile_bucketing
#buckets,x,x,x,1,2,3,1,2,3
# cold starts,x,x,x,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]",x,1,1,1,1,1,1
num_tasks,1999,1999,1999,1999,1999,1999,1999,1999,1999
total_cores_t,15992000.0,5997000.0,3998000.0,4090000.0,5786000.0,8028000.0,4090000.0,6094000.0,8048000.0
avg_total_cores_t,8000.0,3000.0,2000.0,2046.023011505753,2894.447223611806,4016.008004002001,2046.023011505753,3048.5242621310654,4026.0130065032517
no_cold_total_cores_t,0,0,0,4010000.0,5706000.0,7948000.0,4010000.0,6014000.0,7968000.0
wcores_t,11994000.0,1999000.0,0.0,92000.0,1788000.0,4030000.0,92000.0,2096000.0,4050000.0
no_cold_wcores_t,0,0,0,32000.0,1728000.0,3970000.0,32000.0,2036000.0,3990000.0
avg_wcores_t,6000.0,1000.0,0.0,46.023011505752876,894.447223611806,2016.008004002001,46.023011505752876,1048.5242621310656,2026.0130065032515
wfail_alloc_core_t,0,1999000.0,0,8000.0,1704000.0,3946000.0,8000.0,2012000.0,3966000.0
avg_wfail_alloc_core_t,0,1000.0,0,4.00200100050025,852.4262131065533,1973.9869934967485,4.00200100050025,1006.5032516258129,1983.991995997999
int_frag_core_t,11994000.0,0.0,0.0,84000.0,84000.0,84000.0,84000.0,84000.0,84000.0
avg_int_frag_core_t,6000.0,0.0,0.0,42.021010505252626,42.021010505252626,42.021010505252626,42.021010505252626,42.021010505252626,42.021010505252626
cores_t_efficiency,0.25,0.6666666666666667,1.0,0.9775061124694376,0.6909782232976149,0.49800697558545093,0.9775061124694376,0.6560551361995406,0.4967693836978131
no_cold_cores_t_effi,0,0,0,0.9920199501246882,0.6971608832807571,0.5005032712632109,0.9920199501246882,0.661456601263718,0.4992469879518072
avg_cores_t_efficiency,0.25,0.6666666666666666,1.0,0.9946473236618308,0.7834750708687677,0.590414254746421,0.9946473236618308,0.7449558112389527,0.6137592605826723
total_mem_t,63968000000.0,23988000000.0,16389651075.000002,14434880500.0,14618143500.0,17443483500.0,14434880500.0,15306956500.0,17910545500.0
avg_total_mem_t,32000000.0,12000000.0,8198925.000000001,7221050.775387694,7312728.114057029,8726104.8024012,7221050.775387694,7657306.903451726,8959752.626313157
no_cold_total_mem_t,0,0,0,14114880500.0,14298143500.0,17123483500.0,14114880500.0,14986956500.0,17590545500.0
wmem_t,56030190500.0,16050190500.0,8451841575.000001,6497071000.0,6680334000.0,9505674000.0,6497071000.0,7369147000.0,9972736000.0
no_cold_wmem_t,0,0,0,6219786500.0,6403049500.0,9228389500.0,6219786500.0,7091862500.0,9695451500.0
avg_wmem_t,28029109.804902453,8029109.804902451,4228034.804902452,3250160.5802901452,3341837.91895948,4755214.607303652,3250160.5802901452,3686416.708354177,4988862.431215608
wfail_alloc_mem_t,0,7996000000.0,0,26463000.0,3501602500.0,7263004000.0,26463000.0,3960393500.0,7577655500.0
avg_wfail_alloc_mem_t,0,4000000.0,0,13238.119059529765,1751677.0885442721,3633318.659329665,13238.119059529765,1981187.343671836,3790723.111555778
int_frag_mem_t,56030190500.0,8054190500.0,8451841575.000001,6470608000.0,3178731500.0,2242670000.0,6470608000.0,3408753500.0,2395080500.0
avg_int_frag_mem_t,28029109.804902453,4029109.804902451,4228034.804902452,3236922.461230615,1590160.8304152077,1121895.947973987,3236922.461230615,1705229.3646823412,1198139.3196598298
mem_t_efficiency,0.12409031859679842,0.3309075162581291,0.48431839480145855,0.5499047602091337,0.5430107797204207,0.4550587329646627,0.5499047602091337,0.5185752961406795,0.44319194521462235
no_cold_mem_t_effi,0,0,0,0.5593454368954807,0.5521761618912273,0.4610682166394472,0.5593454368954807,0.5267976857075685,0.44882599007517987
avg_mem_t_efficiency,0.1240903185967984,0.33090751625812903,0.48431839480145855,0.5627446139820101,0.6417791043052461,0.5455699351520408,0.5627446139820101,0.6160602551222722,0.5543385225328068
total_disk_t,63968000000.0,23988000000.0,3998000000.0,4426000000.0,6122000000.0,8364000000.0,4426000000.0,6430000000.0,8384000000.0
avg_total_disk_t,32000000.0,12000000.0,2000000.0,2214107.0535267633,3062531.2656328166,4184092.0460230117,2214107.0535267633,3216608.304152076,4194097.048524262
no_cold_total_disk_t,0,0,0,4106000000.0,5802000000.0,8044000000.0,4106000000.0,6110000000.0,8064000000.0
wdisk_t,59970000000.0,19990000000.0,0.0,428000000.0,2124000000.0,4366000000.0,428000000.0,2432000000.0,4386000000.0
no_cold_wdisk_t,0,0,0,128000000.0,1824000000.0,4066000000.0,128000000.0,2132000000.0,4086000000.0
avg_wdisk_t,30000000.0,10000000.0,0.0,214107.05352676337,1062531.2656328164,2184092.0460230117,214107.05352676337,1216608.3041520761,2194097.048524262
wfail_alloc_disk_t,0,7996000000.0,0,8000000.0,1704000000.0,3946000000.0,8000000.0,2012000000.0,3966000000.0
avg_wfail_alloc_disk_t,0,4000000.0,0,4002.00100050025,852426.2131065533,1973986.9934967484,4002.00100050025,1006503.251625813,1983991.995997999
