,whole_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,quartile_bucketing,quartile_bucketing,quartile_bucketing
#buckets,x,x,x,1,2,3,1,2,3
# cold starts,x,x,x,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]",x,1,1,1,1,1,1
num_tasks,1999,1999,1999,1999,1999,1999,1999,1999,1999
total_cores_t,15992000.0,12637000.0,3998000.0,4114000.0,5484000.0,7580000.0,4114000.0,6192000.0,8244000.0
avg_total_cores_t,8000.0,6321.660830415208,2000.0,2058.0290145072536,2743.3716858429216,3791.895947973987,2058.0290145072536,3097.5487743871936,4124.062031015508
no_cold_total_cores_t,0,0,0,4034000.0,5404000.0,7500000.0,4034000.0,6112000.0,8164000.0
wcores_t,11994000.0,8639000.0,0.0,116000.0,1486000.0,3582000.0,116000.0,2194000.0,4246000.0
no_cold_wcores_t,0,0,0,56000.0,1426000.0,3522000.0,56000.0,2134000.0,4186000.0
avg_wcores_t,6000.0,4321.660830415208,0.0,58.02901450725363,743.3716858429215,1791.895947973987,58.02901450725363,1097.5487743871936,2124.0620310155077
wfail_alloc_core_t,0,5319000.0,0,14000.0,1384000.0,3480000.0,14000.0,2092000.0,4144000.0
avg_wfail_alloc_core_t,0,2660.830415207604,0,7.003501750875437,692.3461730865432,1740.8704352176087,7.003501750875437,1046.5232616308153,2073.0365182591295
int_frag_core_t,11994000.0,3320000.0,0.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0
avg_int_frag_core_t,6000.0,1660.830415207604,0.0,51.02551275637819,51.02551275637819,51.02551275637819,51.02551275637819,51.02551275637819,51.02551275637819
cores_t_efficiency,0.25,0.31637255677771625,1.0,0.9718035974720467,0.7290299051787017,0.5274406332453826,0.9718035974720467,0.645671834625323,0.48495875788452203
no_cold_cores_t_effi,0,0,0,0.9861179970252851,0.7361213915618061,0.5304,0.9861179970252851,0.6508507853403142,0.4872611464968153
avg_cores_t_efficiency,0.25,0.44972009814431024,1.0,0.9934467233616809,0.8237452059363014,0.6690011672502919,0.9934467233616809,0.7352009338002333,0.5951308987827246
total_mem_t,63968000000.0,50548000000.0,45000438525.00001,42473011500.0,37053250500.0,42310971000.0,42473011500.0,37737823500.0,42118146000.0
avg_total_mem_t,32000000.0,25286643.32166083,22511475.000000004,21247129.31465733,18535893.1965983,21166068.534267135,21247129.31465733,18878350.92546273,21069607.80390195
no_cold_total_mem_t,0,0,0,42153011500.0,36733250500.0,41990971000.0,42153011500.0,37417823500.0,41798146000.0
wmem_t,44320841000.0,30900841000.0,25353279525.000004,22825852500.0,17406091500.0,22663812000.0,22825852500.0,18090664500.0,22470987000.0
no_cold_wmem_t,0,0,0,22594422500.0,17174661500.0,22432382000.0,22594422500.0,17859234500.0,22239557000.0
avg_wmem_t,22171506.25312656,15458149.574787393,12682981.253126565,11418635.567783892,8707399.449724862,11337574.787393697,11418635.567783892,9049857.178589294,11241114.057028513
wfail_alloc_mem_t,0,21276000000.0,0,132665500.0,7735748500.0,16156324000.0,132665500.0,8100972500.0,15877657500.0
avg_wfail_alloc_mem_t,0,10643321.660830416,0,66365.93296648325,3869809.154577289,8082203.101550776,66365.93296648325,4052512.5062531265,7942800.150075038
int_frag_mem_t,44320841000.0,9624841000.0,25353279525.000004,22693187000.0,9670343000.0,6507488000.0,22693187000.0,9989692000.0,6593329500.0
avg_int_frag_mem_t,22171506.25312656,4814827.913956978,12682981.253126565,11352269.634817408,4837590.295147574,3255371.6858429215,11352269.634817408,4997344.672336168,3298313.906953477
mem_t_efficiency,0.3071404295897949,0.3886832119965181,0.4365992786733627,0.46257984320231216,0.5302411727683648,0.46435140899980765,0.46257984320231216,0.5206224731004956,0.46647729935690907
no_cold_mem_t_effi,0,0,0,0.46399031300527604,0.5324491770745963,0.4657808222629575,0.46399031300527604,0.5227078213140858,0.4679295823312355
avg_mem_t_efficiency,0.30714042958979487,0.43253266275995145,0.4365992786733626,0.46353015477379644,0.5610170189291354,0.574823320448973,0.46353015477379644,0.5991369066568751,0.5778413204652266
total_disk_t,63968000000.0,50548000000.0,3998000000.0,4522000000.0,5892000000.0,7988000000.0,4522000000.0,6600000000.0,8652000000.0
avg_total_disk_t,32000000.0,25286643.32166083,2000000.0,2262131.0655327663,2947473.736868434,3995997.9989994997,2262131.0655327663,3301650.8254127065,4328164.0820410205
no_cold_total_disk_t,0,0,0,4202000000.0,5572000000.0,7668000000.0,4202000000.0,6280000000.0,8332000000.0
wdisk_t,59970000000.0,46550000000.0,0.0,524000000.0,1894000000.0,3990000000.0,524000000.0,2602000000.0,4654000000.0
no_cold_wdisk_t,0,0,0,224000000.0,1594000000.0,3690000000.0,224000000.0,2302000000.0,4354000000.0
avg_wdisk_t,30000000.0,23286643.32166083,0.0,262131.06553276637,947473.7368684342,1995997.9989994997,262131.06553276637,1301650.8254127062,2328164.0820410205
wfail_alloc_disk_t,0,21276000000.0,0,14000000.0,1384000000.0,3480000000.0,14000000.0,2092000000.0,4144000000.0
avg_wfail_alloc_disk_t,0,10643321.660830416,0,7003.501750875438,692346.1730865432,1740870.4352176087,7003.501750875438,1046523.2616308155,2073036.5182591295
