,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,3,4
# cold starts,x,x,x,x,x,10,10,10,10,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,1,0,1,1,1
num_tasks,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999
total_cores_t,15992000.0,7333000.0,5334000.0,5334000.0,19990000.0,4098000.0,5428000.0,5428000.0,8096000.0,10042000.0,4098000.0,6154000.0,6154000.0,8176000.0,10230000.0
avg_total_cores_t,8000.0,3668.3341670835416,2668.3341670835416,2668.3341670835416,10000.0,2050.025012506253,2715.35767883942,2715.35767883942,4050.025012506253,5023.511755877939,2050.025012506253,3078.5392696348176,3078.5392696348176,4090.0450225112554,5117.558779389695
no_cold_total_cores_t,0,0,0,0,0,4018000.0,5348000.0,5348000.0,8016000.0,9962000.0,4018000.0,6074000.0,6074000.0,8096000.0,10150000.0
wcores_t,11994000.0,3335000.0,1336000.0,1336000.0,15992000.0,100000.0,1430000.0,1430000.0,4098000.0,6044000.0,100000.0,2156000.0,2156000.0,4178000.0,6232000.0
no_cold_wcores_t,0,0,0,0,0,40000.0,1370000.0,1370000.0,4038000.0,5984000.0,40000.0,2096000.0,2096000.0,4118000.0,6172000.0
avg_wcores_t,6000.0,1668.3341670835418,668.3341670835417,668.3341670835417,8000.0,50.02501250625313,715.3576788394197,715.3576788394197,2050.025012506253,3023.511755877939,50.02501250625313,1078.5392696348174,1078.5392696348174,2090.0450225112554,3117.558779389695
wfail_alloc_core_t,0,2667000.0,668000.0,668000.0,0,10000.0,1340000.0,1340000.0,4008000.0,5954000.0,10000.0,2066000.0,2066000.0,4088000.0,6142000.0
avg_wfail_alloc_core_t,0,1334.1670835417708,334.16708354177086,334.16708354177086,0,5.002501250625313,670.3351675837919,670.3351675837919,2005.0025012506253,2978.489244622311,5.002501250625313,1033.5167583791897,1033.5167583791897,2045.0225112556277,3072.536268134067
int_frag_core_t,11994000.0,668000.0,668000.0,668000.0,15992000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0
avg_int_frag_core_t,6000.0,334.16708354177086,334.16708354177086,334.16708354177086,8000.0,45.02251125562781,45.02251125562781,45.02251125562781,45.02251125562781,45.02251125562781,45.02251125562781,45.02251125562781,45.02251125562781,45.02251125562781,45.02251125562781
cores_t_utilization,0.25,0.5452066003000136,0.7495313085864267,0.7495313085864267,0.19999999999999996,0.9755978526110298,0.736551215917465,0.736551215917465,0.49382411067193677,0.39812786297550284,0.9755978526110298,0.6496587585310367,0.6496587585310367,0.4889921722113503,0.390811339198436
no_cold_cores_t_util,0,0,0,0,0,0.9900447984071677,0.7438294689603591,0.7438294689603591,0.49625748502994016,0.39931740614334466,0.9900447984071677,0.6549226210075733,0.6549226210075733,0.49135375494071143,0.3919211822660098
