,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,3,4
# cold starts,x,x,x,x,x,10,10,10,10,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,1,0,1,1,1
num_tasks,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999
total_cores_t,15992000.0,5997000.0,3998000.0,3998000.0,19990000.0,4090000.0,6184000.0,6184000.0,8078000.0,10244000.0,4090000.0,6002000.0,6002000.0,7978000.0,9940000.0
avg_total_cores_t,8000.0,3000.0,2000.0,2000.0,10000.0,2046.023011505753,3093.5467733866935,3093.5467733866935,4041.0205102551276,5124.56228114057,2046.023011505753,3002.501250625313,3002.501250625313,3990.9954977488746,4972.486243121561
no_cold_total_cores_t,0,0,0,0,0,4010000.0,6104000.0,6104000.0,7998000.0,10164000.0,4010000.0,5922000.0,5922000.0,7898000.0,9860000.0
wcores_t,11994000.0,1999000.0,0.0,0.0,15992000.0,92000.0,2186000.0,2186000.0,4080000.0,6246000.0,92000.0,2004000.0,2004000.0,3980000.0,5942000.0
no_cold_wcores_t,0,0,0,0,0,32000.0,2126000.0,2126000.0,4020000.0,6186000.0,32000.0,1944000.0,1944000.0,3920000.0,5882000.0
avg_wcores_t,6000.0,1000.0,0.0,0.0,8000.0,46.023011505752876,1093.5467733866933,1093.5467733866933,2041.0205102551276,3124.56228114057,46.023011505752876,1002.5012506253127,1002.5012506253127,1990.9954977488744,2972.4862431215606
wfail_alloc_core_t,0,1999000.0,0,0,0,8000.0,2102000.0,2102000.0,3996000.0,6162000.0,8000.0,1920000.0,1920000.0,3896000.0,5858000.0
avg_wfail_alloc_core_t,0,1000.0,0.0,0.0,0,4.00200100050025,1051.5257628814406,1051.5257628814406,1998.999499749875,3082.5412706353177,4.00200100050025,960.48024012006,960.48024012006,1948.9744872436218,2930.465232616308
int_frag_core_t,11994000.0,0.0,0.0,0.0,15992000.0,84000.0,84000.0,84000.0,84000.0,84000.0,84000.0,84000.0,84000.0,84000.0,84000.0
avg_int_frag_core_t,6000.0,0.0,0.0,0.0,8000.0,42.021010505252626,42.021010505252626,42.021010505252626,42.021010505252626,42.021010505252626,42.021010505252626,42.021010505252626,42.021010505252626,42.021010505252626,42.021010505252626
cores_t_efficiency,0.25,0.6666666666666667,1.0,1.0,0.19999999999999996,0.9775061124694376,0.6465071151358344,0.6465071151358344,0.494924486258975,0.39027723545490045,0.9775061124694376,0.6661112962345885,0.6661112962345885,0.5011281022812735,0.4022132796780684
no_cold_cores_t_effi,0,0,0,0,0,0.9920199501246882,0.6517038007863696,0.6517038007863696,0.4973743435858965,0.3913813459268005,0.9920199501246882,0.6717325227963526,0.6717325227963526,0.5036718156495315,0.403448275862069
