,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
num_tasks,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
total_cores_t,1600000.0,600000.0,400000.0,400000.0,2000000.0,484000.0,686000.0,686000.0,890000.0,1096000.0,484000.0,664000.0,664000.0,652000.0,866000.0
avg_total_cores_t,8000.0,3000.0,2000.0,2000.0,10000.0,2420.0,3430.0,3430.0,4450.0,5480.0,2420.0,3320.0,3320.0,3260.0,4330.0
wcores_t,1200000.0,200000.0,0.0,0.0,1600000.0,84000.0,286000.0,286000.0,490000.0,696000.0,84000.0,264000.0,264000.0,252000.0,466000.0
avg_wcores_t,6000.0,1000.0,0.0,0.0,8000.0,420.0,1430.0,1430.0,2450.0,3480.0,420.0,1320.0,1320.0,1260.0,2330.0
wfail_alloc_core_t,0,200000.0,0,0,0,6000.0,208000.0,208000.0,412000.0,570000.0,6000.0,186000.0,186000.0,198000.0,388000.0
avg_wfail_alloc_core_t,0,1000.0,0.0,0.0,0,30.0,1040.0,1040.0,2060.0,2850.0,30.0,930.0,930.0,990.0,1940.0
int_frag_core_t,1200000.0,0.0,0.0,0.0,1600000.0,78000.0,78000.0,78000.0,78000.0,126000.0,78000.0,78000.0,78000.0,54000.0,78000.0
avg_int_frag_core_t,6000.0,0.0,0.0,0.0,8000.0,390.0,390.0,390.0,390.0,630.0,390.0,390.0,390.0,270.0,390.0
cores_t_utilization,0.25,0.6666666666666667,1.0,1.0,0.19999999999999996,0.8264462809917356,0.5830903790087463,0.5830903790087463,0.449438202247191,0.36496350364963503,0.8264462809917356,0.6024096385542168,0.6024096385542168,0.6134969325153374,0.4618937644341802
total_mem_t,12800000000.0,4800000000.0,3200000000.0,3200000000.0,16800000000.0,1209270500.0,1261339000.0,1261339000.0,1352280000.0,1910758500.0,1209270500.0,1251104000.0,1251104000.0,1007608500.0,1339359500.0
avg_total_mem_t,64000000.0,24000000.0,16000000.0,16000000.0,84000000.0,6046352.5,6306695.0,6306695.0,6761400.0,9553792.5,6046352.5,6255520.0,6255520.0,5038042.5,6696797.5
no_cold_total_mem_t,0,0,0,0,0,569270500.0,621339000.0,621339000.0,712280000.0,630758500.0,569270500.0,611104000.0,611104000.0,687608500.0,699359500.0
