,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,1999
total_cores_t,4186000.0
avg_total_cores_t,0
no_cold_total_cores_t,4106000.0
wcores_t,188000.0
no_cold_wcores_t,128000.0
avg_wcores_t,0
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,188000.0
avg_int_frag_core_t,0
cores_t_utilization,0.9550883898709985
no_cold_cores_t_util,0.9688261081344374
total_mem_t,15203044000.0
avg_total_mem_t,0
no_cold_total_mem_t,14563044000.0
wmem_t,7216967500.0
avg_wmem_t,0
wfail_alloc_mem_t,0
no_cold_wmem_t,6616302000.0
avg_wfail_alloc_mem_t,0
int_frag_mem_t,7216967500.0
avg_int_frag_mem_t,0
mem_t_utilization,0.5252945725869109
no_cold_mem_t_util,0.5456786369662826
total_disk_t,5642000000.0
avg_total_disk_t,0
no_cold_total_disk_t,5002000000.0
wdisk_t,1644000000.0
no_cold_wdisk_t,1024000000.0
avg_wdisk_t,0
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,1644000000.0
avg_int_frag_disk_t,0
disk_t_utilization,0.7086139666784828
no_cold_disk_t_util,0.795281887245102
num_retries,16
num_retries_bucket,0
num_retries_machine,0
total_run_time,999500.0
avg_run_time,0
