,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,200
total_cores_t,500000.0
avg_total_cores_t,2500.0
wcores_t,100000.0
avg_wcores_t,500.0
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,100000.0
avg_int_frag_core_t,500.0
cores_t_utilization,0.8
total_mem_t,2977929500.0
avg_total_mem_t,14889647.5
no_cold_total_mem_t,2337929500.0
wmem_t,979362000.0
avg_wmem_t,4896810.0
wfail_alloc_mem_t,0
no_cold_wmem_t,391560500.0
avg_wfail_alloc_mem_t,0
int_frag_mem_t,979362000.0
avg_int_frag_mem_t,4896810.0
mem_t_utilization,0.6711265327134172
no_cold_mem_t_util,0.832518260281159
total_disk_t,1340000000.0
avg_total_disk_t,6700000.0
wdisk_t,940000000.0
avg_wdisk_t,4700000.0
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,940000000.0
avg_int_frag_disk_t,4700000.0
disk_t_utilization,0.29850746268656714
num_retries,5
num_retries_bucket,0
num_retries_machine,0
total_run_time,100000.0
avg_run_time,500.0
