,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,7433
total_cores_t,264320.60999999946
avg_total_cores_t,35.560421095116304
wcores_t,128793.71999999965
avg_wcores_t,17.327286425400196
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,128793.71999999965
avg_int_frag_core_t,17.327286425400196
cores_t_utilization,0.5127367479970635
total_mem_t,211765670.20000106
avg_total_mem_t,28489.932759316704
no_cold_total_mem_t,112788390.1999999
wmem_t,174918987.30999988
avg_wmem_t,23532.757609309818
wfail_alloc_mem_t,0
no_cold_wmem_t,76439841.98999934
avg_wfail_alloc_mem_t,0
int_frag_mem_t,174918987.30999988
avg_int_frag_mem_t,23532.757609309818
mem_t_utilization,0.17399743242236343
no_cold_mem_t_util,0.32227207202395725
total_disk_t,459361167.5800003
avg_total_disk_t,61800.237801695184
wdisk_t,180673710.40000033
avg_wdisk_t,24306.970321539127
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,180673710.40000033
avg_int_frag_disk_t,24306.970321539127
disk_t_utilization,0.6066848415772215
num_retries,7
num_retries_bucket,0
num_retries_machine,0
total_run_time,134192.87999999992
avg_run_time,18.053663392977253
