,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,1883
total_cores_t,66421.00353999998
avg_total_cores_t,0
no_cold_total_cores_t,64451.73393999997
wcores_t,12308.848750000001
no_cold_wcores_t,10487.153040000001
avg_wcores_t,0
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,12308.848750000001
avg_int_frag_core_t,0
cores_t_efficiency,0.8146843905695074
no_cold_cores_t_effi,0.8372867198613647
avg_cores_t_efficiency,0.944325995577909
total_mem_t,69901143.02712
avg_total_mem_t,0
no_cold_total_mem_t,62024064.627119936
wmem_t,46204734.16033999
avg_wmem_t,0
wfail_alloc_mem_t,0
no_cold_wmem_t,38339420.07629998
avg_wfail_alloc_mem_t,0
int_frag_mem_t,46204734.16033999
avg_int_frag_mem_t,0
mem_t_efficiency,0.33899887527713757
no_cold_mem_t_effi,0.38186218031998953
avg_mem_t_efficiency,0.9100077103728513
total_disk_t,62044880.69053004
avg_total_disk_t,0
no_cold_total_disk_t,54167802.29052999
wdisk_t,44887512.05355003
no_cold_wdisk_t,37049572.88685002
avg_wdisk_t,0
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,44887512.05355003
avg_int_frag_disk_t,0
disk_t_efficiency,0.276531575949968
no_cold_disk_t_effi,0.31602222500861366
avg_disk_t_efficiency,0.9724167836403883
num_retries,41
num_retries_bucket,0
num_retries_machine,0
total_run_time,53948.48031
avg_run_time,0
