,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,227
total_cores_t,405401.2855100002
avg_total_cores_t,0
no_cold_total_cores_t,356303.4869500003
wcores_t,244622.47854999997
no_cold_wcores_t,202314.37418
avg_wcores_t,0
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,244622.47854999997
avg_int_frag_core_t,0
cores_t_efficiency,0.39659175416214665
no_cold_cores_t_effi,0.4321852533304268
avg_cores_t_efficiency,0.5309046294149471
total_mem_t,3668568103.58273
avg_total_mem_t,0
no_cold_total_mem_t,3275785715.1027293
wmem_t,2481991421.5429115
avg_wmem_t,0
wfail_alloc_mem_t,0
no_cold_wmem_t,2118163322.9702294
avg_wfail_alloc_mem_t,0
int_frag_mem_t,2481991421.5429115
avg_int_frag_mem_t,0
mem_t_efficiency,0.32344409277314645
no_cold_mem_t_effi,0.35338770384014473
avg_mem_t_efficiency,0.3389606046214637
total_disk_t,750408973.5372604
avg_total_disk_t,0
no_cold_total_disk_t,357626585.0572598
wdisk_t,749778794.46963
no_cold_wdisk_t,357011749.0516801
avg_wdisk_t,0
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,749778794.46963
avg_int_frag_disk_t,0
disk_t_efficiency,0.0008397808259940076
no_cold_disk_t_effi,0.0017192122489475548
avg_disk_t_efficiency,0.6123310442921136
num_retries,6
num_retries_bucket,0
num_retries_machine,0
total_run_time,106975.05398000007
avg_run_time,0
