,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,1999
total_cores_t,8638443.02999999
avg_total_cores_t,4321.382206103047
wcores_t,501065.35000000003
avg_wcores_t,250.658004002001
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,501065.35000000003
avg_int_frag_core_t,250.658004002001
cores_t_utilization,0.9419958726057605
total_mem_t,31204491694.41004
avg_total_mem_t,15610050.872641342
no_cold_total_mem_t,30183183534.410046
wmem_t,8089788727.280004
avg_wmem_t,4046917.8225512775
wfail_alloc_mem_t,0
no_cold_wmem_t,7089689684.6799965
avg_wfail_alloc_mem_t,0
int_frag_mem_t,8089788727.280004
avg_int_frag_mem_t,4046917.8225512775
mem_t_utilization,0.7407492226918984
no_cold_mem_t_util,0.7651112687766197
total_disk_t,23883699216.270035
avg_total_disk_t,11947823.519894965
wdisk_t,4052909810.1099997
avg_wdisk_t,2027468.639374687
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,4052909810.1099997
avg_int_frag_disk_t,2027468.639374687
disk_t_utilization,0.8303064456887366
num_retries,13
num_retries_bucket,0
num_retries_machine,0
total_run_time,8137377.679999994
avg_run_time,4070.7242021010475
