,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,1949
total_cores_t,0.5100000000000002
avg_total_cores_t,0.00026167265264238085
wcores_t,0.15
avg_wcores_t,7.696254489481785e-05
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,0.15
avg_int_frag_core_t,7.696254489481785e-05
cores_t_utilization,0.7058823529411766
total_mem_t,352.4699999999999
avg_total_mem_t,0.18084658799384296
no_cold_total_mem_t,352.4699999999999
wmem_t,191.81
avg_wmem_t,0.09841457157516675
wfail_alloc_mem_t,0
no_cold_wmem_t,191.81
avg_wfail_alloc_mem_t,0
int_frag_mem_t,191.81
avg_int_frag_mem_t,0.09841457157516675
mem_t_utilization,0.4558118421425935
no_cold_mem_t_util,0.4558118421425935
total_disk_t,220.83000000000004
avg_total_disk_t,0.11330425859415087
wdisk_t,9.64
avg_wdisk_t,0.004946126218573627
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,9.64
avg_int_frag_disk_t,0.004946126218573627
disk_t_utilization,0.9563465108907304
num_retries,33
num_retries_bucket,0
num_retries_machine,0
total_run_time,0.17
avg_run_time,8.722421754746025e-05
