,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,1999
total_cores_t,4090000.0
avg_total_cores_t,2046.023011505753
no_cold_total_cores_t,4010000.0
wcores_t,92000.0
no_cold_wcores_t,32000.0
avg_wcores_t,46.023011505752876
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,92000.0
avg_int_frag_core_t,46.023011505752876
cores_t_utilization,0.9775061124694376
no_cold_cores_t_util,0.9920199501246882
total_mem_t,14882880500.0
avg_total_mem_t,7445162.831415708
no_cold_total_mem_t,14242880500.0
wmem_t,6945071000.0
avg_wmem_t,3474272.6363181593
wfail_alloc_mem_t,0
no_cold_wmem_t,6347786500.0
avg_wfail_alloc_mem_t,0
int_frag_mem_t,6945071000.0
avg_int_frag_mem_t,3474272.6363181593
mem_t_utilization,0.5333516922345778
no_cold_mem_t_util,0.554318629577774
total_disk_t,4874000000.0
avg_total_disk_t,2438219.1095547774
no_cold_total_disk_t,4234000000.0
wdisk_t,876000000.0
no_cold_wdisk_t,256000000.0
avg_wdisk_t,438219.1095547774
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,876000000.0
avg_int_frag_disk_t,438219.1095547774
disk_t_utilization,0.8202708247845711
no_cold_disk_t_util,0.9395370807746811
num_retries,4
num_retries_bucket,0
num_retries_machine,0
total_run_time,999500.0
avg_run_time,500.0
