,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,200
total_cores_t,540000.0
avg_total_cores_t,2700.0
wcores_t,140000.0
avg_wcores_t,700.0
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,140000.0
avg_int_frag_core_t,700.0
cores_t_utilization,0.7407407407407407
total_mem_t,3683013500.0
avg_total_mem_t,18415067.5
no_cold_total_mem_t,3043013500.0
wmem_t,1720548000.0
avg_wmem_t,8602740.0
wfail_alloc_mem_t,0
no_cold_wmem_t,1170125500.0
avg_wfail_alloc_mem_t,0
int_frag_mem_t,1720548000.0
avg_int_frag_mem_t,8602740.0
mem_t_utilization,0.5328423314223529
no_cold_mem_t_util,0.6154714726043773
total_disk_t,1660000000.0
avg_total_disk_t,8300000.0
wdisk_t,1260000000.0
avg_wdisk_t,6300000.0
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,1260000000.0
avg_int_frag_disk_t,6300000.0
disk_t_utilization,0.24096385542168675
num_retries,10
num_retries_bucket,0
num_retries_machine,0
total_run_time,100000.0
avg_run_time,500.0
