,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,199
total_cores_t,522000.0
avg_total_cores_t,2623.115577889447
wcores_t,124000.0
avg_wcores_t,623.1155778894472
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,124000.0
avg_int_frag_core_t,623.1155778894472
cores_t_utilization,0.7624521072796935
total_mem_t,3107703000.0
avg_total_mem_t,15616597.989949748
no_cold_total_mem_t,2467703000.0
wmem_t,1161917500.0
avg_wmem_t,5838781.407035176
wfail_alloc_mem_t,0
no_cold_wmem_t,604625500.0
avg_wfail_alloc_mem_t,0
int_frag_mem_t,1161917500.0
avg_int_frag_mem_t,5838781.407035176
mem_t_utilization,0.6261169423204211
no_cold_mem_t_util,0.7549844936769133
total_disk_t,1530000000.0
avg_total_disk_t,7688442.211055276
wdisk_t,1132000000.0
avg_wdisk_t,5688442.211055276
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,1132000000.0
avg_int_frag_disk_t,5688442.211055276
disk_t_utilization,0.26013071895424833
num_retries,8
num_retries_bucket,0
num_retries_machine,0
total_run_time,99500.0
avg_run_time,500.0
