,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,1999
total_cores_t,4090000.0
avg_total_cores_t,0
no_cold_total_cores_t,4010000.0
wcores_t,92000.0
no_cold_wcores_t,32000.0
avg_wcores_t,0
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,92000.0
avg_int_frag_core_t,0
cores_t_utilization,0.9775061124694376
no_cold_cores_t_util,0.9920199501246882
total_mem_t,40597702000.0
avg_total_mem_t,0
no_cold_total_mem_t,39957702000.0
wmem_t,15595342500.0
avg_wmem_t,0
wfail_alloc_mem_t,0
no_cold_wmem_t,15099944000.0
avg_wfail_alloc_mem_t,0
int_frag_mem_t,15595342500.0
avg_int_frag_mem_t,0
mem_t_utilization,0.6158565206474003
no_cold_mem_t_util,0.6221017915394633
total_disk_t,4874000000.0
avg_total_disk_t,0
no_cold_total_disk_t,4234000000.0
wdisk_t,876000000.0
no_cold_wdisk_t,256000000.0
avg_wdisk_t,0
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,876000000.0
avg_int_frag_disk_t,0
disk_t_utilization,0.8202708247845711
no_cold_disk_t_util,0.9395370807746811
num_retries,4
num_retries_bucket,0
num_retries_machine,0
total_run_time,999500.0
avg_run_time,0
