,easy_bucketing
#buckets,x
# cold starts,10
diagonal?,x
num_tasks,200
total_cores_t,484000.0
avg_total_cores_t,2420.0
wcores_t,84000.0
avg_wcores_t,420.0
wfail_alloc_core_t,0
avg_wfail_alloc_core_t,0
int_frag_core_t,84000.0
avg_int_frag_core_t,420.0
cores_t_utilization,0.8264462809917356
total_mem_t,1209270500.0
avg_total_mem_t,6046352.5
no_cold_total_mem_t,569270500.0
wmem_t,958882000.0
avg_wmem_t,4794410.0
wfail_alloc_mem_t,0
no_cold_wmem_t,330008500.0
avg_wfail_alloc_mem_t,0
int_frag_mem_t,958882000.0
avg_int_frag_mem_t,4794410.0
mem_t_utilization,0.20705747804151342
no_cold_mem_t_util,0.420295799624256
total_disk_t,1212000000.0
avg_total_disk_t,6060000.0
wdisk_t,812000000.0
avg_wdisk_t,4060000.0
wfail_alloc_disk_t,0
avg_wfail_alloc_disk_t,0
int_frag_disk_t,812000000.0
avg_int_frag_disk_t,4060000.0
disk_t_utilization,0.33003300330033003
num_retries,3
num_retries_bucket,0
num_retries_machine,0
total_run_time,100000.0
avg_run_time,500.0
