,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
num_tasks,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
total_cores_t,1600000.0,1048000.0,848000.0,848000.0,2000000.0,476000.0,650000.0,650000.0,844000.0,1062000.0,476000.0,680000.0,680000.0,670000.0,856000.0
avg_total_cores_t,8000.0,5240.0,4240.0,4240.0,10000.0,2380.0,3250.0,3250.0,4220.0,5310.0,2380.0,3400.0,3400.0,3350.0,4280.0
wcores_t,1200000.0,648000.0,448000.0,448000.0,1600000.0,76000.0,250000.0,250000.0,444000.0,662000.0,76000.0,280000.0,280000.0,270000.0,456000.0
avg_wcores_t,6000.0,3240.0,2240.0,2240.0,8000.0,380.0,1250.0,1250.0,2220.0,3310.0,380.0,1400.0,1400.0,1350.0,2280.0
wfail_alloc_core_t,0,424000.0,224000.0,224000.0,0,4000.0,178000.0,178000.0,372000.0,530000.0,4000.0,208000.0,208000.0,216000.0,384000.0
avg_wfail_alloc_core_t,0,2120.0,1120.0,1120.0,0,20.0,890.0,890.0,1860.0,2650.0,20.0,1040.0,1040.0,1080.0,1920.0
int_frag_core_t,1200000.0,224000.0,224000.0,224000.0,1600000.0,72000.0,72000.0,72000.0,72000.0,132000.0,72000.0,72000.0,72000.0,54000.0,72000.0
avg_int_frag_core_t,6000.0,1120.0,1120.0,1120.0,8000.0,360.0,360.0,360.0,360.0,660.0,360.0,360.0,360.0,270.0,360.0
cores_t_utilization,0.25,0.38167938931297707,0.4716981132075472,0.4716981132075472,0.19999999999999996,0.8403361344537815,0.6153846153846154,0.6153846153846154,0.47393364928909953,0.37664783427495296,0.8403361344537815,0.5882352941176471,0.5882352941176471,0.5970149253731343,0.4672897196261683
total_mem_t,12800000000.0,8384000000.0,6784000000.0,6784000000.0,16800000000.0,6471206000.0,6634412500.0,6634412500.0,7539057500.0,8696015000.0,6471206000.0,6931061000.0,6931061000.0,6860121000.0,7850281500.0
avg_total_mem_t,64000000.0,41920000.0,33920000.0,33920000.0,84000000.0,32356030.0,33172062.5,33172062.5,37695287.5,43480075.0,32356030.0,34655305.0,34655305.0,34300605.0,39251407.5
wmem_t,9478116000.0,5062116000.0,3462116000.0,3462116000.0,13478116000.0,3149322000.0,3312528500.0,3312528500.0,4217173500.0,5374131000.0,3149322000.0,3609177000.0,3609177000.0,3538237000.0,4528397500.0
