,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
num_tasks,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
total_cores_t,1600000.0,600000.0,400000.0,400000.0,2000000.0,468000.0,632000.0,632000.0,824000.0,984000.0,468000.0,632000.0,632000.0,610000.0,810000.0
avg_total_cores_t,8000.0,3000.0,2000.0,2000.0,10000.0,2340.0,3160.0,3160.0,4120.0,4920.0,2340.0,3160.0,3160.0,3050.0,4050.0
wcores_t,1200000.0,200000.0,0.0,0.0,1600000.0,68000.0,232000.0,232000.0,424000.0,584000.0,68000.0,232000.0,232000.0,210000.0,410000.0
avg_wcores_t,6000.0,1000.0,0.0,0.0,8000.0,340.0,1160.0,1160.0,2120.0,2920.0,340.0,1160.0,1160.0,1050.0,2050.0
wfail_alloc_core_t,0,200000.0,0,0,0,2000.0,166000.0,166000.0,358000.0,458000.0,2000.0,166000.0,166000.0,174000.0,344000.0
avg_wfail_alloc_core_t,0,1000.0,0.0,0.0,0,10.0,830.0,830.0,1790.0,2290.0,10.0,830.0,830.0,870.0,1720.0
int_frag_core_t,1200000.0,0.0,0.0,0.0,1600000.0,66000.0,66000.0,66000.0,66000.0,126000.0,66000.0,66000.0,66000.0,36000.0,66000.0
avg_int_frag_core_t,6000.0,0.0,0.0,0.0,8000.0,330.0,330.0,330.0,330.0,630.0,330.0,330.0,330.0,180.0,330.0
cores_t_utilization,0.25,0.6666666666666667,1.0,1.0,0.19999999999999996,0.8547008547008547,0.6329113924050633,0.6329113924050633,0.4854368932038835,0.4065040650406504,0.8547008547008547,0.6329113924050633,0.6329113924050633,0.6557377049180328,0.49382716049382713
total_mem_t,12800000000.0,4800000000.0,3200000000.0,3200000000.0,16800000000.0,2007034000.0,2075921000.0,2075921000.0,2345152000.0,3050250000.0,2007034000.0,2065944500.0,2065944500.0,1797170000.0,2361029500.0
avg_total_mem_t,64000000.0,24000000.0,16000000.0,16000000.0,84000000.0,10035170.0,10379605.0,10379605.0,11725760.0,15251250.0,10035170.0,10329722.5,10329722.5,8985850.0,11805147.5
wmem_t,11969114500.0,3969114500.0,2369114500.0,2369114500.0,15969114500.0,1176148500.0,1245035500.0,1245035500.0,1514266500.0,2219364500.0,1176148500.0,1235059000.0,1235059000.0,966284500.0,1530144000.0
