,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
num_tasks,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
total_cores_t,1600000.0,796000.0,596000.0,596000.0,2000000.0,460000.0,622000.0,622000.0,818000.0,966000.0,460000.0,618000.0,618000.0,588000.0,790000.0
avg_total_cores_t,8000.0,3980.0,2980.0,2980.0,10000.0,2300.0,3110.0,3110.0,4090.0,4830.0,2300.0,3090.0,3090.0,2940.0,3950.0
wcores_t,1200000.0,396000.0,196000.0,196000.0,1600000.0,60000.0,222000.0,222000.0,418000.0,566000.0,60000.0,218000.0,218000.0,188000.0,390000.0
avg_wcores_t,6000.0,1980.0,980.0,980.0,8000.0,300.0,1110.0,1110.0,2090.0,2830.0,300.0,1090.0,1090.0,940.0,1950.0
wfail_alloc_core_t,0,298000.0,98000.0,98000.0,0,0.0,162000.0,162000.0,358000.0,446000.0,0.0,158000.0,158000.0,158000.0,330000.0
avg_wfail_alloc_core_t,0,1490.0,490.0,490.0,0,0.0,810.0,810.0,1790.0,2230.0,0.0,790.0,790.0,790.0,1650.0
int_frag_core_t,1200000.0,98000.0,98000.0,98000.0,1600000.0,60000.0,60000.0,60000.0,60000.0,120000.0,60000.0,60000.0,60000.0,30000.0,60000.0
avg_int_frag_core_t,6000.0,490.0,490.0,490.0,8000.0,300.0,300.0,300.0,300.0,600.0,300.0,300.0,300.0,150.0,300.0
cores_t_utilization,0.25,0.5025125628140703,0.6711409395973154,0.6711409395973154,0.19999999999999996,0.8695652173913043,0.6430868167202572,0.6430868167202572,0.48899755501222497,0.41407867494824013,0.8695652173913043,0.6472491909385114,0.6472491909385114,0.6802721088435374,0.5063291139240507
total_mem_t,12800000000.0,6368000000.0,4768000000.0,4768000000.0,16800000000.0,4412355000.0,4670213500.0,4670213500.0,5539678500.0,6401818500.0,4412355000.0,4687611000.0,4687611000.0,4459306000.0,5469798500.0
avg_total_mem_t,64000000.0,31840000.0,23840000.0,23840000.0,84000000.0,22061775.0,23351067.5,23351067.5,27698392.5,32009092.5,22061775.0,23438055.0,23438055.0,22296530.0,27348992.5
wmem_t,10327175500.0,3895175500.0,2295175500.0,2295175500.0,14327175500.0,1939530500.0,2197389000.0,2197389000.0,3066854000.0,3928994000.0,1939530500.0,2214786500.0,2214786500.0,1986481500.0,2996974000.0
