,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
num_tasks,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
total_cores_t,1600000.0,600000.0,400000.0,400000.0,2000000.0,460000.0,672000.0,672000.0,840000.0,1130000.0,460000.0,644000.0,644000.0,616000.0,848000.0
avg_total_cores_t,8000.0,3000.0,2000.0,2000.0,10000.0,2300.0,3360.0,3360.0,4200.0,5650.0,2300.0,3220.0,3220.0,3080.0,4240.0
wcores_t,1200000.0,200000.0,0.0,0.0,1600000.0,60000.0,272000.0,272000.0,440000.0,730000.0,60000.0,244000.0,244000.0,216000.0,448000.0
avg_wcores_t,6000.0,1000.0,0.0,0.0,8000.0,300.0,1360.0,1360.0,2200.0,3650.0,300.0,1220.0,1220.0,1080.0,2240.0
wfail_alloc_core_t,0,200000.0,0,0,0,0.0,212000.0,212000.0,380000.0,610000.0,0.0,184000.0,184000.0,186000.0,388000.0
avg_wfail_alloc_core_t,0,1000.0,0.0,0.0,0,0.0,1060.0,1060.0,1900.0,3050.0,0.0,920.0,920.0,930.0,1940.0
int_frag_core_t,1200000.0,0.0,0.0,0.0,1600000.0,60000.0,60000.0,60000.0,60000.0,120000.0,60000.0,60000.0,60000.0,30000.0,60000.0
avg_int_frag_core_t,6000.0,0.0,0.0,0.0,8000.0,300.0,300.0,300.0,300.0,600.0,300.0,300.0,300.0,150.0,300.0
cores_t_utilization,0.25,0.6666666666666667,1.0,1.0,0.19999999999999996,0.8695652173913043,0.5952380952380952,0.5952380952380952,0.47619047619047616,0.35398230088495575,0.8695652173913043,0.6211180124223603,0.6211180124223603,0.6493506493506493,0.4716981132075472
total_mem_t,12800000000.0,4800000000.0,3200000000.0,3200000000.0,16800000000.0,1019525000.0,1068052500.0,1068052500.0,1144701500.0,1854614000.0,1019525000.0,1066145500.0,1066145500.0,755352500.0,1143219000.0
avg_total_mem_t,64000000.0,24000000.0,16000000.0,16000000.0,84000000.0,5097625.0,5340262.5,5340262.5,5723507.5,9273070.0,5097625.0,5330727.5,5330727.5,3776762.5,5716095.0
wmem_t,12553180500.0,4553180500.0,2953180500.0,2953180500.0,16553180500.0,772705500.0,821233000.0,821233000.0,897882000.0,1607794500.0,772705500.0,819326000.0,819326000.0,508533000.0,896399500.0
