taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 29659 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 7831 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 34125 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 10884 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 41193 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 40009 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 10821 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 35363 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 10511 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 7806 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 13116 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 35303 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 30010 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 54062 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 9739 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 12875 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 39269 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 10981 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 11145 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 10792 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 12879 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 9853 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 27351 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 11186 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 7833 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 11413 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 6226 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 22035 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 26709 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 21739 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 11186 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 12313 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 37901 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 31912 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 10890 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 10739 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 25351 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 25374 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 14306 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 9832 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 44741 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 33143 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 39795 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 10691 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 11355 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 8607 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 27420 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 25824 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 41622 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 34868 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 9145 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 9860 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 36311 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 10809 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 27916 -- 0 -- 4000 -- 500 -- 0
