taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 8077 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 7988 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 31324 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 7929 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 32065 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 7836 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 7672 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 8030 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 7629 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 8362 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 7733 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 31022 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 7980 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 32454 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 31637 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 8424 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 31756 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 7992 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 7842 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 32466 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 8064 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 32276 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 32155 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 31508 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 31544 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 32635 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 7881 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 7833 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 8425 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 33048 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 8019 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 32549 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 7870 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 32255 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 8128 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 31405 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 32301 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 7937 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 8108 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 8071 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 31897 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 7816 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 31755 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 8255 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 32607 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 7960 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 7798 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 7831 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 31545 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 8097 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 33088 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 32178 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 31752 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 31813 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 8175 -- 0 -- 4000 -- 500 -- 0
56 -- 4 -- 8030 -- 0 -- 4000 -- 500 -- 0
57 -- 4 -- 7835 -- 0 -- 4000 -- 500 -- 0
58 -- 4 -- 32727 -- 0 -- 4000 -- 500 -- 0
59 -- 4 -- 7699 -- 0 -- 4000 -- 500 -- 0
60 -- 4 -- 8082 -- 0 -- 4000 -- 500 -- 0
61 -- 4 -- 7789 -- 0 -- 4000 -- 500 -- 0
62 -- 4 -- 32725 -- 0 -- 4000 -- 500 -- 0
63 -- 4 -- 31672 -- 0 -- 4000 -- 500 -- 0
64 -- 4 -- 31292 -- 0 -- 4000 -- 500 -- 0
65 -- 4 -- 30967 -- 0 -- 4000 -- 500 -- 0
66 -- 4 -- 31742 -- 0 -- 4000 -- 500 -- 0
67 -- 4 -- 7958 -- 0 -- 4000 -- 500 -- 0
68 -- 4 -- 32736 -- 0 -- 4000 -- 500 -- 0
69 -- 4 -- 31951 -- 0 -- 4000 -- 500 -- 0
70 -- 4 -- 32682 -- 0 -- 4000 -- 500 -- 0
71 -- 4 -- 7984 -- 0 -- 4000 -- 500 -- 0
72 -- 4 -- 31137 -- 0 -- 4000 -- 500 -- 0
73 -- 4 -- 31678 -- 0 -- 4000 -- 500 -- 0
74 -- 4 -- 32075 -- 0 -- 4000 -- 500 -- 0
75 -- 4 -- 8149 -- 0 -- 4000 -- 500 -- 0
76 -- 4 -- 8165 -- 0 -- 4000 -- 500 -- 0
77 -- 4 -- 7881 -- 0 -- 4000 -- 500 -- 0
78 -- 4 -- 7592 -- 0 -- 4000 -- 500 -- 0
79 -- 4 -- 7821 -- 0 -- 4000 -- 500 -- 0
80 -- 4 -- 32175 -- 0 -- 4000 -- 500 -- 0
81 -- 4 -- 31476 -- 0 -- 4000 -- 500 -- 0
82 -- 4 -- 32146 -- 0 -- 4000 -- 500 -- 0
83 -- 4 -- 32668 -- 0 -- 4000 -- 500 -- 0
84 -- 4 -- 32336 -- 0 -- 4000 -- 500 -- 0
85 -- 4 -- 31057 -- 0 -- 4000 -- 500 -- 0
86 -- 4 -- 8452 -- 0 -- 4000 -- 500 -- 0
87 -- 4 -- 7977 -- 0 -- 4000 -- 500 -- 0
88 -- 4 -- 31948 -- 0 -- 4000 -- 500 -- 0
89 -- 4 -- 32533 -- 0 -- 4000 -- 500 -- 0
90 -- 4 -- 31850 -- 0 -- 4000 -- 500 -- 0
91 -- 4 -- 31528 -- 0 -- 4000 -- 500 -- 0
92 -- 4 -- 32977 -- 0 -- 4000 -- 500 -- 0
93 -- 4 -- 7872 -- 0 -- 4000 -- 500 -- 0
94 -- 4 -- 32079 -- 0 -- 4000 -- 500 -- 0
95 -- 4 -- 7605 -- 0 -- 4000 -- 500 -- 0
96 -- 4 -- 31423 -- 0 -- 4000 -- 500 -- 0
97 -- 4 -- 32494 -- 0 -- 4000 -- 500 -- 0
98 -- 4 -- 31969 -- 0 -- 4000 -- 500 -- 0
99 -- 4 -- 8261 -- 0 -- 4000 -- 500 -- 0
100 -- 4 -- 32260 -- 0 -- 4000 -- 500 -- 0
101 -- 4 -- 32413 -- 0 -- 4000 -- 500 -- 0
102 -- 4 -- 31708 -- 0 -- 4000 -- 500 -- 0
103 -- 4 -- 7643 -- 0 -- 4000 -- 500 -- 0
104 -- 4 -- 31784 -- 0 -- 4000 -- 500 -- 0
105 -- 4 -- 8006 -- 0 -- 4000 -- 500 -- 0
106 -- 4 -- 31295 -- 0 -- 4000 -- 500 -- 0
107 -- 4 -- 32364 -- 0 -- 4000 -- 500 -- 0
108 -- 4 -- 32844 -- 0 -- 4000 -- 500 -- 0
109 -- 4 -- 32073 -- 0 -- 4000 -- 500 -- 0
110 -- 4 -- 8119 -- 0 -- 4000 -- 500 -- 0
111 -- 4 -- 8508 -- 0 -- 4000 -- 500 -- 0
112 -- 4 -- 7872 -- 0 -- 4000 -- 500 -- 0
113 -- 4 -- 31509 -- 0 -- 4000 -- 500 -- 0
114 -- 4 -- 8001 -- 0 -- 4000 -- 500 -- 0
115 -- 4 -- 8108 -- 0 -- 4000 -- 500 -- 0
116 -- 4 -- 8225 -- 0 -- 4000 -- 500 -- 0
117 -- 4 -- 32919 -- 0 -- 4000 -- 500 -- 0
118 -- 4 -- 8288 -- 0 -- 4000 -- 500 -- 0
119 -- 4 -- 8241 -- 0 -- 4000 -- 500 -- 0
120 -- 4 -- 8227 -- 0 -- 4000 -- 500 -- 0
121 -- 4 -- 31997 -- 0 -- 4000 -- 500 -- 0
122 -- 4 -- 32840 -- 0 -- 4000 -- 500 -- 0
123 -- 4 -- 7811 -- 0 -- 4000 -- 500 -- 0
124 -- 4 -- 8041 -- 0 -- 4000 -- 500 -- 0
125 -- 4 -- 31462 -- 0 -- 4000 -- 500 -- 0
126 -- 4 -- 32755 -- 0 -- 4000 -- 500 -- 0
127 -- 4 -- 7814 -- 0 -- 4000 -- 500 -- 0
128 -- 4 -- 32126 -- 0 -- 4000 -- 500 -- 0
129 -- 4 -- 31322 -- 0 -- 4000 -- 500 -- 0
130 -- 4 -- 7496 -- 0 -- 4000 -- 500 -- 0
131 -- 4 -- 8194 -- 0 -- 4000 -- 500 -- 0
132 -- 4 -- 8005 -- 0 -- 4000 -- 500 -- 0
133 -- 4 -- 31918 -- 0 -- 4000 -- 500 -- 0
134 -- 4 -- 31961 -- 0 -- 4000 -- 500 -- 0
135 -- 4 -- 7843 -- 0 -- 4000 -- 500 -- 0
136 -- 4 -- 32423 -- 0 -- 4000 -- 500 -- 0
137 -- 4 -- 30864 -- 0 -- 4000 -- 500 -- 0
138 -- 4 -- 8054 -- 0 -- 4000 -- 500 -- 0
139 -- 4 -- 8298 -- 0 -- 4000 -- 500 -- 0
