taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 13617 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 39979 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 2109 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 50649 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 16237 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 1317 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 11922 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 50679 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 75365 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 29635 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 22360 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 787 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 2668 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 6115 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 41148 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 1920 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 20851 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 11636 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 21359 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 52766 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 2264 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 6293 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 52524 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 16832 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 2886 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 2574 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 33517 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 19879 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 59918 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 13168 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 13928 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 6077 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 7955 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 16852 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 19967 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 16793 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 1379 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 11355 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 851 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 5944 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 11686 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 7250 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 12594 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 7709 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 20450 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 12611 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 16965 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 17661 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 34563 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 57675 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 9397 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 13675 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 2760 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 52413 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 46632 -- 0 -- 4000 -- 500 -- 0
56 -- 4 -- 2102 -- 0 -- 4000 -- 500 -- 0
57 -- 4 -- 16564 -- 0 -- 4000 -- 500 -- 0
58 -- 4 -- 11343 -- 0 -- 4000 -- 500 -- 0
59 -- 4 -- 16045 -- 0 -- 4000 -- 500 -- 0
60 -- 4 -- 25791 -- 0 -- 4000 -- 500 -- 0
61 -- 4 -- 14690 -- 0 -- 4000 -- 500 -- 0
62 -- 4 -- 10849 -- 0 -- 4000 -- 500 -- 0
63 -- 4 -- 34908 -- 0 -- 4000 -- 500 -- 0
64 -- 4 -- 12197 -- 0 -- 4000 -- 500 -- 0
65 -- 4 -- 22078 -- 0 -- 4000 -- 500 -- 0
66 -- 4 -- 26889 -- 0 -- 4000 -- 500 -- 0
67 -- 4 -- 60053 -- 0 -- 4000 -- 500 -- 0
68 -- 4 -- 48942 -- 0 -- 4000 -- 500 -- 0
69 -- 4 -- 4216 -- 0 -- 4000 -- 500 -- 0
70 -- 4 -- 57005 -- 0 -- 4000 -- 500 -- 0
71 -- 4 -- 68165 -- 0 -- 4000 -- 500 -- 0
72 -- 4 -- 39455 -- 0 -- 4000 -- 500 -- 0
73 -- 4 -- 706 -- 0 -- 4000 -- 500 -- 0
74 -- 4 -- 72288 -- 0 -- 4000 -- 500 -- 0
75 -- 4 -- 9068 -- 0 -- 4000 -- 500 -- 0
76 -- 4 -- 383 -- 0 -- 4000 -- 500 -- 0
77 -- 4 -- 4748 -- 0 -- 4000 -- 500 -- 0
78 -- 4 -- 18103 -- 0 -- 4000 -- 500 -- 0
79 -- 4 -- 47274 -- 0 -- 4000 -- 500 -- 0
80 -- 4 -- 5632 -- 0 -- 4000 -- 500 -- 0
81 -- 4 -- 12370 -- 0 -- 4000 -- 500 -- 0
82 -- 4 -- 47629 -- 0 -- 4000 -- 500 -- 0
83 -- 4 -- 16367 -- 0 -- 4000 -- 500 -- 0
84 -- 4 -- 64402 -- 0 -- 4000 -- 500 -- 0
85 -- 4 -- 5133 -- 0 -- 4000 -- 500 -- 0
86 -- 4 -- 10573 -- 0 -- 4000 -- 500 -- 0
87 -- 4 -- 22342 -- 0 -- 4000 -- 500 -- 0
88 -- 4 -- 52319 -- 0 -- 4000 -- 500 -- 0
