taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 41209 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 9990 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 14919 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 42720 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 22297 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 10260 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 48800 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 13118 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 12698 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 12307 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 26708 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 11385 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 10650 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 10204 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 11597 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 27122 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 10428 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 26054 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 29025 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 36105 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 36423 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 22790 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 13539 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 16022 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 11645 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 12200 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 31426 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 35078 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 38550 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 12289 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 33009 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 8402 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 12298 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 21858 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 43256 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 39484 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 18072 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 31385 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 9258 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 13928 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 12850 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 9337 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 38597 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 28446 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 27069 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 11022 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 11814 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 11473 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 11226 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 10305 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 42474 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 43960 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 12874 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 9091 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 9780 -- 0 -- 4000 -- 500 -- 0
56 -- 4 -- 32632 -- 0 -- 4000 -- 500 -- 0
57 -- 4 -- 7693 -- 0 -- 4000 -- 500 -- 0
58 -- 4 -- 31176 -- 0 -- 4000 -- 500 -- 0
59 -- 4 -- 18028 -- 0 -- 4000 -- 500 -- 0
60 -- 4 -- 34458 -- 0 -- 4000 -- 500 -- 0
61 -- 4 -- 9736 -- 0 -- 4000 -- 500 -- 0
62 -- 4 -- 11570 -- 0 -- 4000 -- 500 -- 0
63 -- 4 -- 8107 -- 0 -- 4000 -- 500 -- 0
64 -- 4 -- 36893 -- 0 -- 4000 -- 500 -- 0
65 -- 4 -- 33042 -- 0 -- 4000 -- 500 -- 0
66 -- 4 -- 33603 -- 0 -- 4000 -- 500 -- 0
67 -- 4 -- 8344 -- 0 -- 4000 -- 500 -- 0
68 -- 4 -- 12187 -- 0 -- 4000 -- 500 -- 0
69 -- 4 -- 28842 -- 0 -- 4000 -- 500 -- 0
70 -- 4 -- 11096 -- 0 -- 4000 -- 500 -- 0
71 -- 4 -- 25897 -- 0 -- 4000 -- 500 -- 0
72 -- 4 -- 12488 -- 0 -- 4000 -- 500 -- 0
73 -- 4 -- 28453 -- 0 -- 4000 -- 500 -- 0
74 -- 4 -- 32367 -- 0 -- 4000 -- 500 -- 0
75 -- 4 -- 36053 -- 0 -- 4000 -- 500 -- 0
76 -- 4 -- 10379 -- 0 -- 4000 -- 500 -- 0
77 -- 4 -- 9060 -- 0 -- 4000 -- 500 -- 0
78 -- 4 -- 35787 -- 0 -- 4000 -- 500 -- 0
79 -- 4 -- 22780 -- 0 -- 4000 -- 500 -- 0
80 -- 4 -- 10526 -- 0 -- 4000 -- 500 -- 0
81 -- 4 -- 36421 -- 0 -- 4000 -- 500 -- 0
82 -- 4 -- 35979 -- 0 -- 4000 -- 500 -- 0
83 -- 4 -- 8115 -- 0 -- 4000 -- 500 -- 0
84 -- 4 -- 13914 -- 0 -- 4000 -- 500 -- 0
85 -- 4 -- 12760 -- 0 -- 4000 -- 500 -- 0
86 -- 4 -- 26826 -- 0 -- 4000 -- 500 -- 0
87 -- 4 -- 13527 -- 0 -- 4000 -- 500 -- 0
88 -- 4 -- 28729 -- 0 -- 4000 -- 500 -- 0
89 -- 4 -- 9732 -- 0 -- 4000 -- 500 -- 0
90 -- 4 -- 41597 -- 0 -- 4000 -- 500 -- 0
91 -- 4 -- 7445 -- 0 -- 4000 -- 500 -- 0
92 -- 4 -- 15870 -- 0 -- 4000 -- 500 -- 0
93 -- 4 -- 10548 -- 0 -- 4000 -- 500 -- 0
94 -- 4 -- 11451 -- 0 -- 4000 -- 500 -- 0
95 -- 4 -- 12680 -- 0 -- 4000 -- 500 -- 0
96 -- 4 -- 35752 -- 0 -- 4000 -- 500 -- 0
97 -- 4 -- 8705 -- 0 -- 4000 -- 500 -- 0
98 -- 4 -- 11837 -- 0 -- 4000 -- 500 -- 0
99 -- 4 -- 13592 -- 0 -- 4000 -- 500 -- 0
100 -- 4 -- 40533 -- 0 -- 4000 -- 500 -- 0
101 -- 4 -- 9100 -- 0 -- 4000 -- 500 -- 0
102 -- 4 -- 10825 -- 0 -- 4000 -- 500 -- 0
103 -- 4 -- 12406 -- 0 -- 4000 -- 500 -- 0
104 -- 4 -- 10464 -- 0 -- 4000 -- 500 -- 0
105 -- 4 -- 13155 -- 0 -- 4000 -- 500 -- 0
106 -- 4 -- 33903 -- 0 -- 4000 -- 500 -- 0
107 -- 4 -- 11688 -- 0 -- 4000 -- 500 -- 0
108 -- 4 -- 11773 -- 0 -- 4000 -- 500 -- 0
109 -- 4 -- 13544 -- 0 -- 4000 -- 500 -- 0
110 -- 4 -- 13268 -- 0 -- 4000 -- 500 -- 0
111 -- 4 -- 8869 -- 0 -- 4000 -- 500 -- 0
112 -- 4 -- 13373 -- 0 -- 4000 -- 500 -- 0
113 -- 4 -- 13630 -- 0 -- 4000 -- 500 -- 0
114 -- 4 -- 31065 -- 0 -- 4000 -- 500 -- 0
115 -- 4 -- 10652 -- 0 -- 4000 -- 500 -- 0
116 -- 4 -- 8719 -- 0 -- 4000 -- 500 -- 0
117 -- 4 -- 32028 -- 0 -- 4000 -- 500 -- 0
118 -- 4 -- 10828 -- 0 -- 4000 -- 500 -- 0
119 -- 4 -- 7931 -- 0 -- 4000 -- 500 -- 0
120 -- 4 -- 30009 -- 0 -- 4000 -- 500 -- 0
121 -- 4 -- 11593 -- 0 -- 4000 -- 500 -- 0
122 -- 4 -- 28757 -- 0 -- 4000 -- 500 -- 0
123 -- 4 -- 10284 -- 0 -- 4000 -- 500 -- 0
124 -- 4 -- 16670 -- 0 -- 4000 -- 500 -- 0
125 -- 4 -- 15512 -- 0 -- 4000 -- 500 -- 0
126 -- 4 -- 20936 -- 0 -- 4000 -- 500 -- 0
127 -- 4 -- 35340 -- 0 -- 4000 -- 500 -- 0
128 -- 4 -- 20918 -- 0 -- 4000 -- 500 -- 0
129 -- 4 -- 25828 -- 0 -- 4000 -- 500 -- 0
130 -- 4 -- 47682 -- 0 -- 4000 -- 500 -- 0
131 -- 4 -- 44764 -- 0 -- 4000 -- 500 -- 0
132 -- 4 -- 33257 -- 0 -- 4000 -- 500 -- 0
133 -- 4 -- 7658 -- 0 -- 4000 -- 500 -- 0
134 -- 4 -- 10881 -- 0 -- 4000 -- 500 -- 0
135 -- 4 -- 40177 -- 0 -- 4000 -- 500 -- 0
136 -- 4 -- 13273 -- 0 -- 4000 -- 500 -- 0
137 -- 4 -- 29808 -- 0 -- 4000 -- 500 -- 0
138 -- 4 -- 40596 -- 0 -- 4000 -- 500 -- 0
139 -- 4 -- 28790 -- 0 -- 4000 -- 500 -- 0
140 -- 4 -- 33965 -- 0 -- 4000 -- 500 -- 0
141 -- 4 -- 14423 -- 0 -- 4000 -- 500 -- 0
142 -- 4 -- 40475 -- 0 -- 4000 -- 500 -- 0
143 -- 4 -- 12304 -- 0 -- 4000 -- 500 -- 0
144 -- 4 -- 26602 -- 0 -- 4000 -- 500 -- 0
145 -- 4 -- 31528 -- 0 -- 4000 -- 500 -- 0
146 -- 4 -- 17510 -- 0 -- 4000 -- 500 -- 0
147 -- 4 -- 9799 -- 0 -- 4000 -- 500 -- 0
148 -- 4 -- 31201 -- 0 -- 4000 -- 500 -- 0
149 -- 4 -- 32869 -- 0 -- 4000 -- 500 -- 0
150 -- 4 -- 12114 -- 0 -- 4000 -- 500 -- 0
151 -- 4 -- 10370 -- 0 -- 4000 -- 500 -- 0
