taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 8189 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 7989 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 7964 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 7840 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 8128 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 7929 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 7600 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 7950 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 8107 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 32701 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 32110 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 7905 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 7903 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 8156 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 32025 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 32479 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 7748 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 8322 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 31963 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 8249 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 32344 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 30865 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 31832 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 8078 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 32405 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 32299 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 7940 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 8370 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 32360 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 7948 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 31543 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 7706 -- 0 -- 4000 -- 500 -- 0
