taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 35372 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 18034 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 3339 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 27249 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 12072 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 10469 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 11626 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 17925 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 45992 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 28525 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 3016 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 23244 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 5557 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 23822 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 35323 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 18638 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 22277 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 28105 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 288 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 16018 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 39044 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 20266 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 7816 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 22917 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 39001 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 18624 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 31227 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 98948 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 1180 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 4881 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 13545 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 14009 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 13159 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 51759 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 40612 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 55614 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 45046 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 30624 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 18647 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 21210 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 2887 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 5577 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 29264 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 41260 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 50440 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 2806 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 2732 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 16706 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 2600 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 20804 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 23669 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 30540 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 7388 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 41567 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 30185 -- 0 -- 4000 -- 500 -- 0
56 -- 4 -- 4257 -- 0 -- 4000 -- 500 -- 0
57 -- 4 -- 23595 -- 0 -- 4000 -- 500 -- 0
58 -- 4 -- 5460 -- 0 -- 4000 -- 500 -- 0
59 -- 4 -- 17660 -- 0 -- 4000 -- 500 -- 0
60 -- 4 -- 11460 -- 0 -- 4000 -- 500 -- 0
61 -- 4 -- 32428 -- 0 -- 4000 -- 500 -- 0
62 -- 4 -- 4773 -- 0 -- 4000 -- 500 -- 0
