taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 41296 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 37662 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 43385 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 35432 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 31046 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 26018 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 32630 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 31437 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 40687 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 14560 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 33914 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 40119 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 27406 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 29210 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 24041 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 18648 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 44864 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 22628 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 36798 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 41794 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 43412 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 23618 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 29025 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 36547 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 29561 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 37774 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 40176 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 16383 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 36786 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 28402 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 38781 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 38556 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 36770 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 48751 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 58182 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 34379 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 53445 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 17959 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 28255 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 27000 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 33074 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 31610 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 23227 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 26074 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 44029 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 17794 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 28824 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 45841 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 35152 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 31137 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 46789 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 40126 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 30876 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 39977 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 23796 -- 0 -- 4000 -- 500 -- 0
56 -- 4 -- 34762 -- 0 -- 4000 -- 500 -- 0
57 -- 4 -- 33852 -- 0 -- 4000 -- 500 -- 0
58 -- 4 -- 33246 -- 0 -- 4000 -- 500 -- 0
59 -- 4 -- 16171 -- 0 -- 4000 -- 500 -- 0
60 -- 4 -- 22264 -- 0 -- 4000 -- 500 -- 0
61 -- 4 -- 21038 -- 0 -- 4000 -- 500 -- 0
62 -- 4 -- 32807 -- 0 -- 4000 -- 500 -- 0
63 -- 4 -- 44177 -- 0 -- 4000 -- 500 -- 0
64 -- 4 -- 27650 -- 0 -- 4000 -- 500 -- 0
65 -- 4 -- 22507 -- 0 -- 4000 -- 500 -- 0
66 -- 4 -- 31414 -- 0 -- 4000 -- 500 -- 0
67 -- 4 -- 42495 -- 0 -- 4000 -- 500 -- 0
68 -- 4 -- 18591 -- 0 -- 4000 -- 500 -- 0
69 -- 4 -- 750 -- 0 -- 4000 -- 500 -- 0
70 -- 4 -- 36633 -- 0 -- 4000 -- 500 -- 0
71 -- 4 -- 37697 -- 0 -- 4000 -- 500 -- 0
72 -- 4 -- 38711 -- 0 -- 4000 -- 500 -- 0
73 -- 4 -- 29639 -- 0 -- 4000 -- 500 -- 0
74 -- 4 -- 25826 -- 0 -- 4000 -- 500 -- 0
75 -- 4 -- 21948 -- 0 -- 4000 -- 500 -- 0
76 -- 4 -- 8357 -- 0 -- 4000 -- 500 -- 0
77 -- 4 -- 40895 -- 0 -- 4000 -- 500 -- 0
78 -- 4 -- 36068 -- 0 -- 4000 -- 500 -- 0
79 -- 4 -- 14532 -- 0 -- 4000 -- 500 -- 0
80 -- 4 -- 14279 -- 0 -- 4000 -- 500 -- 0
81 -- 4 -- 20301 -- 0 -- 4000 -- 500 -- 0
82 -- 4 -- 47077 -- 0 -- 4000 -- 500 -- 0
83 -- 4 -- 19184 -- 0 -- 4000 -- 500 -- 0
84 -- 4 -- 36795 -- 0 -- 4000 -- 500 -- 0
85 -- 4 -- 21031 -- 0 -- 4000 -- 500 -- 0
86 -- 4 -- 32922 -- 0 -- 4000 -- 500 -- 0
87 -- 4 -- 38743 -- 0 -- 4000 -- 500 -- 0
88 -- 4 -- 36919 -- 0 -- 4000 -- 500 -- 0
89 -- 4 -- 20707 -- 0 -- 4000 -- 500 -- 0
90 -- 4 -- 30070 -- 0 -- 4000 -- 500 -- 0
91 -- 4 -- 34696 -- 0 -- 4000 -- 500 -- 0
92 -- 4 -- 22500 -- 0 -- 4000 -- 500 -- 0
93 -- 4 -- 49082 -- 0 -- 4000 -- 500 -- 0
94 -- 4 -- 43502 -- 0 -- 4000 -- 500 -- 0
95 -- 4 -- 44018 -- 0 -- 4000 -- 500 -- 0
96 -- 4 -- 49110 -- 0 -- 4000 -- 500 -- 0
97 -- 4 -- 24006 -- 0 -- 4000 -- 500 -- 0
98 -- 4 -- 20618 -- 0 -- 4000 -- 500 -- 0
99 -- 4 -- 40099 -- 0 -- 4000 -- 500 -- 0
100 -- 4 -- 22221 -- 0 -- 4000 -- 500 -- 0
101 -- 4 -- 31788 -- 0 -- 4000 -- 500 -- 0
102 -- 4 -- 15545 -- 0 -- 4000 -- 500 -- 0
103 -- 4 -- 31787 -- 0 -- 4000 -- 500 -- 0
104 -- 4 -- 42193 -- 0 -- 4000 -- 500 -- 0
105 -- 4 -- 39240 -- 0 -- 4000 -- 500 -- 0
106 -- 4 -- 51374 -- 0 -- 4000 -- 500 -- 0
107 -- 4 -- 23721 -- 0 -- 4000 -- 500 -- 0
108 -- 4 -- 21668 -- 0 -- 4000 -- 500 -- 0
109 -- 4 -- 24648 -- 0 -- 4000 -- 500 -- 0
110 -- 4 -- 38572 -- 0 -- 4000 -- 500 -- 0
111 -- 4 -- 23567 -- 0 -- 4000 -- 500 -- 0
112 -- 4 -- 22156 -- 0 -- 4000 -- 500 -- 0
113 -- 4 -- 40008 -- 0 -- 4000 -- 500 -- 0
114 -- 4 -- 30547 -- 0 -- 4000 -- 500 -- 0
115 -- 4 -- 19163 -- 0 -- 4000 -- 500 -- 0
116 -- 4 -- 41306 -- 0 -- 4000 -- 500 -- 0
117 -- 4 -- 25828 -- 0 -- 4000 -- 500 -- 0
118 -- 4 -- 26158 -- 0 -- 4000 -- 500 -- 0
119 -- 4 -- 51860 -- 0 -- 4000 -- 500 -- 0
120 -- 4 -- 32213 -- 0 -- 4000 -- 500 -- 0
121 -- 4 -- 22302 -- 0 -- 4000 -- 500 -- 0
122 -- 4 -- 17113 -- 0 -- 4000 -- 500 -- 0
123 -- 4 -- 51698 -- 0 -- 4000 -- 500 -- 0
124 -- 4 -- 29298 -- 0 -- 4000 -- 500 -- 0
125 -- 4 -- 34582 -- 0 -- 4000 -- 500 -- 0
126 -- 4 -- 35615 -- 0 -- 4000 -- 500 -- 0
127 -- 4 -- 43301 -- 0 -- 4000 -- 500 -- 0
128 -- 4 -- 16918 -- 0 -- 4000 -- 500 -- 0
129 -- 4 -- 41641 -- 0 -- 4000 -- 500 -- 0
130 -- 4 -- -1139 -- 0 -- 4000 -- 500 -- 0
131 -- 4 -- 23278 -- 0 -- 4000 -- 500 -- 0
132 -- 4 -- 34098 -- 0 -- 4000 -- 500 -- 0
133 -- 4 -- 45253 -- 0 -- 4000 -- 500 -- 0
134 -- 4 -- -1779 -- 0 -- 4000 -- 500 -- 0
135 -- 4 -- 28633 -- 0 -- 4000 -- 500 -- 0
136 -- 4 -- 18602 -- 0 -- 4000 -- 500 -- 0
137 -- 4 -- 24138 -- 0 -- 4000 -- 500 -- 0
138 -- 4 -- 33143 -- 0 -- 4000 -- 500 -- 0
139 -- 4 -- 44292 -- 0 -- 4000 -- 500 -- 0
140 -- 4 -- 32416 -- 0 -- 4000 -- 500 -- 0
141 -- 4 -- 34318 -- 0 -- 4000 -- 500 -- 0
142 -- 4 -- 31861 -- 0 -- 4000 -- 500 -- 0
143 -- 4 -- 44402 -- 0 -- 4000 -- 500 -- 0
144 -- 4 -- 36023 -- 0 -- 4000 -- 500 -- 0
145 -- 4 -- 6997 -- 0 -- 4000 -- 500 -- 0
146 -- 4 -- 49040 -- 0 -- 4000 -- 500 -- 0
147 -- 4 -- 45466 -- 0 -- 4000 -- 500 -- 0
148 -- 4 -- 29074 -- 0 -- 4000 -- 500 -- 0
149 -- 4 -- 16492 -- 0 -- 4000 -- 500 -- 0
150 -- 4 -- 30133 -- 0 -- 4000 -- 500 -- 0
151 -- 4 -- 40825 -- 0 -- 4000 -- 500 -- 0
152 -- 4 -- 34959 -- 0 -- 4000 -- 500 -- 0
153 -- 4 -- 24162 -- 0 -- 4000 -- 500 -- 0
154 -- 4 -- 52628 -- 0 -- 4000 -- 500 -- 0
155 -- 4 -- 19250 -- 0 -- 4000 -- 500 -- 0
156 -- 4 -- 38208 -- 0 -- 4000 -- 500 -- 0
157 -- 4 -- 26731 -- 0 -- 4000 -- 500 -- 0
158 -- 4 -- 31222 -- 0 -- 4000 -- 500 -- 0
159 -- 4 -- 33762 -- 0 -- 4000 -- 500 -- 0
160 -- 4 -- 40695 -- 0 -- 4000 -- 500 -- 0
161 -- 4 -- 14539 -- 0 -- 4000 -- 500 -- 0
162 -- 4 -- 34778 -- 0 -- 4000 -- 500 -- 0
163 -- 4 -- 34385 -- 0 -- 4000 -- 500 -- 0
164 -- 4 -- 22790 -- 0 -- 4000 -- 500 -- 0
165 -- 4 -- 33114 -- 0 -- 4000 -- 500 -- 0
166 -- 4 -- 42947 -- 0 -- 4000 -- 500 -- 0
167 -- 4 -- 44389 -- 0 -- 4000 -- 500 -- 0
168 -- 4 -- 29322 -- 0 -- 4000 -- 500 -- 0
169 -- 4 -- 20245 -- 0 -- 4000 -- 500 -- 0
170 -- 4 -- 23823 -- 0 -- 4000 -- 500 -- 0
171 -- 4 -- 39050 -- 0 -- 4000 -- 500 -- 0
172 -- 4 -- 17663 -- 0 -- 4000 -- 500 -- 0
173 -- 4 -- 31881 -- 0 -- 4000 -- 500 -- 0
174 -- 4 -- 32376 -- 0 -- 4000 -- 500 -- 0
175 -- 4 -- 36654 -- 0 -- 4000 -- 500 -- 0
176 -- 4 -- 29389 -- 0 -- 4000 -- 500 -- 0
177 -- 4 -- 34555 -- 0 -- 4000 -- 500 -- 0
178 -- 4 -- 25187 -- 0 -- 4000 -- 500 -- 0
179 -- 4 -- 30064 -- 0 -- 4000 -- 500 -- 0
180 -- 4 -- 29496 -- 0 -- 4000 -- 500 -- 0
181 -- 4 -- 35987 -- 0 -- 4000 -- 500 -- 0
182 -- 4 -- 27648 -- 0 -- 4000 -- 500 -- 0
183 -- 4 -- 46085 -- 0 -- 4000 -- 500 -- 0
184 -- 4 -- 50309 -- 0 -- 4000 -- 500 -- 0
185 -- 4 -- 32786 -- 0 -- 4000 -- 500 -- 0
186 -- 4 -- 53503 -- 0 -- 4000 -- 500 -- 0
187 -- 4 -- 35923 -- 0 -- 4000 -- 500 -- 0
188 -- 4 -- 19555 -- 0 -- 4000 -- 500 -- 0
189 -- 4 -- 24253 -- 0 -- 4000 -- 500 -- 0
190 -- 4 -- 36193 -- 0 -- 4000 -- 500 -- 0
191 -- 4 -- 17845 -- 0 -- 4000 -- 500 -- 0
192 -- 4 -- 26997 -- 0 -- 4000 -- 500 -- 0
193 -- 4 -- 17426 -- 0 -- 4000 -- 500 -- 0
194 -- 4 -- 12540 -- 0 -- 4000 -- 500 -- 0
195 -- 4 -- 47754 -- 0 -- 4000 -- 500 -- 0
196 -- 4 -- 45261 -- 0 -- 4000 -- 500 -- 0
197 -- 4 -- 35318 -- 0 -- 4000 -- 500 -- 0
198 -- 4 -- 9759 -- 0 -- 4000 -- 500 -- 0
199 -- 4 -- 47575 -- 0 -- 4000 -- 500 -- 0
200 -- 4 -- 13852 -- 0 -- 4000 -- 500 -- 0
