taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 7941 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 5896 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 7379 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 8880 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 7650 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 7550 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 6561 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 2238 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 4497 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 8173 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 12212 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 7422 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 7476 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 6916 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 6377 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 9008 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 9901 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 11051 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 7102 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 4754 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 3931 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 8337 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 1832 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 9130 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 9568 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 6689 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 5683 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 8954 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 6964 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 7339 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 8857 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 3801 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 8003 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 9132 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 11276 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 10505 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 8114 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 4616 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 8863 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 5780 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 9409 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 6624 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 9171 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 8926 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 5328 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 7685 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 5539 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 8272 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 6968 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 8293 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 6742 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 4075 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 6723 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 7386 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 2706 -- 0 -- 4000 -- 500 -- 0
56 -- 4 -- 5143 -- 0 -- 4000 -- 500 -- 0
57 -- 4 -- 13006 -- 0 -- 4000 -- 500 -- 0
58 -- 4 -- 7700 -- 0 -- 4000 -- 500 -- 0
59 -- 4 -- 10583 -- 0 -- 4000 -- 500 -- 0
60 -- 4 -- 7095 -- 0 -- 4000 -- 500 -- 0
61 -- 4 -- 9413 -- 0 -- 4000 -- 500 -- 0
62 -- 4 -- 10175 -- 0 -- 4000 -- 500 -- 0
63 -- 4 -- 5443 -- 0 -- 4000 -- 500 -- 0
64 -- 4 -- 11173 -- 0 -- 4000 -- 500 -- 0
65 -- 4 -- 8205 -- 0 -- 4000 -- 500 -- 0
66 -- 4 -- 6970 -- 0 -- 4000 -- 500 -- 0
67 -- 4 -- 6965 -- 0 -- 4000 -- 500 -- 0
68 -- 4 -- 7975 -- 0 -- 4000 -- 500 -- 0
69 -- 4 -- 11119 -- 0 -- 4000 -- 500 -- 0
70 -- 4 -- 8402 -- 0 -- 4000 -- 500 -- 0
71 -- 4 -- 7418 -- 0 -- 4000 -- 500 -- 0
72 -- 4 -- 7868 -- 0 -- 4000 -- 500 -- 0
73 -- 4 -- 10238 -- 0 -- 4000 -- 500 -- 0
74 -- 4 -- 6206 -- 0 -- 4000 -- 500 -- 0
75 -- 4 -- 7619 -- 0 -- 4000 -- 500 -- 0
76 -- 4 -- 7158 -- 0 -- 4000 -- 500 -- 0
77 -- 4 -- 9469 -- 0 -- 4000 -- 500 -- 0
78 -- 4 -- 9750 -- 0 -- 4000 -- 500 -- 0
79 -- 4 -- 9774 -- 0 -- 4000 -- 500 -- 0
80 -- 4 -- 7549 -- 0 -- 4000 -- 500 -- 0
81 -- 4 -- 10725 -- 0 -- 4000 -- 500 -- 0
82 -- 4 -- 8450 -- 0 -- 4000 -- 500 -- 0
83 -- 4 -- 8212 -- 0 -- 4000 -- 500 -- 0
84 -- 4 -- 11305 -- 0 -- 4000 -- 500 -- 0
85 -- 4 -- 8447 -- 0 -- 4000 -- 500 -- 0
86 -- 4 -- 12236 -- 0 -- 4000 -- 500 -- 0
87 -- 4 -- 7580 -- 0 -- 4000 -- 500 -- 0
88 -- 4 -- 8951 -- 0 -- 4000 -- 500 -- 0
89 -- 4 -- 7001 -- 0 -- 4000 -- 500 -- 0
90 -- 4 -- 5767 -- 0 -- 4000 -- 500 -- 0
91 -- 4 -- 7797 -- 0 -- 4000 -- 500 -- 0
92 -- 4 -- 6062 -- 0 -- 4000 -- 500 -- 0
93 -- 4 -- 4361 -- 0 -- 4000 -- 500 -- 0
94 -- 4 -- 7173 -- 0 -- 4000 -- 500 -- 0
95 -- 4 -- 4022 -- 0 -- 4000 -- 500 -- 0
96 -- 4 -- 9368 -- 0 -- 4000 -- 500 -- 0
97 -- 4 -- 8345 -- 0 -- 4000 -- 500 -- 0
98 -- 4 -- 7156 -- 0 -- 4000 -- 500 -- 0
99 -- 4 -- 8632 -- 0 -- 4000 -- 500 -- 0
100 -- 4 -- 6827 -- 0 -- 4000 -- 500 -- 0
101 -- 4 -- 5328 -- 0 -- 4000 -- 500 -- 0
102 -- 4 -- 5478 -- 0 -- 4000 -- 500 -- 0
103 -- 4 -- 8682 -- 0 -- 4000 -- 500 -- 0
104 -- 4 -- 12502 -- 0 -- 4000 -- 500 -- 0
105 -- 4 -- 9962 -- 0 -- 4000 -- 500 -- 0
106 -- 4 -- 6060 -- 0 -- 4000 -- 500 -- 0
107 -- 4 -- 6870 -- 0 -- 4000 -- 500 -- 0
108 -- 4 -- 11082 -- 0 -- 4000 -- 500 -- 0
109 -- 4 -- 6255 -- 0 -- 4000 -- 500 -- 0
110 -- 4 -- 10367 -- 0 -- 4000 -- 500 -- 0
111 -- 4 -- 9627 -- 0 -- 4000 -- 500 -- 0
112 -- 4 -- 12833 -- 0 -- 4000 -- 500 -- 0
113 -- 4 -- 7645 -- 0 -- 4000 -- 500 -- 0
114 -- 4 -- 6824 -- 0 -- 4000 -- 500 -- 0
115 -- 4 -- 10752 -- 0 -- 4000 -- 500 -- 0
116 -- 4 -- 8142 -- 0 -- 4000 -- 500 -- 0
117 -- 4 -- 10793 -- 0 -- 4000 -- 500 -- 0
118 -- 4 -- 4758 -- 0 -- 4000 -- 500 -- 0
119 -- 4 -- 11356 -- 0 -- 4000 -- 500 -- 0
120 -- 4 -- 4701 -- 0 -- 4000 -- 500 -- 0
121 -- 4 -- 7193 -- 0 -- 4000 -- 500 -- 0
122 -- 4 -- 10001 -- 0 -- 4000 -- 500 -- 0
