taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 31778 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 11926 -- 0 -- 4000 -- 500 -- 0 -- 2
3 -- 4 -- 11253 -- 0 -- 4000 -- 500 -- 0 -- 2
4 -- 4 -- 11174 -- 0 -- 4000 -- 500 -- 0 -- 2
5 -- 4 -- 11193 -- 0 -- 4000 -- 500 -- 0 -- 2
6 -- 4 -- 31277 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 30685 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 15376 -- 0 -- 4000 -- 500 -- 0 -- 3
9 -- 4 -- 12954 -- 0 -- 4000 -- 500 -- 0 -- 3
10 -- 4 -- 11539 -- 0 -- 4000 -- 500 -- 0 -- 2
11 -- 4 -- 10355 -- 0 -- 4000 -- 500 -- 0 -- 2
12 -- 4 -- 11403 -- 0 -- 4000 -- 500 -- 0 -- 2
13 -- 4 -- 38093 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 32926 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 10392 -- 0 -- 4000 -- 500 -- 0 -- 2
16 -- 4 -- 9613 -- 0 -- 4000 -- 500 -- 0 -- 2
17 -- 4 -- 10214 -- 0 -- 4000 -- 500 -- 0 -- 2
18 -- 4 -- 11172 -- 0 -- 4000 -- 500 -- 0 -- 2
19 -- 4 -- 20395 -- 0 -- 4000 -- 500 -- 0 -- 3
20 -- 4 -- 10692 -- 0 -- 4000 -- 500 -- 0 -- 2
21 -- 4 -- 13791 -- 0 -- 4000 -- 500 -- 0 -- 3
22 -- 4 -- 12983 -- 0 -- 4000 -- 500 -- 0 -- 3
23 -- 4 -- 15994 -- 0 -- 4000 -- 500 -- 0 -- 3
24 -- 4 -- 11181 -- 0 -- 4000 -- 500 -- 0 -- 2
25 -- 4 -- 10637 -- 0 -- 4000 -- 500 -- 0 -- 2
26 -- 4 -- 39445 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 31422 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 11527 -- 0 -- 4000 -- 500 -- 0 -- 2
