taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 15888 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 10510 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 15803 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 32118 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 32145 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 16051 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 10118 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 10897 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 10373 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 11513 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 16754 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 15175 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 11232 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 11383 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 15417 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 32224 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 16070 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 11353 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 31782 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 32210 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 31600 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 11220 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 10300 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 11241 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 11594 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 10171 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 11905 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 16626 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 15700 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 10910 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 31790 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 15853 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 10743 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 31509 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 16272 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 32186 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 16119 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 10513 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 15436 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 32298 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 31756 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 16929 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 11376 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 11430 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 10601 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 10732 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 11172 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 31864 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 10835 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 15756 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 11132 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 15672 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 10124 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 11448 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 16865 -- 0 -- 4000 -- 500 -- 0
56 -- 4 -- 30928 -- 0 -- 4000 -- 500 -- 0
57 -- 4 -- 32963 -- 0 -- 4000 -- 500 -- 0
58 -- 4 -- 31202 -- 0 -- 4000 -- 500 -- 0
59 -- 4 -- 16176 -- 0 -- 4000 -- 500 -- 0
