taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 23045 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 38619 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 22733 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 17327 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 14631 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 39389 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 18171 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 21045 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 16707 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 27131 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 14831 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 27826 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 19244 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 28777 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 13122 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 25138 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 37935 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 38933 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 15956 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 28810 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 15018 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 28727 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 32472 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 17398 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 19438 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 15107 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 18100 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 16318 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 38202 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 10231 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 12715 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 25883 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 20397 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 19239 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 39243 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 15683 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 25195 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 35114 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 15156 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 22871 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 13590 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 35552 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 26759 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 22370 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 28533 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 18593 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 39074 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 19810 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 38780 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 25114 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 37633 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 23544 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 15928 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 17372 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 18743 -- 0 -- 4000 -- 500 -- 0
56 -- 4 -- 22654 -- 0 -- 4000 -- 500 -- 0
57 -- 4 -- 27112 -- 0 -- 4000 -- 500 -- 0
58 -- 4 -- 26346 -- 0 -- 4000 -- 500 -- 0
59 -- 4 -- 31594 -- 0 -- 4000 -- 500 -- 0
60 -- 4 -- 38225 -- 0 -- 4000 -- 500 -- 0
61 -- 4 -- 20641 -- 0 -- 4000 -- 500 -- 0
62 -- 4 -- 22463 -- 0 -- 4000 -- 500 -- 0
63 -- 4 -- 32385 -- 0 -- 4000 -- 500 -- 0
64 -- 4 -- 12183 -- 0 -- 4000 -- 500 -- 0
65 -- 4 -- 16000 -- 0 -- 4000 -- 500 -- 0
66 -- 4 -- 35606 -- 0 -- 4000 -- 500 -- 0
67 -- 4 -- 31618 -- 0 -- 4000 -- 500 -- 0
68 -- 4 -- 25031 -- 0 -- 4000 -- 500 -- 0
69 -- 4 -- 34725 -- 0 -- 4000 -- 500 -- 0
