taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 3227 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 1773 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 1252 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 1538 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 1236 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 1603 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 3500 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 2145 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 3445 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 2534 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 1848 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 1976 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 3567 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 1955 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 2812 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 3387 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 3985 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 1881 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 2681 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 3436 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 2678 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 3118 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 2271 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 3969 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 1334 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 1595 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 2992 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 1272 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 1601 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 1545 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 3114 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 1003 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 2087 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 3975 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 2673 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 1821 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 3715 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 3285 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 2315 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 2031 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 1307 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 3728 -- 0 -- 4000 -- 500 -- 0 -- 1
43 -- 4 -- 3379 -- 0 -- 4000 -- 500 -- 0 -- 1
44 -- 4 -- 3495 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 1415 -- 0 -- 4000 -- 500 -- 0 -- 1
46 -- 4 -- 2673 -- 0 -- 4000 -- 500 -- 0 -- 1
47 -- 4 -- 3661 -- 0 -- 4000 -- 500 -- 0 -- 1
48 -- 4 -- 1324 -- 0 -- 4000 -- 500 -- 0 -- 1
49 -- 4 -- 3213 -- 0 -- 4000 -- 500 -- 0 -- 1
50 -- 4 -- 2802 -- 0 -- 4000 -- 500 -- 0 -- 1
51 -- 4 -- 3571 -- 0 -- 4000 -- 500 -- 0 -- 1
52 -- 4 -- 2491 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 2988 -- 0 -- 4000 -- 500 -- 0 -- 1
54 -- 4 -- 3980 -- 0 -- 4000 -- 500 -- 0 -- 1
55 -- 4 -- 3691 -- 0 -- 4000 -- 500 -- 0 -- 1
56 -- 4 -- 3585 -- 0 -- 4000 -- 500 -- 0 -- 1
57 -- 4 -- 2591 -- 0 -- 4000 -- 500 -- 0 -- 1
58 -- 4 -- 3700 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 3915 -- 0 -- 4000 -- 500 -- 0 -- 1
60 -- 4 -- 3146 -- 0 -- 4000 -- 500 -- 0 -- 1
61 -- 4 -- 1113 -- 0 -- 4000 -- 500 -- 0 -- 1
62 -- 4 -- 2959 -- 0 -- 4000 -- 500 -- 0 -- 1
63 -- 4 -- 2468 -- 0 -- 4000 -- 500 -- 0 -- 1
64 -- 4 -- 2117 -- 0 -- 4000 -- 500 -- 0 -- 1
65 -- 4 -- 2254 -- 0 -- 4000 -- 500 -- 0 -- 1
66 -- 4 -- 2724 -- 0 -- 4000 -- 500 -- 0 -- 1
67 -- 4 -- 1251 -- 0 -- 4000 -- 500 -- 0 -- 1
68 -- 4 -- 2879 -- 0 -- 4000 -- 500 -- 0 -- 1
69 -- 4 -- 3385 -- 0 -- 4000 -- 500 -- 0 -- 1
70 -- 4 -- 1714 -- 0 -- 4000 -- 500 -- 0 -- 1
71 -- 4 -- 3243 -- 0 -- 4000 -- 500 -- 0 -- 1
72 -- 4 -- 2339 -- 0 -- 4000 -- 500 -- 0 -- 1
73 -- 4 -- 2228 -- 0 -- 4000 -- 500 -- 0 -- 1
74 -- 4 -- 3046 -- 0 -- 4000 -- 500 -- 0 -- 1
75 -- 4 -- 1102 -- 0 -- 4000 -- 500 -- 0 -- 1
76 -- 4 -- 2317 -- 0 -- 4000 -- 500 -- 0 -- 1
77 -- 4 -- 1493 -- 0 -- 4000 -- 500 -- 0 -- 1
78 -- 4 -- 3937 -- 0 -- 4000 -- 500 -- 0 -- 1
79 -- 4 -- 1390 -- 0 -- 4000 -- 500 -- 0 -- 1
80 -- 4 -- 2865 -- 0 -- 4000 -- 500 -- 0 -- 1
81 -- 4 -- 1615 -- 0 -- 4000 -- 500 -- 0 -- 1
82 -- 4 -- 1577 -- 0 -- 4000 -- 500 -- 0 -- 1
83 -- 4 -- 3300 -- 0 -- 4000 -- 500 -- 0 -- 1
84 -- 4 -- 3008 -- 0 -- 4000 -- 500 -- 0 -- 1
85 -- 4 -- 3283 -- 0 -- 4000 -- 500 -- 0 -- 1
86 -- 4 -- 1437 -- 0 -- 4000 -- 500 -- 0 -- 1
87 -- 4 -- 3478 -- 0 -- 4000 -- 500 -- 0 -- 1
88 -- 4 -- 3868 -- 0 -- 4000 -- 500 -- 0 -- 1
89 -- 4 -- 1312 -- 0 -- 4000 -- 500 -- 0 -- 1
90 -- 4 -- 3450 -- 0 -- 4000 -- 500 -- 0 -- 1
91 -- 4 -- 2068 -- 0 -- 4000 -- 500 -- 0 -- 1
92 -- 4 -- 1006 -- 0 -- 4000 -- 500 -- 0 -- 1
93 -- 4 -- 2650 -- 0 -- 4000 -- 500 -- 0 -- 1
94 -- 4 -- 3042 -- 0 -- 4000 -- 500 -- 0 -- 1
95 -- 4 -- 1988 -- 0 -- 4000 -- 500 -- 0 -- 1
96 -- 4 -- 2123 -- 0 -- 4000 -- 500 -- 0 -- 1
97 -- 4 -- 3121 -- 0 -- 4000 -- 500 -- 0 -- 1
98 -- 4 -- 2835 -- 0 -- 4000 -- 500 -- 0 -- 1
99 -- 4 -- 2584 -- 0 -- 4000 -- 500 -- 0 -- 1
100 -- 4 -- 1259 -- 0 -- 4000 -- 500 -- 0 -- 1
101 -- 4 -- 2667 -- 0 -- 4000 -- 500 -- 0 -- 1
102 -- 4 -- 3415 -- 0 -- 4000 -- 500 -- 0 -- 1
103 -- 4 -- 1119 -- 0 -- 4000 -- 500 -- 0 -- 1
104 -- 4 -- 2926 -- 0 -- 4000 -- 500 -- 0 -- 1
105 -- 4 -- 2349 -- 0 -- 4000 -- 500 -- 0 -- 1
106 -- 4 -- 1598 -- 0 -- 4000 -- 500 -- 0 -- 1
107 -- 4 -- 2779 -- 0 -- 4000 -- 500 -- 0 -- 1
108 -- 4 -- 3977 -- 0 -- 4000 -- 500 -- 0 -- 1
109 -- 4 -- 1059 -- 0 -- 4000 -- 500 -- 0 -- 1
110 -- 4 -- 2660 -- 0 -- 4000 -- 500 -- 0 -- 1
111 -- 4 -- 1854 -- 0 -- 4000 -- 500 -- 0 -- 1
