taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 41209 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 9990 -- 0 -- 4000 -- 500 -- 0 -- 2
3 -- 4 -- 14919 -- 0 -- 4000 -- 500 -- 0 -- 2
4 -- 4 -- 42720 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 22297 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 10260 -- 0 -- 4000 -- 500 -- 0 -- 2
7 -- 4 -- 48800 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 13118 -- 0 -- 4000 -- 500 -- 0 -- 2
9 -- 4 -- 12698 -- 0 -- 4000 -- 500 -- 0 -- 2
10 -- 4 -- 12307 -- 0 -- 4000 -- 500 -- 0 -- 2
11 -- 4 -- 26708 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 11385 -- 0 -- 4000 -- 500 -- 0 -- 2
13 -- 4 -- 10650 -- 0 -- 4000 -- 500 -- 0 -- 2
14 -- 4 -- 10204 -- 0 -- 4000 -- 500 -- 0 -- 2
15 -- 4 -- 11597 -- 0 -- 4000 -- 500 -- 0 -- 2
16 -- 4 -- 27122 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 10428 -- 0 -- 4000 -- 500 -- 0 -- 2
18 -- 4 -- 26054 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 29025 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 36105 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 36423 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 22790 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 13539 -- 0 -- 4000 -- 500 -- 0 -- 2
24 -- 4 -- 16022 -- 0 -- 4000 -- 500 -- 0 -- 2
25 -- 4 -- 11645 -- 0 -- 4000 -- 500 -- 0 -- 2
26 -- 4 -- 12200 -- 0 -- 4000 -- 500 -- 0 -- 2
27 -- 4 -- 31426 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 35078 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 38550 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 12289 -- 0 -- 4000 -- 500 -- 0 -- 2
31 -- 4 -- 33009 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 8402 -- 0 -- 4000 -- 500 -- 0 -- 2
33 -- 4 -- 12298 -- 0 -- 4000 -- 500 -- 0 -- 2
34 -- 4 -- 21858 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 43256 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 39484 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 18072 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 31385 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 9258 -- 0 -- 4000 -- 500 -- 0 -- 2
40 -- 4 -- 13928 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 12850 -- 0 -- 4000 -- 500 -- 0 -- 2
42 -- 4 -- 9337 -- 0 -- 4000 -- 500 -- 0 -- 2
43 -- 4 -- 38597 -- 0 -- 4000 -- 500 -- 0 -- 1
44 -- 4 -- 28446 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 27069 -- 0 -- 4000 -- 500 -- 0 -- 1
46 -- 4 -- 11022 -- 0 -- 4000 -- 500 -- 0 -- 2
47 -- 4 -- 11814 -- 0 -- 4000 -- 500 -- 0 -- 2
48 -- 4 -- 11473 -- 0 -- 4000 -- 500 -- 0 -- 2
49 -- 4 -- 11226 -- 0 -- 4000 -- 500 -- 0 -- 2
50 -- 4 -- 10305 -- 0 -- 4000 -- 500 -- 0 -- 2
51 -- 4 -- 42474 -- 0 -- 4000 -- 500 -- 0 -- 1
52 -- 4 -- 43960 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 12874 -- 0 -- 4000 -- 500 -- 0 -- 2
54 -- 4 -- 9091 -- 0 -- 4000 -- 500 -- 0 -- 2
55 -- 4 -- 9780 -- 0 -- 4000 -- 500 -- 0 -- 2
56 -- 4 -- 32632 -- 0 -- 4000 -- 500 -- 0 -- 1
57 -- 4 -- 7693 -- 0 -- 4000 -- 500 -- 0 -- 2
58 -- 4 -- 31176 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 18028 -- 0 -- 4000 -- 500 -- 0 -- 1
60 -- 4 -- 34458 -- 0 -- 4000 -- 500 -- 0 -- 1
61 -- 4 -- 9736 -- 0 -- 4000 -- 500 -- 0 -- 2
62 -- 4 -- 11570 -- 0 -- 4000 -- 500 -- 0 -- 2
63 -- 4 -- 8107 -- 0 -- 4000 -- 500 -- 0 -- 2
