taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 32006 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 31383 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 32749 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 7747 -- 0 -- 4000 -- 500 -- 0 -- 2
5 -- 4 -- 31917 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 7936 -- 0 -- 4000 -- 500 -- 0 -- 2
7 -- 4 -- 31646 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 32356 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 31701 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 8127 -- 0 -- 4000 -- 500 -- 0 -- 2
11 -- 4 -- 32589 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 32271 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 32577 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 7939 -- 0 -- 4000 -- 500 -- 0 -- 2
15 -- 4 -- 32649 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 7792 -- 0 -- 4000 -- 500 -- 0 -- 2
17 -- 4 -- 8123 -- 0 -- 4000 -- 500 -- 0 -- 2
18 -- 4 -- 8077 -- 0 -- 4000 -- 500 -- 0 -- 2
19 -- 4 -- 31655 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 8334 -- 0 -- 4000 -- 500 -- 0 -- 2
21 -- 4 -- 8093 -- 0 -- 4000 -- 500 -- 0 -- 2
22 -- 4 -- 32294 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 7747 -- 0 -- 4000 -- 500 -- 0 -- 2
24 -- 4 -- 7611 -- 0 -- 4000 -- 500 -- 0 -- 2
25 -- 4 -- 31868 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 32039 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 7856 -- 0 -- 4000 -- 500 -- 0 -- 2
28 -- 4 -- 31877 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 8309 -- 0 -- 4000 -- 500 -- 0 -- 2
30 -- 4 -- 32447 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 7732 -- 0 -- 4000 -- 500 -- 0 -- 2
32 -- 4 -- 32008 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 31813 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 7945 -- 0 -- 4000 -- 500 -- 0 -- 2
35 -- 4 -- 31778 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 32346 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 31625 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 8171 -- 0 -- 4000 -- 500 -- 0 -- 2
39 -- 4 -- 31715 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 7704 -- 0 -- 4000 -- 500 -- 0 -- 2
41 -- 4 -- 31950 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 31894 -- 0 -- 4000 -- 500 -- 0 -- 1
43 -- 4 -- 7799 -- 0 -- 4000 -- 500 -- 0 -- 2
44 -- 4 -- 32096 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 7661 -- 0 -- 4000 -- 500 -- 0 -- 2
46 -- 4 -- 31926 -- 0 -- 4000 -- 500 -- 0 -- 1
47 -- 4 -- 8011 -- 0 -- 4000 -- 500 -- 0 -- 2
48 -- 4 -- 7886 -- 0 -- 4000 -- 500 -- 0 -- 2
49 -- 4 -- 8044 -- 0 -- 4000 -- 500 -- 0 -- 2
50 -- 4 -- 7883 -- 0 -- 4000 -- 500 -- 0 -- 2
51 -- 4 -- 8146 -- 0 -- 4000 -- 500 -- 0 -- 2
52 -- 4 -- 31633 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 7775 -- 0 -- 4000 -- 500 -- 0 -- 2
54 -- 4 -- 32172 -- 0 -- 4000 -- 500 -- 0 -- 1
55 -- 4 -- 7638 -- 0 -- 4000 -- 500 -- 0 -- 2
56 -- 4 -- 31778 -- 0 -- 4000 -- 500 -- 0 -- 1
57 -- 4 -- 7918 -- 0 -- 4000 -- 500 -- 0 -- 2
58 -- 4 -- 31533 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 32236 -- 0 -- 4000 -- 500 -- 0 -- 1
60 -- 4 -- 7908 -- 0 -- 4000 -- 500 -- 0 -- 2
61 -- 4 -- 32163 -- 0 -- 4000 -- 500 -- 0 -- 1
62 -- 4 -- 8189 -- 0 -- 4000 -- 500 -- 0 -- 2
63 -- 4 -- 32296 -- 0 -- 4000 -- 500 -- 0 -- 1
64 -- 4 -- 31361 -- 0 -- 4000 -- 500 -- 0 -- 1
65 -- 4 -- 31963 -- 0 -- 4000 -- 500 -- 0 -- 1
66 -- 4 -- 7927 -- 0 -- 4000 -- 500 -- 0 -- 2
67 -- 4 -- 31874 -- 0 -- 4000 -- 500 -- 0 -- 1
68 -- 4 -- 31881 -- 0 -- 4000 -- 500 -- 0 -- 1
69 -- 4 -- 32319 -- 0 -- 4000 -- 500 -- 0 -- 1
70 -- 4 -- 7864 -- 0 -- 4000 -- 500 -- 0 -- 2
71 -- 4 -- 8058 -- 0 -- 4000 -- 500 -- 0 -- 2
72 -- 4 -- 32892 -- 0 -- 4000 -- 500 -- 0 -- 1
73 -- 4 -- 7996 -- 0 -- 4000 -- 500 -- 0 -- 2
74 -- 4 -- 32125 -- 0 -- 4000 -- 500 -- 0 -- 1
75 -- 4 -- 32398 -- 0 -- 4000 -- 500 -- 0 -- 1
76 -- 4 -- 32105 -- 0 -- 4000 -- 500 -- 0 -- 1
77 -- 4 -- 7880 -- 0 -- 4000 -- 500 -- 0 -- 2
78 -- 4 -- 31913 -- 0 -- 4000 -- 500 -- 0 -- 1
79 -- 4 -- 7662 -- 0 -- 4000 -- 500 -- 0 -- 2
80 -- 4 -- 7872 -- 0 -- 4000 -- 500 -- 0 -- 2
81 -- 4 -- 32009 -- 0 -- 4000 -- 500 -- 0 -- 1
82 -- 4 -- 32103 -- 0 -- 4000 -- 500 -- 0 -- 1
83 -- 4 -- 7557 -- 0 -- 4000 -- 500 -- 0 -- 2
84 -- 4 -- 32053 -- 0 -- 4000 -- 500 -- 0 -- 1
85 -- 4 -- 31682 -- 0 -- 4000 -- 500 -- 0 -- 1
86 -- 4 -- 7929 -- 0 -- 4000 -- 500 -- 0 -- 2
87 -- 4 -- 7807 -- 0 -- 4000 -- 500 -- 0 -- 2
88 -- 4 -- 7815 -- 0 -- 4000 -- 500 -- 0 -- 2
89 -- 4 -- 32289 -- 0 -- 4000 -- 500 -- 0 -- 1
90 -- 4 -- 32336 -- 0 -- 4000 -- 500 -- 0 -- 1
91 -- 4 -- 31167 -- 0 -- 4000 -- 500 -- 0 -- 1
92 -- 4 -- 7882 -- 0 -- 4000 -- 500 -- 0 -- 2
93 -- 4 -- 32937 -- 0 -- 4000 -- 500 -- 0 -- 1
94 -- 4 -- 8045 -- 0 -- 4000 -- 500 -- 0 -- 2
95 -- 4 -- 32204 -- 0 -- 4000 -- 500 -- 0 -- 1
96 -- 4 -- 32287 -- 0 -- 4000 -- 500 -- 0 -- 1
97 -- 4 -- 31999 -- 0 -- 4000 -- 500 -- 0 -- 1
98 -- 4 -- 31868 -- 0 -- 4000 -- 500 -- 0 -- 1
99 -- 4 -- 7963 -- 0 -- 4000 -- 500 -- 0 -- 2
100 -- 4 -- 31744 -- 0 -- 4000 -- 500 -- 0 -- 1
101 -- 4 -- 8069 -- 0 -- 4000 -- 500 -- 0 -- 2
102 -- 4 -- 33111 -- 0 -- 4000 -- 500 -- 0 -- 1
103 -- 4 -- 32377 -- 0 -- 4000 -- 500 -- 0 -- 1
104 -- 4 -- 32244 -- 0 -- 4000 -- 500 -- 0 -- 1
105 -- 4 -- 31058 -- 0 -- 4000 -- 500 -- 0 -- 1
106 -- 4 -- 32113 -- 0 -- 4000 -- 500 -- 0 -- 1
107 -- 4 -- 31845 -- 0 -- 4000 -- 500 -- 0 -- 1
108 -- 4 -- 7835 -- 0 -- 4000 -- 500 -- 0 -- 2
109 -- 4 -- 8090 -- 0 -- 4000 -- 500 -- 0 -- 2
110 -- 4 -- 7980 -- 0 -- 4000 -- 500 -- 0 -- 2
111 -- 4 -- 8237 -- 0 -- 4000 -- 500 -- 0 -- 2
112 -- 4 -- 8330 -- 0 -- 4000 -- 500 -- 0 -- 2
113 -- 4 -- 7973 -- 0 -- 4000 -- 500 -- 0 -- 2
114 -- 4 -- 32252 -- 0 -- 4000 -- 500 -- 0 -- 1
115 -- 4 -- 32191 -- 0 -- 4000 -- 500 -- 0 -- 1
116 -- 4 -- 32232 -- 0 -- 4000 -- 500 -- 0 -- 1
117 -- 4 -- 8507 -- 0 -- 4000 -- 500 -- 0 -- 2
118 -- 4 -- 31743 -- 0 -- 4000 -- 500 -- 0 -- 1
119 -- 4 -- 8171 -- 0 -- 4000 -- 500 -- 0 -- 2
120 -- 4 -- 7785 -- 0 -- 4000 -- 500 -- 0 -- 2
121 -- 4 -- 32836 -- 0 -- 4000 -- 500 -- 0 -- 1
122 -- 4 -- 32028 -- 0 -- 4000 -- 500 -- 0 -- 1
123 -- 4 -- 32702 -- 0 -- 4000 -- 500 -- 0 -- 1
124 -- 4 -- 8063 -- 0 -- 4000 -- 500 -- 0 -- 2
125 -- 4 -- 8208 -- 0 -- 4000 -- 500 -- 0 -- 2
126 -- 4 -- 31357 -- 0 -- 4000 -- 500 -- 0 -- 1
127 -- 4 -- 8066 -- 0 -- 4000 -- 500 -- 0 -- 2
128 -- 4 -- 32569 -- 0 -- 4000 -- 500 -- 0 -- 1
129 -- 4 -- 7702 -- 0 -- 4000 -- 500 -- 0 -- 2
130 -- 4 -- 7905 -- 0 -- 4000 -- 500 -- 0 -- 2
131 -- 4 -- 8316 -- 0 -- 4000 -- 500 -- 0 -- 2
132 -- 4 -- 32110 -- 0 -- 4000 -- 500 -- 0 -- 1
133 -- 4 -- 31841 -- 0 -- 4000 -- 500 -- 0 -- 1
134 -- 4 -- 7949 -- 0 -- 4000 -- 500 -- 0 -- 2
135 -- 4 -- 31954 -- 0 -- 4000 -- 500 -- 0 -- 1
136 -- 4 -- 31427 -- 0 -- 4000 -- 500 -- 0 -- 1
137 -- 4 -- 8213 -- 0 -- 4000 -- 500 -- 0 -- 2
138 -- 4 -- 7959 -- 0 -- 4000 -- 500 -- 0 -- 2
139 -- 4 -- 7905 -- 0 -- 4000 -- 500 -- 0 -- 2
140 -- 4 -- 7983 -- 0 -- 4000 -- 500 -- 0 -- 2
141 -- 4 -- 8183 -- 0 -- 4000 -- 500 -- 0 -- 2
142 -- 4 -- 8259 -- 0 -- 4000 -- 500 -- 0 -- 2
143 -- 4 -- 32259 -- 0 -- 4000 -- 500 -- 0 -- 1
144 -- 4 -- 32406 -- 0 -- 4000 -- 500 -- 0 -- 1
145 -- 4 -- 8084 -- 0 -- 4000 -- 500 -- 0 -- 2
146 -- 4 -- 31256 -- 0 -- 4000 -- 500 -- 0 -- 1
147 -- 4 -- 31807 -- 0 -- 4000 -- 500 -- 0 -- 1
148 -- 4 -- 8124 -- 0 -- 4000 -- 500 -- 0 -- 2
149 -- 4 -- 32069 -- 0 -- 4000 -- 500 -- 0 -- 1
150 -- 4 -- 31484 -- 0 -- 4000 -- 500 -- 0 -- 1
151 -- 4 -- 7987 -- 0 -- 4000 -- 500 -- 0 -- 2
152 -- 4 -- 32409 -- 0 -- 4000 -- 500 -- 0 -- 1
153 -- 4 -- 31463 -- 0 -- 4000 -- 500 -- 0 -- 1
154 -- 4 -- 32649 -- 0 -- 4000 -- 500 -- 0 -- 1
155 -- 4 -- 8119 -- 0 -- 4000 -- 500 -- 0 -- 2
156 -- 4 -- 7818 -- 0 -- 4000 -- 500 -- 0 -- 2
157 -- 4 -- 32243 -- 0 -- 4000 -- 500 -- 0 -- 1
158 -- 4 -- 8163 -- 0 -- 4000 -- 500 -- 0 -- 2
159 -- 4 -- 32233 -- 0 -- 4000 -- 500 -- 0 -- 1
160 -- 4 -- 32068 -- 0 -- 4000 -- 500 -- 0 -- 1
161 -- 4 -- 7859 -- 0 -- 4000 -- 500 -- 0 -- 2
162 -- 4 -- 31961 -- 0 -- 4000 -- 500 -- 0 -- 1
163 -- 4 -- 7884 -- 0 -- 4000 -- 500 -- 0 -- 2
164 -- 4 -- 31927 -- 0 -- 4000 -- 500 -- 0 -- 1
165 -- 4 -- 8126 -- 0 -- 4000 -- 500 -- 0 -- 2
166 -- 4 -- 32375 -- 0 -- 4000 -- 500 -- 0 -- 1
167 -- 4 -- 31773 -- 0 -- 4000 -- 500 -- 0 -- 1
168 -- 4 -- 8229 -- 0 -- 4000 -- 500 -- 0 -- 2
169 -- 4 -- 31370 -- 0 -- 4000 -- 500 -- 0 -- 1
170 -- 4 -- 8023 -- 0 -- 4000 -- 500 -- 0 -- 2
171 -- 4 -- 31665 -- 0 -- 4000 -- 500 -- 0 -- 1
172 -- 4 -- 8003 -- 0 -- 4000 -- 500 -- 0 -- 2
173 -- 4 -- 31461 -- 0 -- 4000 -- 500 -- 0 -- 1
174 -- 4 -- 33128 -- 0 -- 4000 -- 500 -- 0 -- 1
175 -- 4 -- 32709 -- 0 -- 4000 -- 500 -- 0 -- 1
176 -- 4 -- 8157 -- 0 -- 4000 -- 500 -- 0 -- 2
177 -- 4 -- 7686 -- 0 -- 4000 -- 500 -- 0 -- 2
178 -- 4 -- 7783 -- 0 -- 4000 -- 500 -- 0 -- 2
179 -- 4 -- 32920 -- 0 -- 4000 -- 500 -- 0 -- 1
180 -- 4 -- 8371 -- 0 -- 4000 -- 500 -- 0 -- 2
181 -- 4 -- 8220 -- 0 -- 4000 -- 500 -- 0 -- 2
182 -- 4 -- 31550 -- 0 -- 4000 -- 500 -- 0 -- 1
183 -- 4 -- 31964 -- 0 -- 4000 -- 500 -- 0 -- 1
184 -- 4 -- 32435 -- 0 -- 4000 -- 500 -- 0 -- 1
185 -- 4 -- 7816 -- 0 -- 4000 -- 500 -- 0 -- 2
186 -- 4 -- 8143 -- 0 -- 4000 -- 500 -- 0 -- 2
