task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 1 -- 5 -- 0 -- 13155 -- 260.195 -- 0 -- 1
2 -- 1 -- 1304 -- 0 -- 657 -- 348.18 -- 0 -- 1
3 -- 1 -- 291 -- 0 -- 670 -- 16.693 -- 0 -- 2
4 -- 1 -- 249 -- 0 -- 670 -- 16.5 -- 0 -- 2
5 -- 1 -- 253 -- 0 -- 670 -- 15.078 -- 0 -- 2
6 -- 1 -- 239 -- 0 -- 670 -- 26.425 -- 0 -- 2
7 -- 1 -- 255 -- 0 -- 670 -- 16.948 -- 0 -- 2
8 -- 1 -- 272 -- 0 -- 670 -- 18.025 -- 0 -- 2
9 -- 1 -- 256 -- 0 -- 670 -- 28.322 -- 0 -- 2
10 -- 1 -- 269 -- 0 -- 670 -- 26.896 -- 0 -- 2
11 -- 1 -- 288 -- 0 -- 670 -- 29.596 -- 0 -- 2
12 -- 1 -- 233 -- 0 -- 670 -- 23.801 -- 0 -- 2
13 -- 1 -- 276 -- 0 -- 670 -- 23.633 -- 0 -- 2
14 -- 1 -- 275 -- 0 -- 670 -- 17.571 -- 0 -- 2
15 -- 1 -- 251 -- 0 -- 670 -- 25.91 -- 0 -- 2
16 -- 1 -- 277 -- 0 -- 670 -- 16.849 -- 0 -- 2
17 -- 1 -- 283 -- 0 -- 670 -- 17.771 -- 0 -- 2
18 -- 1 -- 238 -- 0 -- 670 -- 22.779 -- 0 -- 2
19 -- 1 -- 259 -- 0 -- 670 -- 23.865 -- 0 -- 2
20 -- 1 -- 245 -- 0 -- 670 -- 24.488 -- 0 -- 2
21 -- 1 -- 263 -- 0 -- 670 -- 27.233 -- 0 -- 2
22 -- 1 -- 247 -- 0 -- 670 -- 23.968 -- 0 -- 2
23 -- 1 -- 248 -- 0 -- 670 -- 27.632 -- 0 -- 2
24 -- 1 -- 239 -- 0 -- 670 -- 25.974 -- 0 -- 2
25 -- 1 -- 282 -- 0 -- 670 -- 21.558 -- 0 -- 2
26 -- 1 -- 255 -- 0 -- 670 -- 25.058 -- 0 -- 2
27 -- 1 -- 256 -- 0 -- 670 -- 23.543 -- 0 -- 2
28 -- 1 -- 262 -- 0 -- 670 -- 26.776 -- 0 -- 2
29 -- 1 -- 254 -- 0 -- 670 -- 23.198 -- 0 -- 2
30 -- 1 -- 231 -- 0 -- 670 -- 25.449 -- 0 -- 2
31 -- 1 -- 288 -- 0 -- 670 -- 28.903 -- 0 -- 2
32 -- 1 -- 237 -- 0 -- 670 -- 24.112 -- 0 -- 2
33 -- 1 -- 261 -- 0 -- 670 -- 27.042 -- 0 -- 2
34 -- 1 -- 256 -- 0 -- 670 -- 17.692 -- 0 -- 2
35 -- 1 -- 247 -- 0 -- 670 -- 23.335 -- 0 -- 2
36 -- 1 -- 259 -- 0 -- 670 -- 24.294 -- 0 -- 2
37 -- 1 -- 261 -- 0 -- 670 -- 16.481 -- 0 -- 2
38 -- 1 -- 237 -- 0 -- 670 -- 24.631 -- 0 -- 2
39 -- 1 -- 255 -- 0 -- 670 -- 22.574 -- 0 -- 2
40 -- 1 -- 255 -- 0 -- 670 -- 27.949 -- 0 -- 2
41 -- 1 -- 287 -- 0 -- 670 -- 22.271 -- 0 -- 2
42 -- 1 -- 248 -- 0 -- 670 -- 25.095 -- 0 -- 2
43 -- 1 -- 287 -- 0 -- 670 -- 16.487 -- 0 -- 2
44 -- 1 -- 285 -- 0 -- 670 -- 23.77 -- 0 -- 2
45 -- 1 -- 284 -- 0 -- 670 -- 20.688 -- 0 -- 2
46 -- 1 -- 267 -- 0 -- 670 -- 24.022 -- 0 -- 2
47 -- 1 -- 238 -- 0 -- 670 -- 28.316 -- 0 -- 2
48 -- 1 -- 247 -- 0 -- 670 -- 17.792 -- 0 -- 2
49 -- 1 -- 261 -- 0 -- 670 -- 18.769 -- 0 -- 2
50 -- 1 -- 243 -- 0 -- 670 -- 18.46 -- 0 -- 2
51 -- 1 -- 242 -- 0 -- 670 -- 21.353 -- 0 -- 2
52 -- 1 -- 252 -- 0 -- 670 -- 23.719 -- 0 -- 2
53 -- 1 -- 278 -- 0 -- 670 -- 20.075 -- 0 -- 2
54 -- 1 -- 283 -- 0 -- 670 -- 21.68 -- 0 -- 2
55 -- 1 -- 237 -- 0 -- 670 -- 23.367 -- 0 -- 2
56 -- 1 -- 255 -- 0 -- 670 -- 24.057 -- 0 -- 2
57 -- 1 -- 290 -- 0 -- 670 -- 21.834 -- 0 -- 2
58 -- 1 -- 288 -- 0 -- 670 -- 25.669 -- 0 -- 2
59 -- 1 -- 249 -- 0 -- 670 -- 21.726 -- 0 -- 2
60 -- 1 -- 258 -- 0 -- 670 -- 22.394 -- 0 -- 2
61 -- 1 -- 279 -- 0 -- 670 -- 22.124 -- 0 -- 2
62 -- 1 -- 254 -- 0 -- 670 -- 24.182 -- 0 -- 2
63 -- 1 -- 262 -- 0 -- 670 -- 18.682 -- 0 -- 2
64 -- 1 -- 296 -- 0 -- 670 -- 28.712 -- 0 -- 2
65 -- 1 -- 242 -- 0 -- 670 -- 24.261 -- 0 -- 2
66 -- 1 -- 288 -- 0 -- 670 -- 21.665 -- 0 -- 2
67 -- 1 -- 256 -- 0 -- 670 -- 24.305 -- 0 -- 2
68 -- 1 -- 255 -- 0 -- 670 -- 16.604 -- 0 -- 2
69 -- 1 -- 256 -- 0 -- 670 -- 19.089 -- 0 -- 2
70 -- 1 -- 283 -- 0 -- 670 -- 16.467 -- 0 -- 2
71 -- 1 -- 261 -- 0 -- 670 -- 27.178 -- 0 -- 2
72 -- 1 -- 269 -- 0 -- 670 -- 17.227 -- 0 -- 2
