taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 35372 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 18034 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 3339 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 27249 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 12072 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 10469 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 11626 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 17925 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 45992 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 28525 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 3016 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 23244 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 5557 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 23822 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 35323 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 18638 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 22277 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 28105 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 288 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 16018 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 39044 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 20266 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 7816 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 22917 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 39001 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 18624 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 31227 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 98948 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 1180 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 4881 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 13545 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 14009 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 13159 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 51759 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 40612 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 55614 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 45046 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 30624 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 18647 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 21210 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 2887 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 5577 -- 0 -- 4000 -- 500 -- 0 -- 1
