task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 1 -- 1575 -- 0 -- 86 -- 1591.722 -- 0 -- 1
2 -- 1 -- 1576 -- 0 -- 87 -- 1605.893 -- 0 -- 1
3 -- 1 -- 1961 -- 0 -- 83 -- 1620.504 -- 0 -- 1
4 -- 1 -- 1631 -- 0 -- 87 -- 1639.626 -- 0 -- 1
5 -- 1 -- 1635 -- 0 -- 88 -- 1687.554 -- 0 -- 1
6 -- 1 -- 1961 -- 0 -- 89 -- 1695.301 -- 0 -- 1
7 -- 1 -- 1964 -- 0 -- 89 -- 1754.588 -- 0 -- 1
8 -- 1 -- 1599 -- 0 -- 87 -- 1755.939 -- 0 -- 1
9 -- 1 -- 1609 -- 0 -- 89 -- 1771.286 -- 0 -- 1
10 -- 1 -- 1575 -- 0 -- 87 -- 1779.848 -- 0 -- 1
11 -- 1 -- 1569 -- 0 -- 88 -- 1795.789 -- 0 -- 1
12 -- 1 -- 1599 -- 0 -- 83 -- 1802.54 -- 0 -- 1
13 -- 1 -- 1946 -- 0 -- 89 -- 1807.277 -- 0 -- 1
14 -- 1 -- 1621 -- 0 -- 90 -- 1815.127 -- 0 -- 1
15 -- 1 -- 1632 -- 0 -- 88 -- 1814.867 -- 0 -- 1
16 -- 1 -- 1578 -- 0 -- 89 -- 1821.67 -- 0 -- 1
17 -- 1 -- 1979 -- 0 -- 91 -- 1827.3 -- 0 -- 1
18 -- 1 -- 1591 -- 0 -- 97 -- 1831.826 -- 0 -- 2
19 -- 1 -- 1589 -- 0 -- 99 -- 1833.13 -- 0 -- 2
20 -- 1 -- 1577 -- 0 -- 89 -- 1840.14 -- 0 -- 1
21 -- 1 -- 1928 -- 0 -- 98 -- 1841.467 -- 0 -- 2
22 -- 1 -- 1572 -- 0 -- 91 -- 1841.823 -- 0 -- 1
23 -- 1 -- 1557 -- 0 -- 89 -- 1844.241 -- 0 -- 1
24 -- 1 -- 1961 -- 0 -- 89 -- 1846.055 -- 0 -- 1
25 -- 1 -- 1917 -- 0 -- 86 -- 1849.114 -- 0 -- 1
26 -- 1 -- 1559 -- 0 -- 88 -- 1914.067 -- 0 -- 1
27 -- 1 -- 1564 -- 0 -- 84 -- 1862.189 -- 0 -- 1
28 -- 1 -- 1583 -- 0 -- 89 -- 1926.203 -- 0 -- 1
29 -- 1 -- 1920 -- 0 -- 89 -- 1864.857 -- 0 -- 1
30 -- 1 -- 1916 -- 0 -- 88 -- 1868.291 -- 0 -- 1
31 -- 1 -- 1552 -- 0 -- 91 -- 1872.597 -- 0 -- 1
32 -- 1 -- 1569 -- 0 -- 88 -- 1880.015 -- 0 -- 1
33 -- 1 -- 1894 -- 0 -- 90 -- 1944.05 -- 0 -- 1
34 -- 1 -- 1575 -- 0 -- 87 -- 1884.646 -- 0 -- 1
35 -- 1 -- 1596 -- 0 -- 98 -- 1888.451 -- 0 -- 2
36 -- 1 -- 1609 -- 0 -- 99 -- 1888.808 -- 0 -- 2
37 -- 1 -- 1586 -- 0 -- 88 -- 1891.263 -- 0 -- 1
38 -- 1 -- 1555 -- 0 -- 90 -- 1902.092 -- 0 -- 1
39 -- 1 -- 1925 -- 0 -- 89 -- 1903.52 -- 0 -- 1
40 -- 1 -- 1933 -- 0 -- 98 -- 1905.099 -- 0 -- 2
41 -- 1 -- 1908 -- 0 -- 89 -- 1970.813 -- 0 -- 1
42 -- 1 -- 1566 -- 0 -- 91 -- 1972.42 -- 0 -- 1
43 -- 1 -- 1565 -- 0 -- 89 -- 1910.422 -- 0 -- 1
44 -- 1 -- 1609 -- 0 -- 88 -- 1911.436 -- 0 -- 1
45 -- 1 -- 1943 -- 0 -- 88 -- 1911.129 -- 0 -- 1
46 -- 1 -- 1588 -- 0 -- 89 -- 1919.217 -- 0 -- 1
47 -- 1 -- 1963 -- 0 -- 99 -- 1930.964 -- 0 -- 2
48 -- 1 -- 1636 -- 0 -- 97 -- 1932.04 -- 0 -- 2
49 -- 1 -- 1593 -- 0 -- 87 -- 1933.476 -- 0 -- 1
50 -- 1 -- 1968 -- 0 -- 99 -- 1936.739 -- 0 -- 2
51 -- 1 -- 1607 -- 0 -- 89 -- 1938.924 -- 0 -- 1
52 -- 1 -- 1636 -- 0 -- 99 -- 1942.004 -- 0 -- 2
53 -- 1 -- 1965 -- 0 -- 99 -- 1942.051 -- 0 -- 2
54 -- 1 -- 1930 -- 0 -- 89 -- 1944.258 -- 0 -- 1
