taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 7941 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 5896 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 7379 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 8880 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 7650 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 7550 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 6561 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 2238 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 4497 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 8173 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 12212 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 7422 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 7476 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 6916 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 6377 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 9008 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 9901 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 11051 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 7102 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 4754 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 3931 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 8337 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 1832 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 9130 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 9568 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 6689 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 5683 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 8954 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 6964 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 7339 -- 0 -- 4000 -- 500 -- 0 -- 1
