taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 15888 -- 0 -- 4000 -- 500 -- 0 -- 3
2 -- 4 -- 10510 -- 0 -- 4000 -- 500 -- 0 -- 2
3 -- 4 -- 15803 -- 0 -- 4000 -- 500 -- 0 -- 3
4 -- 4 -- 32118 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 32145 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 16051 -- 0 -- 4000 -- 500 -- 0 -- 3
7 -- 4 -- 10118 -- 0 -- 4000 -- 500 -- 0 -- 2
8 -- 4 -- 10897 -- 0 -- 4000 -- 500 -- 0 -- 2
9 -- 4 -- 10373 -- 0 -- 4000 -- 500 -- 0 -- 2
10 -- 4 -- 11513 -- 0 -- 4000 -- 500 -- 0 -- 2
11 -- 4 -- 16754 -- 0 -- 4000 -- 500 -- 0 -- 3
12 -- 4 -- 15175 -- 0 -- 4000 -- 500 -- 0 -- 3
13 -- 4 -- 11232 -- 0 -- 4000 -- 500 -- 0 -- 2
14 -- 4 -- 11383 -- 0 -- 4000 -- 500 -- 0 -- 2
15 -- 4 -- 15417 -- 0 -- 4000 -- 500 -- 0 -- 3
16 -- 4 -- 32224 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 16070 -- 0 -- 4000 -- 500 -- 0 -- 3
18 -- 4 -- 11353 -- 0 -- 4000 -- 500 -- 0 -- 2
19 -- 4 -- 31782 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 32210 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 31600 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 11220 -- 0 -- 4000 -- 500 -- 0 -- 2
23 -- 4 -- 10300 -- 0 -- 4000 -- 500 -- 0 -- 2
24 -- 4 -- 11241 -- 0 -- 4000 -- 500 -- 0 -- 2
25 -- 4 -- 11594 -- 0 -- 4000 -- 500 -- 0 -- 2
26 -- 4 -- 10171 -- 0 -- 4000 -- 500 -- 0 -- 2
27 -- 4 -- 11905 -- 0 -- 4000 -- 500 -- 0 -- 2
28 -- 4 -- 16626 -- 0 -- 4000 -- 500 -- 0 -- 3
29 -- 4 -- 15700 -- 0 -- 4000 -- 500 -- 0 -- 3
30 -- 4 -- 10910 -- 0 -- 4000 -- 500 -- 0 -- 2
31 -- 4 -- 31790 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 15853 -- 0 -- 4000 -- 500 -- 0 -- 3
33 -- 4 -- 10743 -- 0 -- 4000 -- 500 -- 0 -- 2
34 -- 4 -- 31509 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 16272 -- 0 -- 4000 -- 500 -- 0 -- 3
36 -- 4 -- 32186 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 16119 -- 0 -- 4000 -- 500 -- 0 -- 3
38 -- 4 -- 10513 -- 0 -- 4000 -- 500 -- 0 -- 2
39 -- 4 -- 15436 -- 0 -- 4000 -- 500 -- 0 -- 3
40 -- 4 -- 32298 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 31756 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 16929 -- 0 -- 4000 -- 500 -- 0 -- 3
43 -- 4 -- 11376 -- 0 -- 4000 -- 500 -- 0 -- 2
44 -- 4 -- 11430 -- 0 -- 4000 -- 500 -- 0 -- 2
45 -- 4 -- 10601 -- 0 -- 4000 -- 500 -- 0 -- 2
46 -- 4 -- 10732 -- 0 -- 4000 -- 500 -- 0 -- 2
47 -- 4 -- 11172 -- 0 -- 4000 -- 500 -- 0 -- 2
48 -- 4 -- 31864 -- 0 -- 4000 -- 500 -- 0 -- 1
49 -- 4 -- 10835 -- 0 -- 4000 -- 500 -- 0 -- 2
50 -- 4 -- 15756 -- 0 -- 4000 -- 500 -- 0 -- 3
51 -- 4 -- 11132 -- 0 -- 4000 -- 500 -- 0 -- 2
52 -- 4 -- 15672 -- 0 -- 4000 -- 500 -- 0 -- 3
53 -- 4 -- 10124 -- 0 -- 4000 -- 500 -- 0 -- 2
54 -- 4 -- 11448 -- 0 -- 4000 -- 500 -- 0 -- 2
55 -- 4 -- 16865 -- 0 -- 4000 -- 500 -- 0 -- 3
56 -- 4 -- 30928 -- 0 -- 4000 -- 500 -- 0 -- 1
57 -- 4 -- 32963 -- 0 -- 4000 -- 500 -- 0 -- 1
58 -- 4 -- 31202 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 16176 -- 0 -- 4000 -- 500 -- 0 -- 3
60 -- 4 -- 16019 -- 0 -- 4000 -- 500 -- 0 -- 3
61 -- 4 -- 32436 -- 0 -- 4000 -- 500 -- 0 -- 1
62 -- 4 -- 15526 -- 0 -- 4000 -- 500 -- 0 -- 3
63 -- 4 -- 16328 -- 0 -- 4000 -- 500 -- 0 -- 3
64 -- 4 -- 32203 -- 0 -- 4000 -- 500 -- 0 -- 1
65 -- 4 -- 31747 -- 0 -- 4000 -- 500 -- 0 -- 1
66 -- 4 -- 11054 -- 0 -- 4000 -- 500 -- 0 -- 2
67 -- 4 -- 16168 -- 0 -- 4000 -- 500 -- 0 -- 3
68 -- 4 -- 11060 -- 0 -- 4000 -- 500 -- 0 -- 2
69 -- 4 -- 31235 -- 0 -- 4000 -- 500 -- 0 -- 1
70 -- 4 -- 16544 -- 0 -- 4000 -- 500 -- 0 -- 3
71 -- 4 -- 11631 -- 0 -- 4000 -- 500 -- 0 -- 2
72 -- 4 -- 11511 -- 0 -- 4000 -- 500 -- 0 -- 2
73 -- 4 -- 32341 -- 0 -- 4000 -- 500 -- 0 -- 1
74 -- 4 -- 16695 -- 0 -- 4000 -- 500 -- 0 -- 3
75 -- 4 -- 11137 -- 0 -- 4000 -- 500 -- 0 -- 2
76 -- 4 -- 16076 -- 0 -- 4000 -- 500 -- 0 -- 3
77 -- 4 -- 15994 -- 0 -- 4000 -- 500 -- 0 -- 3
78 -- 4 -- 16321 -- 0 -- 4000 -- 500 -- 0 -- 3
79 -- 4 -- 16617 -- 0 -- 4000 -- 500 -- 0 -- 3
80 -- 4 -- 32019 -- 0 -- 4000 -- 500 -- 0 -- 1
81 -- 4 -- 11131 -- 0 -- 4000 -- 500 -- 0 -- 2
82 -- 4 -- 10321 -- 0 -- 4000 -- 500 -- 0 -- 2
83 -- 4 -- 16084 -- 0 -- 4000 -- 500 -- 0 -- 3
84 -- 4 -- 32417 -- 0 -- 4000 -- 500 -- 0 -- 1
85 -- 4 -- 31732 -- 0 -- 4000 -- 500 -- 0 -- 1
86 -- 4 -- 10592 -- 0 -- 4000 -- 500 -- 0 -- 2
87 -- 4 -- 16872 -- 0 -- 4000 -- 500 -- 0 -- 3
88 -- 4 -- 32325 -- 0 -- 4000 -- 500 -- 0 -- 1
89 -- 4 -- 31445 -- 0 -- 4000 -- 500 -- 0 -- 1
90 -- 4 -- 10782 -- 0 -- 4000 -- 500 -- 0 -- 2
91 -- 4 -- 16626 -- 0 -- 4000 -- 500 -- 0 -- 3
92 -- 4 -- 15969 -- 0 -- 4000 -- 500 -- 0 -- 3
93 -- 4 -- 15620 -- 0 -- 4000 -- 500 -- 0 -- 3
94 -- 4 -- 16471 -- 0 -- 4000 -- 500 -- 0 -- 3
95 -- 4 -- 32099 -- 0 -- 4000 -- 500 -- 0 -- 1
96 -- 4 -- 31274 -- 0 -- 4000 -- 500 -- 0 -- 1
97 -- 4 -- 32526 -- 0 -- 4000 -- 500 -- 0 -- 1
98 -- 4 -- 11750 -- 0 -- 4000 -- 500 -- 0 -- 2
99 -- 4 -- 15961 -- 0 -- 4000 -- 500 -- 0 -- 3
100 -- 4 -- 15601 -- 0 -- 4000 -- 500 -- 0 -- 3
101 -- 4 -- 10114 -- 0 -- 4000 -- 500 -- 0 -- 2
102 -- 4 -- 32267 -- 0 -- 4000 -- 500 -- 0 -- 1
103 -- 4 -- 32491 -- 0 -- 4000 -- 500 -- 0 -- 1
104 -- 4 -- 31715 -- 0 -- 4000 -- 500 -- 0 -- 1
105 -- 4 -- 11086 -- 0 -- 4000 -- 500 -- 0 -- 2
106 -- 4 -- 31424 -- 0 -- 4000 -- 500 -- 0 -- 1
107 -- 4 -- 32452 -- 0 -- 4000 -- 500 -- 0 -- 1
108 -- 4 -- 32057 -- 0 -- 4000 -- 500 -- 0 -- 1
109 -- 4 -- 31902 -- 0 -- 4000 -- 500 -- 0 -- 1
110 -- 4 -- 16441 -- 0 -- 4000 -- 500 -- 0 -- 3
111 -- 4 -- 31458 -- 0 -- 4000 -- 500 -- 0 -- 1
112 -- 4 -- 10741 -- 0 -- 4000 -- 500 -- 0 -- 2
113 -- 4 -- 32219 -- 0 -- 4000 -- 500 -- 0 -- 1
114 -- 4 -- 11081 -- 0 -- 4000 -- 500 -- 0 -- 2
115 -- 4 -- 32154 -- 0 -- 4000 -- 500 -- 0 -- 1
116 -- 4 -- 10787 -- 0 -- 4000 -- 500 -- 0 -- 2
117 -- 4 -- 31994 -- 0 -- 4000 -- 500 -- 0 -- 1
118 -- 4 -- 30946 -- 0 -- 4000 -- 500 -- 0 -- 1
119 -- 4 -- 16023 -- 0 -- 4000 -- 500 -- 0 -- 3
120 -- 4 -- 15493 -- 0 -- 4000 -- 500 -- 0 -- 3
121 -- 4 -- 32544 -- 0 -- 4000 -- 500 -- 0 -- 1
122 -- 4 -- 31414 -- 0 -- 4000 -- 500 -- 0 -- 1
123 -- 4 -- 11193 -- 0 -- 4000 -- 500 -- 0 -- 2
124 -- 4 -- 31926 -- 0 -- 4000 -- 500 -- 0 -- 1
