taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 23045 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 38619 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 22733 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 17327 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 14631 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 39389 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 18171 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 21045 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 16707 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 27131 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 14831 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 27826 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 19244 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 28777 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 13122 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 25138 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 37935 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 38933 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 15956 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 28810 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 15018 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 28727 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 32472 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 17398 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 19438 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 15107 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 18100 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 16318 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 38202 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 10231 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 12715 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 25883 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 20397 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 19239 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 39243 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 15683 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 25195 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 35114 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 15156 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 22871 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 13590 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 35552 -- 0 -- 4000 -- 500 -- 0 -- 1
43 -- 4 -- 26759 -- 0 -- 4000 -- 500 -- 0 -- 1
44 -- 4 -- 22370 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 28533 -- 0 -- 4000 -- 500 -- 0 -- 1
46 -- 4 -- 18593 -- 0 -- 4000 -- 500 -- 0 -- 1
47 -- 4 -- 39074 -- 0 -- 4000 -- 500 -- 0 -- 1
48 -- 4 -- 19810 -- 0 -- 4000 -- 500 -- 0 -- 1
49 -- 4 -- 38780 -- 0 -- 4000 -- 500 -- 0 -- 1
50 -- 4 -- 25114 -- 0 -- 4000 -- 500 -- 0 -- 1
51 -- 4 -- 37633 -- 0 -- 4000 -- 500 -- 0 -- 1
52 -- 4 -- 23544 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 15928 -- 0 -- 4000 -- 500 -- 0 -- 1
54 -- 4 -- 17372 -- 0 -- 4000 -- 500 -- 0 -- 1
55 -- 4 -- 18743 -- 0 -- 4000 -- 500 -- 0 -- 1
56 -- 4 -- 22654 -- 0 -- 4000 -- 500 -- 0 -- 1
57 -- 4 -- 27112 -- 0 -- 4000 -- 500 -- 0 -- 1
58 -- 4 -- 26346 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 31594 -- 0 -- 4000 -- 500 -- 0 -- 1
60 -- 4 -- 38225 -- 0 -- 4000 -- 500 -- 0 -- 1
61 -- 4 -- 20641 -- 0 -- 4000 -- 500 -- 0 -- 1
62 -- 4 -- 22463 -- 0 -- 4000 -- 500 -- 0 -- 1
63 -- 4 -- 32385 -- 0 -- 4000 -- 500 -- 0 -- 1
64 -- 4 -- 12183 -- 0 -- 4000 -- 500 -- 0 -- 1
65 -- 4 -- 16000 -- 0 -- 4000 -- 500 -- 0 -- 1
66 -- 4 -- 35606 -- 0 -- 4000 -- 500 -- 0 -- 1
67 -- 4 -- 31618 -- 0 -- 4000 -- 500 -- 0 -- 1
68 -- 4 -- 25031 -- 0 -- 4000 -- 500 -- 0 -- 1
69 -- 4 -- 34725 -- 0 -- 4000 -- 500 -- 0 -- 1
70 -- 4 -- 36104 -- 0 -- 4000 -- 500 -- 0 -- 1
71 -- 4 -- 18623 -- 0 -- 4000 -- 500 -- 0 -- 1
72 -- 4 -- 28803 -- 0 -- 4000 -- 500 -- 0 -- 1
73 -- 4 -- 27868 -- 0 -- 4000 -- 500 -- 0 -- 1
74 -- 4 -- 38154 -- 0 -- 4000 -- 500 -- 0 -- 1
75 -- 4 -- 11050 -- 0 -- 4000 -- 500 -- 0 -- 1
76 -- 4 -- 31963 -- 0 -- 4000 -- 500 -- 0 -- 1
77 -- 4 -- 14146 -- 0 -- 4000 -- 500 -- 0 -- 1
78 -- 4 -- 39520 -- 0 -- 4000 -- 500 -- 0 -- 1
79 -- 4 -- 34970 -- 0 -- 4000 -- 500 -- 0 -- 1
80 -- 4 -- 24716 -- 0 -- 4000 -- 500 -- 0 -- 1
81 -- 4 -- 38086 -- 0 -- 4000 -- 500 -- 0 -- 1
82 -- 4 -- 21656 -- 0 -- 4000 -- 500 -- 0 -- 1
83 -- 4 -- 39258 -- 0 -- 4000 -- 500 -- 0 -- 1
84 -- 4 -- 18798 -- 0 -- 4000 -- 500 -- 0 -- 1
85 -- 4 -- 13806 -- 0 -- 4000 -- 500 -- 0 -- 1
86 -- 4 -- 37762 -- 0 -- 4000 -- 500 -- 0 -- 1
87 -- 4 -- 18818 -- 0 -- 4000 -- 500 -- 0 -- 1
88 -- 4 -- 27755 -- 0 -- 4000 -- 500 -- 0 -- 1
89 -- 4 -- 11401 -- 0 -- 4000 -- 500 -- 0 -- 1
90 -- 4 -- 20546 -- 0 -- 4000 -- 500 -- 0 -- 1
91 -- 4 -- 34042 -- 0 -- 4000 -- 500 -- 0 -- 1
92 -- 4 -- 15188 -- 0 -- 4000 -- 500 -- 0 -- 1
93 -- 4 -- 24150 -- 0 -- 4000 -- 500 -- 0 -- 1
94 -- 4 -- 30034 -- 0 -- 4000 -- 500 -- 0 -- 1
95 -- 4 -- 31043 -- 0 -- 4000 -- 500 -- 0 -- 1
96 -- 4 -- 10709 -- 0 -- 4000 -- 500 -- 0 -- 1
97 -- 4 -- 27395 -- 0 -- 4000 -- 500 -- 0 -- 1
98 -- 4 -- 13231 -- 0 -- 4000 -- 500 -- 0 -- 1
99 -- 4 -- 32664 -- 0 -- 4000 -- 500 -- 0 -- 1
100 -- 4 -- 30050 -- 0 -- 4000 -- 500 -- 0 -- 1
101 -- 4 -- 16940 -- 0 -- 4000 -- 500 -- 0 -- 1
102 -- 4 -- 11121 -- 0 -- 4000 -- 500 -- 0 -- 1
103 -- 4 -- 16241 -- 0 -- 4000 -- 500 -- 0 -- 1
104 -- 4 -- 39426 -- 0 -- 4000 -- 500 -- 0 -- 1
105 -- 4 -- 26609 -- 0 -- 4000 -- 500 -- 0 -- 1
106 -- 4 -- 32416 -- 0 -- 4000 -- 500 -- 0 -- 1
107 -- 4 -- 34402 -- 0 -- 4000 -- 500 -- 0 -- 1
108 -- 4 -- 10807 -- 0 -- 4000 -- 500 -- 0 -- 1
109 -- 4 -- 20724 -- 0 -- 4000 -- 500 -- 0 -- 1
110 -- 4 -- 30913 -- 0 -- 4000 -- 500 -- 0 -- 1
111 -- 4 -- 12424 -- 0 -- 4000 -- 500 -- 0 -- 1
112 -- 4 -- 14839 -- 0 -- 4000 -- 500 -- 0 -- 1
113 -- 4 -- 24614 -- 0 -- 4000 -- 500 -- 0 -- 1
114 -- 4 -- 27383 -- 0 -- 4000 -- 500 -- 0 -- 1
115 -- 4 -- 31929 -- 0 -- 4000 -- 500 -- 0 -- 1
116 -- 4 -- 26352 -- 0 -- 4000 -- 500 -- 0 -- 1
117 -- 4 -- 24107 -- 0 -- 4000 -- 500 -- 0 -- 1
118 -- 4 -- 35045 -- 0 -- 4000 -- 500 -- 0 -- 1
119 -- 4 -- 28236 -- 0 -- 4000 -- 500 -- 0 -- 1
120 -- 4 -- 22314 -- 0 -- 4000 -- 500 -- 0 -- 1
121 -- 4 -- 33568 -- 0 -- 4000 -- 500 -- 0 -- 1
122 -- 4 -- 21644 -- 0 -- 4000 -- 500 -- 0 -- 1
123 -- 4 -- 29152 -- 0 -- 4000 -- 500 -- 0 -- 1
124 -- 4 -- 11392 -- 0 -- 4000 -- 500 -- 0 -- 1
125 -- 4 -- 19559 -- 0 -- 4000 -- 500 -- 0 -- 1
126 -- 4 -- 25774 -- 0 -- 4000 -- 500 -- 0 -- 1
127 -- 4 -- 33772 -- 0 -- 4000 -- 500 -- 0 -- 1
128 -- 4 -- 27801 -- 0 -- 4000 -- 500 -- 0 -- 1
129 -- 4 -- 10620 -- 0 -- 4000 -- 500 -- 0 -- 1
130 -- 4 -- 39439 -- 0 -- 4000 -- 500 -- 0 -- 1
131 -- 4 -- 17229 -- 0 -- 4000 -- 500 -- 0 -- 1
132 -- 4 -- 12877 -- 0 -- 4000 -- 500 -- 0 -- 1
133 -- 4 -- 34210 -- 0 -- 4000 -- 500 -- 0 -- 1
134 -- 4 -- 39791 -- 0 -- 4000 -- 500 -- 0 -- 1
135 -- 4 -- 12585 -- 0 -- 4000 -- 500 -- 0 -- 1
136 -- 4 -- 12611 -- 0 -- 4000 -- 500 -- 0 -- 1
137 -- 4 -- 17667 -- 0 -- 4000 -- 500 -- 0 -- 1
138 -- 4 -- 11833 -- 0 -- 4000 -- 500 -- 0 -- 1
139 -- 4 -- 30549 -- 0 -- 4000 -- 500 -- 0 -- 1
140 -- 4 -- 39499 -- 0 -- 4000 -- 500 -- 0 -- 1
141 -- 4 -- 26000 -- 0 -- 4000 -- 500 -- 0 -- 1
142 -- 4 -- 29007 -- 0 -- 4000 -- 500 -- 0 -- 1
143 -- 4 -- 14208 -- 0 -- 4000 -- 500 -- 0 -- 1
144 -- 4 -- 26066 -- 0 -- 4000 -- 500 -- 0 -- 1
145 -- 4 -- 39009 -- 0 -- 4000 -- 500 -- 0 -- 1
146 -- 4 -- 16257 -- 0 -- 4000 -- 500 -- 0 -- 1
147 -- 4 -- 20733 -- 0 -- 4000 -- 500 -- 0 -- 1
148 -- 4 -- 28451 -- 0 -- 4000 -- 500 -- 0 -- 1
149 -- 4 -- 39826 -- 0 -- 4000 -- 500 -- 0 -- 1
150 -- 4 -- 23168 -- 0 -- 4000 -- 500 -- 0 -- 1
151 -- 4 -- 16072 -- 0 -- 4000 -- 500 -- 0 -- 1
152 -- 4 -- 30703 -- 0 -- 4000 -- 500 -- 0 -- 1
153 -- 4 -- 30129 -- 0 -- 4000 -- 500 -- 0 -- 1
154 -- 4 -- 32331 -- 0 -- 4000 -- 500 -- 0 -- 1
155 -- 4 -- 31563 -- 0 -- 4000 -- 500 -- 0 -- 1
156 -- 4 -- 27862 -- 0 -- 4000 -- 500 -- 0 -- 1
157 -- 4 -- 10598 -- 0 -- 4000 -- 500 -- 0 -- 1
158 -- 4 -- 24068 -- 0 -- 4000 -- 500 -- 0 -- 1
159 -- 4 -- 37396 -- 0 -- 4000 -- 500 -- 0 -- 1
160 -- 4 -- 15729 -- 0 -- 4000 -- 500 -- 0 -- 1
161 -- 4 -- 18085 -- 0 -- 4000 -- 500 -- 0 -- 1
162 -- 4 -- 12533 -- 0 -- 4000 -- 500 -- 0 -- 1
163 -- 4 -- 29177 -- 0 -- 4000 -- 500 -- 0 -- 1
164 -- 4 -- 23352 -- 0 -- 4000 -- 500 -- 0 -- 1
165 -- 4 -- 38612 -- 0 -- 4000 -- 500 -- 0 -- 1
166 -- 4 -- 32558 -- 0 -- 4000 -- 500 -- 0 -- 1
167 -- 4 -- 20601 -- 0 -- 4000 -- 500 -- 0 -- 1
168 -- 4 -- 38880 -- 0 -- 4000 -- 500 -- 0 -- 1
169 -- 4 -- 38104 -- 0 -- 4000 -- 500 -- 0 -- 1
170 -- 4 -- 17823 -- 0 -- 4000 -- 500 -- 0 -- 1
171 -- 4 -- 36102 -- 0 -- 4000 -- 500 -- 0 -- 1
172 -- 4 -- 23387 -- 0 -- 4000 -- 500 -- 0 -- 1
173 -- 4 -- 36226 -- 0 -- 4000 -- 500 -- 0 -- 1
174 -- 4 -- 10442 -- 0 -- 4000 -- 500 -- 0 -- 1
175 -- 4 -- 29442 -- 0 -- 4000 -- 500 -- 0 -- 1
176 -- 4 -- 27004 -- 0 -- 4000 -- 500 -- 0 -- 1
177 -- 4 -- 15818 -- 0 -- 4000 -- 500 -- 0 -- 1
178 -- 4 -- 36198 -- 0 -- 4000 -- 500 -- 0 -- 1
179 -- 4 -- 22120 -- 0 -- 4000 -- 500 -- 0 -- 1
180 -- 4 -- 13762 -- 0 -- 4000 -- 500 -- 0 -- 1
181 -- 4 -- 35339 -- 0 -- 4000 -- 500 -- 0 -- 1
182 -- 4 -- 31999 -- 0 -- 4000 -- 500 -- 0 -- 1
183 -- 4 -- 17443 -- 0 -- 4000 -- 500 -- 0 -- 1
184 -- 4 -- 24274 -- 0 -- 4000 -- 500 -- 0 -- 1
185 -- 4 -- 37732 -- 0 -- 4000 -- 500 -- 0 -- 1
186 -- 4 -- 22856 -- 0 -- 4000 -- 500 -- 0 -- 1
187 -- 4 -- 12056 -- 0 -- 4000 -- 500 -- 0 -- 1
188 -- 4 -- 11447 -- 0 -- 4000 -- 500 -- 0 -- 1
189 -- 4 -- 28755 -- 0 -- 4000 -- 500 -- 0 -- 1
190 -- 4 -- 24818 -- 0 -- 4000 -- 500 -- 0 -- 1
191 -- 4 -- 25263 -- 0 -- 4000 -- 500 -- 0 -- 1
192 -- 4 -- 20092 -- 0 -- 4000 -- 500 -- 0 -- 1
193 -- 4 -- 16377 -- 0 -- 4000 -- 500 -- 0 -- 1
194 -- 4 -- 36390 -- 0 -- 4000 -- 500 -- 0 -- 1
195 -- 4 -- 24940 -- 0 -- 4000 -- 500 -- 0 -- 1
196 -- 4 -- 11943 -- 0 -- 4000 -- 500 -- 0 -- 1
197 -- 4 -- 25312 -- 0 -- 4000 -- 500 -- 0 -- 1
198 -- 4 -- 12278 -- 0 -- 4000 -- 500 -- 0 -- 1
199 -- 4 -- 18595 -- 0 -- 4000 -- 500 -- 0 -- 1
200 -- 4 -- 34563 -- 0 -- 4000 -- 500 -- 0 -- 1
