taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 37089 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 17925 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 25725 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 37046 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 34925 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 37737 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 27594 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 24225 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 56131 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 10161 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 49653 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 30309 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 21114 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 33039 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 31787 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 30004 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 33794 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 50333 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 32471 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 28573 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 54471 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 26250 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 40588 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 30512 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 32239 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 32389 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 26399 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 36292 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 46979 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 39030 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 21122 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 39410 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 42075 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 47554 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 30045 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 21551 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 37802 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 37193 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 37365 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 50815 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 32341 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 34111 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 33467 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 25311 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 34430 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 32590 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 40345 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 38678 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 32624 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 40803 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 29116 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 20341 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 43022 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 53440 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 31059 -- 0 -- 4000 -- 500 -- 0
56 -- 4 -- 34159 -- 0 -- 4000 -- 500 -- 0
57 -- 4 -- 30797 -- 0 -- 4000 -- 500 -- 0
58 -- 4 -- 7650 -- 0 -- 4000 -- 500 -- 0
59 -- 4 -- 33480 -- 0 -- 4000 -- 500 -- 0
60 -- 4 -- 11594 -- 0 -- 4000 -- 500 -- 0
61 -- 4 -- 22683 -- 0 -- 4000 -- 500 -- 0
62 -- 4 -- 28543 -- 0 -- 4000 -- 500 -- 0
63 -- 4 -- 40293 -- 0 -- 4000 -- 500 -- 0
64 -- 4 -- 11865 -- 0 -- 4000 -- 500 -- 0
65 -- 4 -- 21408 -- 0 -- 4000 -- 500 -- 0
66 -- 4 -- 36182 -- 0 -- 4000 -- 500 -- 0
67 -- 4 -- 36916 -- 0 -- 4000 -- 500 -- 0
68 -- 4 -- 61367 -- 0 -- 4000 -- 500 -- 0
69 -- 4 -- 30742 -- 0 -- 4000 -- 500 -- 0
70 -- 4 -- 39412 -- 0 -- 4000 -- 500 -- 0
71 -- 4 -- 51939 -- 0 -- 4000 -- 500 -- 0
72 -- 4 -- 29091 -- 0 -- 4000 -- 500 -- 0
73 -- 4 -- 32486 -- 0 -- 4000 -- 500 -- 0
74 -- 4 -- 35591 -- 0 -- 4000 -- 500 -- 0
75 -- 4 -- 12618 -- 0 -- 4000 -- 500 -- 0
