taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 9718 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 11190 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 6726 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 8596 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 13320 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 11411 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 9886 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 9963 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 10146 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 8180 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 8089 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 11688 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 8591 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 5197 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 10453 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 7351 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 9459 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 6243 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 9758 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 8318 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 6943 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 10353 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 8082 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 7799 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 8159 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 10631 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 7028 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 6875 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 10456 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 7451 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 9442 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 9384 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 10982 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 6874 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 7826 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 7583 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 5281 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 8885 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 9214 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 8310 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 9853 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 8054 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 8237 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 10236 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 5374 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 7701 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 5688 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 9512 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 7120 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 9227 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 6235 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 6362 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 7091 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 4935 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 10245 -- 0 -- 4000 -- 500 -- 0
56 -- 4 -- 8778 -- 0 -- 4000 -- 500 -- 0
57 -- 4 -- 8844 -- 0 -- 4000 -- 500 -- 0
58 -- 4 -- 6100 -- 0 -- 4000 -- 500 -- 0
59 -- 4 -- 8032 -- 0 -- 4000 -- 500 -- 0
60 -- 4 -- 9615 -- 0 -- 4000 -- 500 -- 0
61 -- 4 -- 7431 -- 0 -- 4000 -- 500 -- 0
62 -- 4 -- 9093 -- 0 -- 4000 -- 500 -- 0
63 -- 4 -- 9006 -- 0 -- 4000 -- 500 -- 0
64 -- 4 -- 12490 -- 0 -- 4000 -- 500 -- 0
65 -- 4 -- 8677 -- 0 -- 4000 -- 500 -- 0
66 -- 4 -- 9896 -- 0 -- 4000 -- 500 -- 0
67 -- 4 -- 9879 -- 0 -- 4000 -- 500 -- 0
68 -- 4 -- 7067 -- 0 -- 4000 -- 500 -- 0
69 -- 4 -- 8338 -- 0 -- 4000 -- 500 -- 0
70 -- 4 -- 6879 -- 0 -- 4000 -- 500 -- 0
71 -- 4 -- 3625 -- 0 -- 4000 -- 500 -- 0
72 -- 4 -- 6142 -- 0 -- 4000 -- 500 -- 0
73 -- 4 -- 9839 -- 0 -- 4000 -- 500 -- 0
74 -- 4 -- 9390 -- 0 -- 4000 -- 500 -- 0
75 -- 4 -- 10591 -- 0 -- 4000 -- 500 -- 0
76 -- 4 -- 8738 -- 0 -- 4000 -- 500 -- 0
77 -- 4 -- 8444 -- 0 -- 4000 -- 500 -- 0
78 -- 4 -- 10288 -- 0 -- 4000 -- 500 -- 0
79 -- 4 -- 6885 -- 0 -- 4000 -- 500 -- 0
80 -- 4 -- 7806 -- 0 -- 4000 -- 500 -- 0
81 -- 4 -- 8038 -- 0 -- 4000 -- 500 -- 0
82 -- 4 -- 4541 -- 0 -- 4000 -- 500 -- 0
83 -- 4 -- 6959 -- 0 -- 4000 -- 500 -- 0
84 -- 4 -- 8176 -- 0 -- 4000 -- 500 -- 0
85 -- 4 -- 7646 -- 0 -- 4000 -- 500 -- 0
86 -- 4 -- 11849 -- 0 -- 4000 -- 500 -- 0
87 -- 4 -- 7710 -- 0 -- 4000 -- 500 -- 0
88 -- 4 -- 8034 -- 0 -- 4000 -- 500 -- 0
89 -- 4 -- 4705 -- 0 -- 4000 -- 500 -- 0
90 -- 4 -- 7656 -- 0 -- 4000 -- 500 -- 0
91 -- 4 -- 8964 -- 0 -- 4000 -- 500 -- 0
92 -- 4 -- 7094 -- 0 -- 4000 -- 500 -- 0
93 -- 4 -- 5773 -- 0 -- 4000 -- 500 -- 0
94 -- 4 -- 11942 -- 0 -- 4000 -- 500 -- 0
95 -- 4 -- 4593 -- 0 -- 4000 -- 500 -- 0
96 -- 4 -- 8375 -- 0 -- 4000 -- 500 -- 0
97 -- 4 -- 10365 -- 0 -- 4000 -- 500 -- 0
98 -- 4 -- 11139 -- 0 -- 4000 -- 500 -- 0
99 -- 4 -- 9106 -- 0 -- 4000 -- 500 -- 0
100 -- 4 -- 7292 -- 0 -- 4000 -- 500 -- 0
101 -- 4 -- 2977 -- 0 -- 4000 -- 500 -- 0
102 -- 4 -- 9329 -- 0 -- 4000 -- 500 -- 0
103 -- 4 -- 10983 -- 0 -- 4000 -- 500 -- 0
104 -- 4 -- 8842 -- 0 -- 4000 -- 500 -- 0
105 -- 4 -- 7887 -- 0 -- 4000 -- 500 -- 0
106 -- 4 -- 5801 -- 0 -- 4000 -- 500 -- 0
107 -- 4 -- 9355 -- 0 -- 4000 -- 500 -- 0
108 -- 4 -- 4029 -- 0 -- 4000 -- 500 -- 0
109 -- 4 -- 7391 -- 0 -- 4000 -- 500 -- 0
110 -- 4 -- 11964 -- 0 -- 4000 -- 500 -- 0
111 -- 4 -- 5814 -- 0 -- 4000 -- 500 -- 0
112 -- 4 -- 5914 -- 0 -- 4000 -- 500 -- 0
113 -- 4 -- 4736 -- 0 -- 4000 -- 500 -- 0
114 -- 4 -- 4933 -- 0 -- 4000 -- 500 -- 0
115 -- 4 -- 9908 -- 0 -- 4000 -- 500 -- 0
116 -- 4 -- 10331 -- 0 -- 4000 -- 500 -- 0
117 -- 4 -- 5607 -- 0 -- 4000 -- 500 -- 0
118 -- 4 -- 7521 -- 0 -- 4000 -- 500 -- 0
119 -- 4 -- 10174 -- 0 -- 4000 -- 500 -- 0
120 -- 4 -- 7397 -- 0 -- 4000 -- 500 -- 0
121 -- 4 -- 7438 -- 0 -- 4000 -- 500 -- 0
122 -- 4 -- 7851 -- 0 -- 4000 -- 500 -- 0
123 -- 4 -- 8156 -- 0 -- 4000 -- 500 -- 0
124 -- 4 -- 9795 -- 0 -- 4000 -- 500 -- 0
125 -- 4 -- 7287 -- 0 -- 4000 -- 500 -- 0
126 -- 4 -- 10190 -- 0 -- 4000 -- 500 -- 0
127 -- 4 -- 6565 -- 0 -- 4000 -- 500 -- 0
128 -- 4 -- 9496 -- 0 -- 4000 -- 500 -- 0
129 -- 4 -- 7123 -- 0 -- 4000 -- 500 -- 0
130 -- 4 -- 8125 -- 0 -- 4000 -- 500 -- 0
131 -- 4 -- 6364 -- 0 -- 4000 -- 500 -- 0
132 -- 4 -- 7369 -- 0 -- 4000 -- 500 -- 0
133 -- 4 -- 9346 -- 0 -- 4000 -- 500 -- 0
134 -- 4 -- 5095 -- 0 -- 4000 -- 500 -- 0
135 -- 4 -- 11486 -- 0 -- 4000 -- 500 -- 0
136 -- 4 -- 10497 -- 0 -- 4000 -- 500 -- 0
137 -- 4 -- 7831 -- 0 -- 4000 -- 500 -- 0
138 -- 4 -- 14534 -- 0 -- 4000 -- 500 -- 0
139 -- 4 -- 4777 -- 0 -- 4000 -- 500 -- 0
140 -- 4 -- 12012 -- 0 -- 4000 -- 500 -- 0
141 -- 4 -- 10807 -- 0 -- 4000 -- 500 -- 0
142 -- 4 -- 9418 -- 0 -- 4000 -- 500 -- 0
143 -- 4 -- 8838 -- 0 -- 4000 -- 500 -- 0
144 -- 4 -- 7936 -- 0 -- 4000 -- 500 -- 0
145 -- 4 -- 7661 -- 0 -- 4000 -- 500 -- 0
146 -- 4 -- 8087 -- 0 -- 4000 -- 500 -- 0
147 -- 4 -- 6826 -- 0 -- 4000 -- 500 -- 0
148 -- 4 -- 8049 -- 0 -- 4000 -- 500 -- 0
149 -- 4 -- 7614 -- 0 -- 4000 -- 500 -- 0
150 -- 4 -- 9595 -- 0 -- 4000 -- 500 -- 0
151 -- 4 -- 9666 -- 0 -- 4000 -- 500 -- 0
152 -- 4 -- 6129 -- 0 -- 4000 -- 500 -- 0
153 -- 4 -- 8667 -- 0 -- 4000 -- 500 -- 0
154 -- 4 -- 9986 -- 0 -- 4000 -- 500 -- 0
155 -- 4 -- 8324 -- 0 -- 4000 -- 500 -- 0
156 -- 4 -- 9367 -- 0 -- 4000 -- 500 -- 0
157 -- 4 -- 5517 -- 0 -- 4000 -- 500 -- 0
158 -- 4 -- 5757 -- 0 -- 4000 -- 500 -- 0
159 -- 4 -- 7491 -- 0 -- 4000 -- 500 -- 0
