taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 11928 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 30463 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 10056 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 9707 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 29282 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 16720 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 11495 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 31016 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 10976 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 21108 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 29827 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 14300 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 29094 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 15306 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 27490 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 24815 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 13865 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 29536 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 10893 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 11300 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 30554 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 12321 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 9048 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 17776 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 35205 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 31369 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 37634 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 11466 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 9217 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 10981 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 10338 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 23443 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 9142 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 20266 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 10610 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 10931 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 11603 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 15422 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 29043 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 26093 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 15433 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 18550 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 36258 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 12079 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 24309 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 18090 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 34512 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 12930 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 27302 -- 0 -- 4000 -- 500 -- 0
