taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
1 -- 4 -- 10960 -- 0 -- 4000 -- 500 -- 0
2 -- 4 -- 11347 -- 0 -- 4000 -- 500 -- 0
3 -- 4 -- 11467 -- 0 -- 4000 -- 500 -- 0
4 -- 4 -- 32606 -- 0 -- 4000 -- 500 -- 0
5 -- 4 -- 15592 -- 0 -- 4000 -- 500 -- 0
6 -- 4 -- 31142 -- 0 -- 4000 -- 500 -- 0
7 -- 4 -- 11788 -- 0 -- 4000 -- 500 -- 0
8 -- 4 -- 14867 -- 0 -- 4000 -- 500 -- 0
9 -- 4 -- 10983 -- 0 -- 4000 -- 500 -- 0
10 -- 4 -- 16525 -- 0 -- 4000 -- 500 -- 0
11 -- 4 -- 14988 -- 0 -- 4000 -- 500 -- 0
12 -- 4 -- 11377 -- 0 -- 4000 -- 500 -- 0
13 -- 4 -- 11389 -- 0 -- 4000 -- 500 -- 0
14 -- 4 -- 11680 -- 0 -- 4000 -- 500 -- 0
15 -- 4 -- 11145 -- 0 -- 4000 -- 500 -- 0
16 -- 4 -- 14990 -- 0 -- 4000 -- 500 -- 0
17 -- 4 -- 16346 -- 0 -- 4000 -- 500 -- 0
18 -- 4 -- 30797 -- 0 -- 4000 -- 500 -- 0
19 -- 4 -- 15397 -- 0 -- 4000 -- 500 -- 0
20 -- 4 -- 10748 -- 0 -- 4000 -- 500 -- 0
21 -- 4 -- 11624 -- 0 -- 4000 -- 500 -- 0
22 -- 4 -- 10575 -- 0 -- 4000 -- 500 -- 0
23 -- 4 -- 11476 -- 0 -- 4000 -- 500 -- 0
24 -- 4 -- 15238 -- 0 -- 4000 -- 500 -- 0
25 -- 4 -- 31681 -- 0 -- 4000 -- 500 -- 0
26 -- 4 -- 11046 -- 0 -- 4000 -- 500 -- 0
27 -- 4 -- 15603 -- 0 -- 4000 -- 500 -- 0
28 -- 4 -- 32214 -- 0 -- 4000 -- 500 -- 0
29 -- 4 -- 15133 -- 0 -- 4000 -- 500 -- 0
30 -- 4 -- 15428 -- 0 -- 4000 -- 500 -- 0
31 -- 4 -- 32220 -- 0 -- 4000 -- 500 -- 0
32 -- 4 -- 32484 -- 0 -- 4000 -- 500 -- 0
33 -- 4 -- 10779 -- 0 -- 4000 -- 500 -- 0
34 -- 4 -- 32246 -- 0 -- 4000 -- 500 -- 0
35 -- 4 -- 16339 -- 0 -- 4000 -- 500 -- 0
36 -- 4 -- 11124 -- 0 -- 4000 -- 500 -- 0
37 -- 4 -- 15517 -- 0 -- 4000 -- 500 -- 0
38 -- 4 -- 32286 -- 0 -- 4000 -- 500 -- 0
39 -- 4 -- 16409 -- 0 -- 4000 -- 500 -- 0
40 -- 4 -- 32155 -- 0 -- 4000 -- 500 -- 0
41 -- 4 -- 16456 -- 0 -- 4000 -- 500 -- 0
42 -- 4 -- 10482 -- 0 -- 4000 -- 500 -- 0
43 -- 4 -- 32569 -- 0 -- 4000 -- 500 -- 0
44 -- 4 -- 15279 -- 0 -- 4000 -- 500 -- 0
45 -- 4 -- 15109 -- 0 -- 4000 -- 500 -- 0
46 -- 4 -- 10634 -- 0 -- 4000 -- 500 -- 0
47 -- 4 -- 16739 -- 0 -- 4000 -- 500 -- 0
48 -- 4 -- 32182 -- 0 -- 4000 -- 500 -- 0
49 -- 4 -- 10518 -- 0 -- 4000 -- 500 -- 0
50 -- 4 -- 15598 -- 0 -- 4000 -- 500 -- 0
51 -- 4 -- 31802 -- 0 -- 4000 -- 500 -- 0
52 -- 4 -- 11018 -- 0 -- 4000 -- 500 -- 0
53 -- 4 -- 11022 -- 0 -- 4000 -- 500 -- 0
54 -- 4 -- 11200 -- 0 -- 4000 -- 500 -- 0
55 -- 4 -- 16903 -- 0 -- 4000 -- 500 -- 0
56 -- 4 -- 31790 -- 0 -- 4000 -- 500 -- 0
57 -- 4 -- 16145 -- 0 -- 4000 -- 500 -- 0
58 -- 4 -- 30912 -- 0 -- 4000 -- 500 -- 0
59 -- 4 -- 31674 -- 0 -- 4000 -- 500 -- 0
60 -- 4 -- 11964 -- 0 -- 4000 -- 500 -- 0
61 -- 4 -- 15129 -- 0 -- 4000 -- 500 -- 0
62 -- 4 -- 16243 -- 0 -- 4000 -- 500 -- 0
63 -- 4 -- 31971 -- 0 -- 4000 -- 500 -- 0
64 -- 4 -- 32111 -- 0 -- 4000 -- 500 -- 0
65 -- 4 -- 15824 -- 0 -- 4000 -- 500 -- 0
66 -- 4 -- 16142 -- 0 -- 4000 -- 500 -- 0
67 -- 4 -- 15655 -- 0 -- 4000 -- 500 -- 0
68 -- 4 -- 31827 -- 0 -- 4000 -- 500 -- 0
